game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2025-01-04,202501040DET,MIN,Q1,Anthony Edwards,https://www.basketball-reference.com/boxscores/202501040DET.html,12.0,4,8,.500,3,4,.750,2,3,.667,0,0,0,1,0,0,1,0,13,8.3,-5
2025-01-04,202501040DET,MIN,Q1,Julius Randle,https://www.basketball-reference.com/boxscores/202501040DET.html,8.52,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,0.0,-6
2025-01-04,202501040DET,MIN,Q1,Rudy Gobert,https://www.basketball-reference.com/boxscores/202501040DET.html,10.27,0,1,.000,0,0,,0,2,.000,1,3,4,0,0,1,3,1,0,-2.6,-4
2025-01-04,202501040DET,MIN,Q1,Jaden McDaniels,https://www.basketball-reference.com/boxscores/202501040DET.html,8.15,2,2,1.000,1,1,1.000,0,0,,0,1,1,0,2,0,0,1,5,6.3,+1
2025-01-04,202501040DET,MIN,Q1,Mike Conley,https://www.basketball-reference.com/boxscores/202501040DET.html,6.78,0,1,.000,0,1,.000,0,0,,0,0,0,2,0,0,1,1,0,-0.7,-5
2025-01-04,202501040DET,MIN,Q1,Nickeil Alexander-Walker,https://www.basketball-reference.com/boxscores/202501040DET.html,5.22,1,2,.500,1,2,.500,0,0,,0,0,0,1,0,0,0,1,3,2.3,0
2025-01-04,202501040DET,MIN,Q1,Donte DiVincenzo,https://www.basketball-reference.com/boxscores/202501040DET.html,3.85,1,1,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,3,3.7,-6
2025-01-04,202501040DET,MIN,Q1,Naz Reid,https://www.basketball-reference.com/boxscores/202501040DET.html,5.22,1,1,1.000,1,1,1.000,1,2,.500,0,1,1,0,0,0,0,0,4,3.6,0
2025-01-04,202501040DET,MIN,Q2,Anthony Edwards,https://www.basketball-reference.com/boxscores/202501040DET.html,8.45,4,7,.571,3,5,.600,2,2,1.000,0,0,0,0,0,0,1,0,13,8.7,+4
2025-01-04,202501040DET,MIN,Q2,Julius Randle,https://www.basketball-reference.com/boxscores/202501040DET.html,9.63,1,4,.250,0,2,.000,0,0,,0,2,2,1,0,0,1,1,2,-0.5,-8
2025-01-04,202501040DET,MIN,Q2,Rudy Gobert,https://www.basketball-reference.com/boxscores/202501040DET.html,8.45,0,1,.000,0,0,,0,0,,1,1,2,0,0,1,0,0,0,1.0,+4
2025-01-04,202501040DET,MIN,Q2,Jaden McDaniels,https://www.basketball-reference.com/boxscores/202501040DET.html,8.45,0,1,.000,0,1,.000,0,0,,0,1,1,0,1,0,0,0,0,0.6,+4
2025-01-04,202501040DET,MIN,Q2,Mike Conley,https://www.basketball-reference.com/boxscores/202501040DET.html,3.55,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-11
2025-01-04,202501040DET,MIN,Q2,Nickeil Alexander-Walker,https://www.basketball-reference.com/boxscores/202501040DET.html,9.63,0,3,.000,0,2,.000,0,0,,0,1,1,1,0,2,0,1,0,-0.1,-8
2025-01-04,202501040DET,MIN,Q2,Donte DiVincenzo,https://www.basketball-reference.com/boxscores/202501040DET.html,5.92,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,3,0,0,-3.4,-10
2025-01-04,202501040DET,MIN,Q2,Naz Reid,https://www.basketball-reference.com/boxscores/202501040DET.html,5.92,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-10
2025-01-04,202501040DET,MIN,Q3,Anthony Edwards,https://www.basketball-reference.com/boxscores/202501040DET.html,12.0,5,8,.625,3,3,1.000,5,5,1.000,0,1,1,0,0,0,2,1,18,12.3,-3
2025-01-04,202501040DET,MIN,Q3,Julius Randle,https://www.basketball-reference.com/boxscores/202501040DET.html,12.0,5,6,.833,0,1,.000,3,3,1.000,1,1,2,4,0,0,1,2,13,12.8,-3
2025-01-04,202501040DET,MIN,Q3,Rudy Gobert,https://www.basketball-reference.com/boxscores/202501040DET.html,4.82,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-6
2025-01-04,202501040DET,MIN,Q3,Jaden McDaniels,https://www.basketball-reference.com/boxscores/202501040DET.html,3.95,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,3,0,-2.6,-9
2025-01-04,202501040DET,MIN,Q3,Mike Conley,https://www.basketball-reference.com/boxscores/202501040DET.html,4.82,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,0,0,0,0.7,-6
2025-01-04,202501040DET,MIN,Q3,Nickeil Alexander-Walker,https://www.basketball-reference.com/boxscores/202501040DET.html,7.18,1,1,1.000,1,1,1.000,1,2,.500,0,1,1,1,0,0,0,0,4,4.3,+3
2025-01-04,202501040DET,MIN,Q3,Donte DiVincenzo,https://www.basketball-reference.com/boxscores/202501040DET.html,8.05,0,1,.000,0,1,.000,0,0,,0,0,0,0,2,0,0,0,0,1.3,+6
2025-01-04,202501040DET,MIN,Q3,Naz Reid,https://www.basketball-reference.com/boxscores/202501040DET.html,7.18,1,1,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,0,1,3,3.3,+3
2025-01-04,202501040DET,MIN,Q4,Anthony Edwards,https://www.basketball-reference.com/boxscores/202501040DET.html,12.0,3,8,.375,1,3,.333,2,2,1.000,1,4,5,1,0,0,2,3,9,4.0,+1
2025-01-04,202501040DET,MIN,Q4,Julius Randle,https://www.basketball-reference.com/boxscores/202501040DET.html,6.0,0,1,.000,0,0,,2,2,1.000,1,2,3,0,0,0,1,1,2,1.2,-3
2025-01-04,202501040DET,MIN,Q4,Rudy Gobert,https://www.basketball-reference.com/boxscores/202501040DET.html,6.0,3,3,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,6,4.7,+4
2025-01-04,202501040DET,MIN,Q4,Jaden McDaniels,https://www.basketball-reference.com/boxscores/202501040DET.html,8.48,1,2,.500,0,0,,1,1,1.000,1,1,2,0,0,0,0,0,3,3.0,+2
2025-01-04,202501040DET,MIN,Q4,Mike Conley,https://www.basketball-reference.com/boxscores/202501040DET.html,6.0,0,1,.000,0,1,.000,0,0,,0,0,0,1,2,0,0,0,0,2.0,+4
2025-01-04,202501040DET,MIN,Q4,Nickeil Alexander-Walker,https://www.basketball-reference.com/boxscores/202501040DET.html,6.0,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-3
2025-01-04,202501040DET,MIN,Q4,Donte DiVincenzo,https://www.basketball-reference.com/boxscores/202501040DET.html,8.35,1,3,.333,0,2,.000,0,0,,1,1,2,2,0,0,0,1,2,2.3,0
2025-01-04,202501040DET,MIN,Q4,Naz Reid,https://www.basketball-reference.com/boxscores/202501040DET.html,7.17,0,3,.000,0,1,.000,2,2,1.000,0,1,1,0,0,0,0,1,2,-0.2,0
2025-01-04,202501040DET,DET,Q1,Cade Cunningham,https://www.basketball-reference.com/boxscores/202501040DET.html,10.57,5,8,.625,1,2,.500,0,0,,0,3,3,3,0,0,2,1,11,8.0,+5
2025-01-04,202501040DET,DET,Q1,Tobias Harris,https://www.basketball-reference.com/boxscores/202501040DET.html,11.63,1,5,.200,0,1,.000,0,0,,0,5,5,1,0,0,1,1,2,-0.3,+4
2025-01-04,202501040DET,DET,Q1,Tim Hardaway Jr.,https://www.basketball-reference.com/boxscores/202501040DET.html,8.15,1,3,.333,0,2,.000,0,1,.000,0,0,0,2,0,0,0,0,2,1.3,-1
2025-01-04,202501040DET,DET,Q1,Ausar Thompson,https://www.basketball-reference.com/boxscores/202501040DET.html,6.85,3,3,1.000,0,0,,0,0,,0,0,0,0,3,0,0,0,6,8.1,+5
2025-01-04,202501040DET,DET,Q1,Jalen Duren,https://www.basketball-reference.com/boxscores/202501040DET.html,8.15,1,1,1.000,0,0,,0,0,,2,1,3,0,1,0,0,0,2,4.4,-1
2025-01-04,202501040DET,DET,Q1,Malik Beasley,https://www.basketball-reference.com/boxscores/202501040DET.html,5.22,3,4,.750,2,3,.667,0,0,,0,0,0,0,0,0,0,0,8,6.4,0
2025-01-04,202501040DET,DET,Q1,Isaiah Stewart,https://www.basketball-reference.com/boxscores/202501040DET.html,3.85,1,1,1.000,0,0,,0,0,,0,0,0,2,0,0,0,0,2,3.1,+6
2025-01-04,202501040DET,DET,Q1,Ron Holland,https://www.basketball-reference.com/boxscores/202501040DET.html,3.85,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,1,0,0.3,+6
2025-01-04,202501040DET,DET,Q1,Marcus Sasser,https://www.basketball-reference.com/boxscores/202501040DET.html,1.73,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1
2025-01-04,202501040DET,DET,Q2,Cade Cunningham,https://www.basketball-reference.com/boxscores/202501040DET.html,8.12,4,9,.444,1,2,.500,0,0,,0,1,1,1,0,0,0,0,9,5.3,+11
2025-01-04,202501040DET,DET,Q2,Tobias Harris,https://www.basketball-reference.com/boxscores/202501040DET.html,4.3,0,2,.000,0,1,.000,0,0,,0,1,1,2,0,0,3,2,0,-3.5,0
2025-01-04,202501040DET,DET,Q2,Tim Hardaway Jr.,https://www.basketball-reference.com/boxscores/202501040DET.html,8.45,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-0.8,-4
2025-01-04,202501040DET,DET,Q2,Ausar Thompson,https://www.basketball-reference.com/boxscores/202501040DET.html,7.7,2,2,1.000,0,0,,0,0,,2,3,5,1,3,0,0,0,4,9.4,+7
2025-01-04,202501040DET,DET,Q2,Jalen Duren,https://www.basketball-reference.com/boxscores/202501040DET.html,4.9,0,2,.000,0,0,,0,0,,3,1,4,0,1,0,0,2,0,1.2,0
2025-01-04,202501040DET,DET,Q2,Malik Beasley,https://www.basketball-reference.com/boxscores/202501040DET.html,9.63,3,4,.750,2,3,.667,1,2,.500,0,2,2,0,0,0,0,0,9,7.6,+8
2025-01-04,202501040DET,DET,Q2,Isaiah Stewart,https://www.basketball-reference.com/boxscores/202501040DET.html,7.1,0,2,.000,0,0,,0,0,,0,3,3,0,0,1,0,0,0,0.2,+7
2025-01-04,202501040DET,DET,Q2,Ron Holland,https://www.basketball-reference.com/boxscores/202501040DET.html,5.92,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-2.1,+10
2025-01-04,202501040DET,DET,Q2,Marcus Sasser,https://www.basketball-reference.com/boxscores/202501040DET.html,3.88,0,3,.000,0,3,.000,0,0,,1,0,1,0,0,0,0,0,0,-1.4,-4
2025-01-04,202501040DET,DET,Q3,Cade Cunningham,https://www.basketball-reference.com/boxscores/202501040DET.html,10.27,4,6,.667,1,2,.500,5,5,1.000,0,0,0,4,0,0,1,2,14,12.4,+8
2025-01-04,202501040DET,DET,Q3,Tobias Harris,https://www.basketball-reference.com/boxscores/202501040DET.html,8.5,2,3,.667,2,3,.667,2,2,1.000,1,1,2,1,0,0,0,1,8,8.0,+6
2025-01-04,202501040DET,DET,Q3,Tim Hardaway Jr.,https://www.basketball-reference.com/boxscores/202501040DET.html,12.0,2,5,.400,1,3,.333,0,0,,0,1,1,0,0,0,0,0,5,2.6,+3
2025-01-04,202501040DET,DET,Q3,Ausar Thompson,https://www.basketball-reference.com/boxscores/202501040DET.html,8.97,0,0,,0,0,,0,0,,0,3,3,1,0,0,1,2,0,-0.2,+3
2025-01-04,202501040DET,DET,Q3,Jalen Duren,https://www.basketball-reference.com/boxscores/202501040DET.html,8.5,1,1,1.000,0,0,,1,2,.500,0,0,0,3,0,1,0,1,3,4.7,+6
2025-01-04,202501040DET,DET,Q3,Malik Beasley,https://www.basketball-reference.com/boxscores/202501040DET.html,6.53,1,4,.250,1,4,.250,0,0,,0,0,0,1,2,0,0,1,3,2.9,-3
2025-01-04,202501040DET,DET,Q3,Isaiah Stewart,https://www.basketball-reference.com/boxscores/202501040DET.html,3.5,3,3,1.000,0,0,,0,0,,1,0,1,0,0,0,0,1,6,5.4,-3
2025-01-04,202501040DET,DET,Q3,Marcus Sasser,https://www.basketball-reference.com/boxscores/202501040DET.html,1.73,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.7,-5
2025-01-04,202501040DET,DET,Q4,Cade Cunningham,https://www.basketball-reference.com/boxscores/202501040DET.html,9.2,2,6,.333,1,2,.500,1,2,.500,0,2,2,1,1,0,0,0,6,4.5,0
2025-01-04,202501040DET,DET,Q4,Tobias Harris,https://www.basketball-reference.com/boxscores/202501040DET.html,9.22,2,3,.667,0,0,,2,2,1.000,1,2,3,0,0,0,0,1,6,5.6,-1
2025-01-04,202501040DET,DET,Q4,Tim Hardaway Jr.,https://www.basketball-reference.com/boxscores/202501040DET.html,4.62,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,0
