game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg3_pct,ft_pct
2025-01-06,202501060PHI,PHO,Q1,Devin Booker,https://www.basketball-reference.com/boxscores/202501060PHI.html,8.03,0,4,.000,0,0,0,0,0,0,0,1,0,0,0,0,0,-2.1,-10,,
2025-01-06,202501060PHI,PHO,Q1,Kevin Durant,https://www.basketball-reference.com/boxscores/202501060PHI.html,12.0,1,4,.250,1,1,0,0,0,0,0,1,0,0,0,0,3,1.3,-7,1.000,
2025-01-06,202501060PHI,PHO,Q1,Ryan Dunn,https://www.basketball-reference.com/boxscores/202501060PHI.html,5.15,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-11,,
2025-01-06,202501060PHI,PHO,Q1,Tyus Jones,https://www.basketball-reference.com/boxscores/202501060PHI.html,7.9,0,4,.000,0,3,0,0,0,1,1,0,1,0,1,0,0,-2.5,-12,.000,
2025-01-06,202501060PHI,PHO,Q1,Mason Plumlee,https://www.basketball-reference.com/boxscores/202501060PHI.html,5.95,1,1,1.000,0,0,0,0,1,2,3,0,1,1,0,0,2,4.7,-9,,
2025-01-06,202501060PHI,PHO,Q1,Bradley Beal,https://www.basketball-reference.com/boxscores/202501060PHI.html,6.85,1,3,.333,0,1,0,0,0,1,1,1,0,0,0,0,2,1.3,+4,.000,
2025-01-06,202501060PHI,PHO,Q1,Monte Morris,https://www.basketball-reference.com/boxscores/202501060PHI.html,3.97,0,0,,0,0,2,2,0,0,0,0,0,0,0,0,2,2.0,+3,,1.000
2025-01-06,202501060PHI,PHO,Q1,Grayson Allen,https://www.basketball-reference.com/boxscores/202501060PHI.html,4.1,1,1,1.000,1,1,0,0,0,0,0,0,0,0,0,0,3,2.7,+5,1.000,
2025-01-06,202501060PHI,PHO,Q1,Jusuf Nurkić,https://www.basketball-reference.com/boxscores/202501060PHI.html,6.05,1,2,.500,0,0,2,2,1,5,6,0,0,0,1,0,4,4.2,+2,,1.000
2025-01-06,202501060PHI,PHO,Q2,Devin Booker,https://www.basketball-reference.com/boxscores/202501060PHI.html,10.08,1,6,.167,0,2,0,0,0,1,1,4,1,0,1,0,2,1.3,+3,.000,
2025-01-06,202501060PHI,PHO,Q2,Kevin Durant,https://www.basketball-reference.com/boxscores/202501060PHI.html,3.88,2,3,.667,0,1,0,1,0,1,1,0,0,0,0,0,4,2.6,+2,.000,.000
2025-01-06,202501060PHI,PHO,Q2,Ryan Dunn,https://www.basketball-reference.com/boxscores/202501060PHI.html,3.88,1,3,.333,0,1,0,0,0,1,1,0,0,0,0,1,2,0.2,+1,.000,
2025-01-06,202501060PHI,PHO,Q2,Tyus Jones,https://www.basketball-reference.com/boxscores/202501060PHI.html,3.88,2,2,1.000,1,1,0,0,0,0,0,1,0,0,0,0,5,5.1,+2,1.000,
2025-01-06,202501060PHI,PHO,Q2,Bradley Beal,https://www.basketball-reference.com/boxscores/202501060PHI.html,5.48,1,2,.500,1,2,0,0,0,0,0,1,1,0,0,0,3,3.7,+1,.500,
2025-01-06,202501060PHI,PHO,Q2,Monte Morris,https://www.basketball-reference.com/boxscores/202501060PHI.html,8.12,1,2,.500,0,0,0,0,0,0,0,1,0,0,0,0,2,1.7,+1,,
2025-01-06,202501060PHI,PHO,Q2,Oso Ighodaro,https://www.basketball-reference.com/boxscores/202501060PHI.html,8.48,2,2,1.000,0,0,0,0,1,4,5,0,0,0,1,1,4,3.9,+4,,
2025-01-06,202501060PHI,PHO,Q2,Grayson Allen,https://www.basketball-reference.com/boxscores/202501060PHI.html,6.15,0,1,.000,0,0,0,0,0,1,1,0,0,0,0,1,0,-0.8,0,,
2025-01-06,202501060PHI,PHO,Q2,Jusuf Nurkić,https://www.basketball-reference.com/boxscores/202501060PHI.html,3.52,0,0,,0,0,1,2,0,1,1,0,0,0,0,0,1,0.9,-1,,.500
2025-01-06,202501060PHI,PHO,Q2,Josh Okogie,https://www.basketball-reference.com/boxscores/202501060PHI.html,6.52,1,2,.500,1,2,0,0,0,3,3,1,0,0,0,1,3,3.2,+2,.500,
2025-01-06,202501060PHI,PHO,Q3,Devin Booker,https://www.basketball-reference.com/boxscores/202501060PHI.html,7.8,2,4,.500,1,1,1,3,0,2,2,1,0,0,0,1,6,4.1,+11,1.000,.333
2025-01-06,202501060PHI,PHO,Q3,Kevin Durant,https://www.basketball-reference.com/boxscores/202501060PHI.html,12.0,3,4,.750,0,0,2,2,0,4,4,3,1,1,3,1,8,8.0,+9,,1.000
2025-01-06,202501060PHI,PHO,Q3,Ryan Dunn,https://www.basketball-reference.com/boxscores/202501060PHI.html,6.02,2,4,.500,1,3,0,0,0,0,0,0,0,0,0,0,5,3.0,+2,.333,
2025-01-06,202501060PHI,PHO,Q3,Tyus Jones,https://www.basketball-reference.com/boxscores/202501060PHI.html,7.8,0,1,.000,0,1,0,0,0,2,2,1,0,0,0,0,0,0.6,+11,.000,
2025-01-06,202501060PHI,PHO,Q3,Mason Plumlee,https://www.basketball-reference.com/boxscores/202501060PHI.html,6.68,0,0,,0,0,0,0,0,4,4,2,0,1,0,2,0,2.5,+7,,
2025-01-06,202501060PHI,PHO,Q3,Bradley Beal,https://www.basketball-reference.com/boxscores/202501060PHI.html,6.5,5,6,.833,2,3,2,2,0,0,0,1,0,0,0,1,14,12.1,+4,.667,1.000
2025-01-06,202501060PHI,PHO,Q3,Monte Morris,https://www.basketball-reference.com/boxscores/202501060PHI.html,3.67,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.4,+1,,
2025-01-06,202501060PHI,PHO,Q3,Oso Ighodaro,https://www.basketball-reference.com/boxscores/202501060PHI.html,0.52,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,,
2025-01-06,202501060PHI,PHO,Q3,Grayson Allen,https://www.basketball-reference.com/boxscores/202501060PHI.html,4.2,1,1,1.000,0,0,1,2,0,0,0,0,1,0,1,0,3,2.3,-2,,.500
2025-01-06,202501060PHI,PHO,Q3,Jusuf Nurkić,https://www.basketball-reference.com/boxscores/202501060PHI.html,4.78,0,0,,0,0,0,0,0,0,0,1,0,0,1,3,0,-1.5,+5,,
2025-01-06,202501060PHI,PHO,Q4,Devin Booker,https://www.basketball-reference.com/boxscores/202501060PHI.html,12.0,0,2,.000,0,2,2,3,0,1,1,4,1,0,2,1,2,1.9,+5,.000,.667
2025-01-06,202501060PHI,PHO,Q4,Kevin Durant,https://www.basketball-reference.com/boxscores/202501060PHI.html,6.5,3,3,1.000,2,2,0,0,0,1,1,1,0,0,0,0,8,8.1,-1,1.000,
2025-01-06,202501060PHI,PHO,Q4,Ryan Dunn,https://www.basketball-reference.com/boxscores/202501060PHI.html,12.0,3,4,.750,2,2,0,0,0,3,3,1,0,0,0,2,8,7.2,+5,1.000,
2025-01-06,202501060PHI,PHO,Q4,Bradley Beal,https://www.basketball-reference.com/boxscores/202501060PHI.html,10.9,3,4,.750,0,0,0,0,0,2,2,2,0,1,0,0,6,7.1,+5,,
2025-01-06,202501060PHI,PHO,Q4,Monte Morris,https://www.basketball-reference.com/boxscores/202501060PHI.html,6.6,1,2,.500,1,1,0,0,0,0,0,1,0,0,0,1,3,2.3,+6,1.000,
2025-01-06,202501060PHI,PHO,Q4,Oso Ighodaro,https://www.basketball-reference.com/boxscores/202501060PHI.html,12.0,2,4,.500,0,1,0,0,1,0,1,3,0,0,1,1,4,3.4,+5,.000,
2025-01-06,202501060PHI,PHI,Q1,Tyrese Maxey,https://www.basketball-reference.com/boxscores/202501060PHI.html,7.9,2,2,1.000,2,2,0,0,0,0,0,0,0,0,2,0,6,3.4,+12,1.000,
2025-01-06,202501060PHI,PHI,Q1,Kelly Oubre Jr.,https://www.basketball-reference.com/boxscores/202501060PHI.html,12.0,4,7,.571,0,2,0,0,1,2,3,0,0,0,0,1,8,5.6,+7,.000,
2025-01-06,202501060PHI,PHI,Q1,Paul George,https://www.basketball-reference.com/boxscores/202501060PHI.html,12.0,2,7,.286,0,3,0,0,0,3,3,1,1,0,0,1,4,2.1,+7,.000,
2025-01-06,202501060PHI,PHI,Q1,Caleb Martin,https://www.basketball-reference.com/boxscores/202501060PHI.html,7.9,0,1,.000,0,1,0,0,1,2,3,2,0,0,0,0,0,2.0,+12,.000,
2025-01-06,202501060PHI,PHI,Q1,Guerschon Yabusele,https://www.basketball-reference.com/boxscores/202501060PHI.html,9.13,2,5,.400,1,3,0,0,1,3,4,0,0,0,0,1,5,3.5,+8,.333,
2025-01-06,202501060PHI,PHI,Q1,Adem Bona,https://www.basketball-reference.com/boxscores/202501060PHI.html,2.87,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0.3,-1,,
2025-01-06,202501060PHI,PHI,Q1,Reggie Jackson,https://www.basketball-reference.com/boxscores/202501060PHI.html,4.1,0,0,,0,0,0,0,0,1,1,0,0,0,0,1,0,-0.1,-5,,
2025-01-06,202501060PHI,PHI,Q1,Jeff Dowtin Jr.,https://www.basketball-reference.com/boxscores/202501060PHI.html,4.1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-5,,
2025-01-06,202501060PHI,PHI,Q2,Tyrese Maxey,https://www.basketball-reference.com/boxscores/202501060PHI.html,12.0,1,6,.167,0,2,0,0,0,0,0,4,0,0,1,0,2,0.0,-3,.000,
2025-01-06,202501060PHI,PHI,Q2,Kelly Oubre Jr.,https://www.basketball-reference.com/boxscores/202501060PHI.html,5.87,0,1,.000,0,0,2,2,1,4,5,1,0,0,1,0,2,2.9,+3,,1.000
2025-01-06,202501060PHI,PHI,Q2,Paul George,https://www.basketball-reference.com/boxscores/202501060PHI.html,5.87,1,3,.333,1,1,0,0,0,1,1,1,0,0,0,0,3,2.3,+3,1.000,
2025-01-06,202501060PHI,PHI,Q2,Caleb Martin,https://www.basketball-reference.com/boxscores/202501060PHI.html,10.02,1,2,.500,1,1,1,2,0,0,0,0,1,0,0,1,4,3.2,-8,1.000,.500
2025-01-06,202501060PHI,PHI,Q2,Guerschon Yabusele,https://www.basketball-reference.com/boxscores/202501060PHI.html,8.45,2,4,.500,2,3,1,2,1,1,2,0,0,0,0,1,7,5.2,-5,.667,.500
