game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2025-02-20,202502200SAS,PHO,Q1,Devin Booker,https://www.basketball-reference.com/boxscores/202502200SAS.html,12.0,0,5,.000,0,1,.000,2,2,1.000,0,1,1,3,0,0,2,1,2,-1.5,-10
2025-02-20,202502200SAS,PHO,Q1,Kevin Durant,https://www.basketball-reference.com/boxscores/202502200SAS.html,7.8,2,4,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,4,2.0,-5
2025-02-20,202502200SAS,PHO,Q1,Royce O'Neale,https://www.basketball-reference.com/boxscores/202502200SAS.html,5.85,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,0,3,2.3,-6
2025-02-20,202502200SAS,PHO,Q1,Tyus Jones,https://www.basketball-reference.com/boxscores/202502200SAS.html,5.85,0,3,.000,0,3,.000,0,0,,0,0,0,0,0,0,0,0,0,-2.1,-6
2025-02-20,202502200SAS,PHO,Q1,Nick Richards,https://www.basketball-reference.com/boxscores/202502200SAS.html,8.8,1,2,.500,0,0,,1,1,1.000,2,4,6,0,0,0,1,1,3,3.2,-10
2025-02-20,202502200SAS,PHO,Q1,Grayson Allen,https://www.basketball-reference.com/boxscores/202502200SAS.html,6.15,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,1,0,0,-0.7,-4
2025-02-20,202502200SAS,PHO,Q1,Bradley Beal,https://www.basketball-reference.com/boxscores/202502200SAS.html,6.15,2,5,.400,0,0,,0,0,,0,0,0,1,0,0,0,1,4,1.6,-4
2025-02-20,202502200SAS,PHO,Q1,Mason Plumlee,https://www.basketball-reference.com/boxscores/202502200SAS.html,3.2,0,0,,0,0,,2,2,1.000,0,1,1,1,0,0,0,0,2,3.0,0
2025-02-20,202502200SAS,PHO,Q1,Bol Bol,https://www.basketball-reference.com/boxscores/202502200SAS.html,4.2,1,1,1.000,1,1,1.000,0,0,,0,3,3,0,0,0,1,0,3,2.6,-5
2025-02-20,202502200SAS,PHO,Q2,Devin Booker,https://www.basketball-reference.com/boxscores/202502200SAS.html,7.4,0,1,.000,0,1,.000,2,2,1.000,0,0,0,1,0,0,0,0,2,2.0,+7
2025-02-20,202502200SAS,PHO,Q2,Kevin Durant,https://www.basketball-reference.com/boxscores/202502200SAS.html,9.92,3,4,.750,0,1,.000,0,0,,0,2,2,2,0,0,1,0,6,5.4,+8
2025-02-20,202502200SAS,PHO,Q2,Royce O'Neale,https://www.basketball-reference.com/boxscores/202502200SAS.html,9.92,4,5,.800,3,4,.750,1,2,.500,0,1,1,1,2,0,0,1,12,12.3,+8
2025-02-20,202502200SAS,PHO,Q2,Tyus Jones,https://www.basketball-reference.com/boxscores/202502200SAS.html,6.57,1,3,.333,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,3,2.3,+6
