game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ft_pct
2025-02-26,202502260BRK,OKC,Q1,Jalen Williams,https://www.basketball-reference.com/boxscores/202502260BRK.html,6.27,2,5,.400,1,3,.333,0,0,0,2,2,1,0,0,0,1,5,3.2,-13,
2025-02-26,202502260BRK,OKC,Q1,Shai Gilgeous-Alexander,https://www.basketball-reference.com/boxscores/202502260BRK.html,12.0,3,4,.750,1,1,1.000,1,1,0,1,1,2,1,0,3,1,8,5.7,-11,1.000
2025-02-26,202502260BRK,OKC,Q1,Chet Holmgren,https://www.basketball-reference.com/boxscores/202502260BRK.html,5.23,0,1,.000,0,1,.000,0,0,1,1,2,0,0,0,0,0,0,0.3,-10,
2025-02-26,202502260BRK,OKC,Q1,Isaiah Hartenstein,https://www.basketball-reference.com/boxscores/202502260BRK.html,7.15,2,3,.667,0,0,,1,2,0,0,0,2,0,0,0,0,5,4.7,-16,.500
2025-02-26,202502260BRK,OKC,Q1,Luguentz Dort,https://www.basketball-reference.com/boxscores/202502260BRK.html,5.23,0,1,.000,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,-10,
2025-02-26,202502260BRK,OKC,Q1,Cason Wallace,https://www.basketball-reference.com/boxscores/202502260BRK.html,6.77,1,2,.500,0,1,.000,0,0,0,0,0,0,0,0,0,1,2,0.6,-1,
2025-02-26,202502260BRK,OKC,Q1,Aaron Wiggins,https://www.basketball-reference.com/boxscores/202502260BRK.html,5.62,4,5,.800,1,2,.500,0,0,1,1,2,0,0,0,0,1,9,7.7,+2,
2025-02-26,202502260BRK,OKC,Q1,Alex Caruso,https://www.basketball-reference.com/boxscores/202502260BRK.html,0.12,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
2025-02-26,202502260BRK,OKC,Q1,Isaiah Joe,https://www.basketball-reference.com/boxscores/202502260BRK.html,6.77,0,2,.000,0,2,.000,0,0,0,0,0,0,0,0,0,0,0,-1.4,-1,
2025-02-26,202502260BRK,OKC,Q1,Jaylin Williams,https://www.basketball-reference.com/boxscores/202502260BRK.html,4.85,0,1,.000,0,1,.000,0,0,0,2,2,1,0,0,0,0,0,0.6,+5,
2025-02-26,202502260BRK,OKC,Q2,Jalen Williams,https://www.basketball-reference.com/boxscores/202502260BRK.html,6.78,1,2,.500,0,1,.000,0,0,1,1,2,1,0,0,0,2,2,1.9,+7,
2025-02-26,202502260BRK,OKC,Q2,Shai Gilgeous-Alexander,https://www.basketball-reference.com/boxscores/202502260BRK.html,5.22,3,3,1.000,0,0,,0,1,0,0,0,0,0,0,0,1,6,4.3,-11,.000
2025-02-26,202502260BRK,OKC,Q2,Chet Holmgren,https://www.basketball-reference.com/boxscores/202502260BRK.html,10.27,2,3,.667,0,0,,3,3,1,3,4,3,1,1,0,1,7,10.7,-1,1.000
2025-02-26,202502260BRK,OKC,Q2,Isaiah Hartenstein,https://www.basketball-reference.com/boxscores/202502260BRK.html,4.3,0,0,,0,0,,0,0,0,0,0,1,0,0,0,1,0,0.3,-7,
2025-02-26,202502260BRK,OKC,Q2,Luguentz Dort,https://www.basketball-reference.com/boxscores/202502260BRK.html,7.03,1,6,.167,1,4,.250,0,0,0,1,1,0,0,0,1,0,3,-1.5,-11,
2025-02-26,202502260BRK,OKC,Q2,Cason Wallace,https://www.basketball-reference.com/boxscores/202502260BRK.html,8.45,2,3,.667,1,1,1.000,0,0,0,1,1,1,1,0,1,1,5,4.3,-1,
2025-02-26,202502260BRK,OKC,Q2,Aaron Wiggins,https://www.basketball-reference.com/boxscores/202502260BRK.html,7.7,3,7,.429,0,3,.000,0,0,0,1,1,1,0,0,1,0,6,2.3,+3,
2025-02-26,202502260BRK,OKC,Q2,Alex Caruso,https://www.basketball-reference.com/boxscores/202502260BRK.html,8.52,1,1,1.000,1,1,1.000,0,0,1,0,1,2,0,0,0,0,3,4.8,+4,
2025-02-26,202502260BRK,OKC,Q2,Isaiah Joe,https://www.basketball-reference.com/boxscores/202502260BRK.html,1.73,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,
2025-02-26,202502260BRK,OKC,Q3,Jalen Williams,https://www.basketball-reference.com/boxscores/202502260BRK.html,8.82,0,2,.000,0,1,.000,2,2,0,1,1,1,0,0,2,0,2,-0.4,+2,1.000
2025-02-26,202502260BRK,OKC,Q3,Shai Gilgeous-Alexander,https://www.basketball-reference.com/boxscores/202502260BRK.html,12.0,1,4,.250,0,1,.000,6,6,2,2,4,2,1,0,0,0,8,10.0,+9,1.000
2025-02-26,202502260BRK,OKC,Q3,Chet Holmgren,https://www.basketball-reference.com/boxscores/202502260BRK.html,8.22,2,4,.500,1,2,.500,1,2,0,3,3,0,1,1,0,0,6,6.2,+8,.500
2025-02-26,202502260BRK,OKC,Q3,Isaiah Hartenstein,https://www.basketball-reference.com/boxscores/202502260BRK.html,8.72,4,5,.800,0,0,,0,0,0,2,2,0,0,0,0,2,8,5.9,+4,
2025-02-26,202502260BRK,OKC,Q3,Luguentz Dort,https://www.basketball-reference.com/boxscores/202502260BRK.html,8.47,0,0,,0,0,,0,0,0,0,0,2,1,0,1,2,0,0.6,+2,
2025-02-26,202502260BRK,OKC,Q3,Cason Wallace,https://www.basketball-reference.com/boxscores/202502260BRK.html,3.18,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,+7,
2025-02-26,202502260BRK,OKC,Q3,Aaron Wiggins,https://www.basketball-reference.com/boxscores/202502260BRK.html,3.53,2,4,.500,1,1,1.000,0,0,1,0,1,0,0,0,0,0,5,3.7,+7,
2025-02-26,202502260BRK,OKC,Q3,Alex Caruso,https://www.basketball-reference.com/boxscores/202502260BRK.html,3.28,0,0,,0,0,,0,0,0,0,0,1,0,0,0,1,0,0.3,+5,
