game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ft_pct
2025-03-03,202503030MEM,ATL,Q1,Trae Young,https://www.basketball-reference.com/boxscores/202503030MEM.html,8.77,0,5,.000,0,2,.000,0,0,0,1,1,2,0,0,1,0,0,-2.8,-3,
2025-03-03,202503030MEM,ATL,Q1,Dyson Daniels,https://www.basketball-reference.com/boxscores/202503030MEM.html,9.28,3,4,.750,0,0,,2,4,0,0,0,0,2,0,1,1,8,6.2,-3,.500
2025-03-03,202503030MEM,ATL,Q1,Zaccharie Risacher,https://www.basketball-reference.com/boxscores/202503030MEM.html,8.85,2,3,.667,0,1,.000,0,0,0,0,0,0,1,0,0,0,4,3.7,-5,
2025-03-03,202503030MEM,ATL,Q1,Onyeka Okongwu,https://www.basketball-reference.com/boxscores/202503030MEM.html,7.8,3,5,.600,0,1,.000,0,0,2,2,4,1,1,0,1,1,6,6.0,-3,
2025-03-03,202503030MEM,ATL,Q1,Dominick Barlow,https://www.basketball-reference.com/boxscores/202503030MEM.html,9.2,2,3,.667,0,1,.000,2,2,1,1,2,0,0,0,0,0,6,5.7,-1,1.000
2025-03-03,202503030MEM,ATL,Q1,Caris LeVert,https://www.basketball-reference.com/boxscores/202503030MEM.html,5.95,0,4,.000,0,3,.000,0,0,0,1,1,2,1,0,1,1,0,-1.5,-6,
2025-03-03,202503030MEM,ATL,Q1,Terance Mann,https://www.basketball-reference.com/boxscores/202503030MEM.html,5.95,0,1,.000,0,0,,0,0,2,0,2,1,0,1,0,1,0,1.7,-6,
2025-03-03,202503030MEM,ATL,Q1,Clint Capela,https://www.basketball-reference.com/boxscores/202503030MEM.html,4.2,1,2,.500,0,0,,2,4,2,0,2,0,1,0,0,0,4,4.6,-3,.500
2025-03-03,202503030MEM,ATL,Q2,Trae Young,https://www.basketball-reference.com/boxscores/202503030MEM.html,9.32,2,4,.500,0,0,,2,2,0,1,1,6,0,0,1,0,6,7.5,+12,1.000
2025-03-03,202503030MEM,ATL,Q2,Dyson Daniels,https://www.basketball-reference.com/boxscores/202503030MEM.html,7.6,2,3,.667,0,0,,0,0,0,0,0,2,0,0,0,1,4,3.7,+9,
2025-03-03,202503030MEM,ATL,Q2,Zaccharie Risacher,https://www.basketball-reference.com/boxscores/202503030MEM.html,7.0,4,4,1.000,2,2,1.000,0,0,1,0,1,0,3,1,2,1,10,10.8,+12,
2025-03-03,202503030MEM,ATL,Q2,Onyeka Okongwu,https://www.basketball-reference.com/boxscores/202503030MEM.html,7.6,2,4,.500,0,0,,0,0,1,3,4,0,0,1,0,1,4,3.9,+9,
2025-03-03,202503030MEM,ATL,Q2,Dominick Barlow,https://www.basketball-reference.com/boxscores/202503030MEM.html,3.57,0,0,,0,0,,0,0,0,0,0,0,0,0,0,1,0,-0.4,-2,
2025-03-03,202503030MEM,ATL,Q2,Caris LeVert,https://www.basketball-reference.com/boxscores/202503030MEM.html,8.83,2,4,.500,0,1,.000,0,0,1,0,1,2,0,0,0,0,4,4.1,+10,
2025-03-03,202503030MEM,ATL,Q2,Terance Mann,https://www.basketball-reference.com/boxscores/202503030MEM.html,4.6,2,2,1.000,0,0,,0,0,0,0,0,0,0,0,0,0,4,3.4,+2,
2025-03-03,202503030MEM,ATL,Q2,Clint Capela,https://www.basketball-reference.com/boxscores/202503030MEM.html,4.4,1,2,.500,0,0,,0,0,0,2,2,0,0,1,0,1,2,1.9,+2,
2025-03-03,202503030MEM,ATL,Q2,Garrison Mathews,https://www.basketball-reference.com/boxscores/202503030MEM.html,7.08,3,4,.750,2,3,.667,0,0,0,0,0,1,0,2,0,3,8,7.3,+1,
2025-03-03,202503030MEM,ATL,Q3,Trae Young,https://www.basketball-reference.com/boxscores/202503030MEM.html,8.12,3,6,.500,0,0,,0,0,0,0,0,5,0,0,2,2,6,3.7,-9,
2025-03-03,202503030MEM,ATL,Q3,Dyson Daniels,https://www.basketball-reference.com/boxscores/202503030MEM.html,7.33,0,0,,0,0,,0,0,0,1,1,1,0,0,1,2,0,-0.8,-5,
2025-03-03,202503030MEM,ATL,Q3,Zaccharie Risacher,https://www.basketball-reference.com/boxscores/202503030MEM.html,9.0,3,4,.750,3,4,.750,0,0,0,0,0,0,0,0,0,1,9,7.0,-12,
