game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2025-03-19,202503190POR,MEM,Q1,Desmond Bane,https://www.basketball-reference.com/boxscores/202503190POR.html,9.93,2,3,.667,1,2,.500,2,2,1.000,0,2,2,2,0,0,0,1,7,7.3,-10
2025-03-19,202503190POR,MEM,Q1,Jaren Jackson Jr.,https://www.basketball-reference.com/boxscores/202503190POR.html,7.63,1,4,.250,0,0,,0,0,,0,2,2,0,0,0,1,0,2,-0.8,-11
2025-03-19,202503190POR,MEM,Q1,Luke Kennard,https://www.basketball-reference.com/boxscores/202503190POR.html,7.63,3,5,.600,0,1,.000,0,0,,0,1,1,2,1,0,0,0,6,6.4,-11
2025-03-19,202503190POR,MEM,Q1,Jaylen Wells,https://www.basketball-reference.com/boxscores/202503190POR.html,6.98,1,3,.333,0,1,.000,0,0,,1,0,1,0,0,0,0,0,2,1.0,-8
2025-03-19,202503190POR,MEM,Q1,Zach Edey,https://www.basketball-reference.com/boxscores/202503190POR.html,4.5,1,1,1.000,0,0,,0,0,,0,0,0,2,0,0,0,1,2,2.7,-10
2025-03-19,202503190POR,MEM,Q1,Scotty Pippen Jr.,https://www.basketball-reference.com/boxscores/202503190POR.html,7.5,3,6,.500,0,2,.000,0,0,,0,2,2,1,0,0,0,0,6,4.3,+1
2025-03-19,202503190POR,MEM,Q1,Santi Aldama,https://www.basketball-reference.com/boxscores/202503190POR.html,6.43,1,1,1.000,0,0,,2,2,1.000,0,1,1,1,0,0,0,0,4,4.7,+3
2025-03-19,202503190POR,MEM,Q1,Vince Williams Jr.,https://www.basketball-reference.com/boxscores/202503190POR.html,3.95,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1
2025-03-19,202503190POR,MEM,Q1,Brandon Clarke,https://www.basketball-reference.com/boxscores/202503190POR.html,5.43,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,0
2025-03-19,202503190POR,MEM,Q2,Desmond Bane,https://www.basketball-reference.com/boxscores/202503190POR.html,7.7,1,2,.500,0,1,.000,1,2,.500,1,0,1,0,1,0,1,1,3,1.9,-2
2025-03-19,202503190POR,MEM,Q2,Jaren Jackson Jr.,https://www.basketball-reference.com/boxscores/202503190POR.html,9.2,3,7,.429,1,2,.500,2,2,1.000,0,1,1,2,2,0,1,1,9,7.6,+2
2025-03-19,202503190POR,MEM,Q2,Luke Kennard,https://www.basketball-reference.com/boxscores/202503190POR.html,6.7,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3
2025-03-19,202503190POR,MEM,Q2,Jaylen Wells,https://www.basketball-reference.com/boxscores/202503190POR.html,4.0,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-4
2025-03-19,202503190POR,MEM,Q2,Zach Edey,https://www.basketball-reference.com/boxscores/202503190POR.html,2.8,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-2.1,-6
2025-03-19,202503190POR,MEM,Q2,Scotty Pippen Jr.,https://www.basketball-reference.com/boxscores/202503190POR.html,7.78,3,4,.750,0,0,,0,0,,0,2,2,1,1,0,0,3,6,5.5,-1
2025-03-19,202503190POR,MEM,Q2,Santi Aldama,https://www.basketball-reference.com/boxscores/202503190POR.html,6.73,2,2,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,4,4.1,-4
2025-03-19,202503190POR,MEM,Q2,John Konchar,https://www.basketball-reference.com/boxscores/202503190POR.html,8.43,1,2,.500,1,2,.500,0,0,,0,2,2,1,1,0,0,1,3,3.9,-5
2025-03-19,202503190POR,MEM,Q2,Vince Williams Jr.,https://www.basketball-reference.com/boxscores/202503190POR.html,6.65,2,3,.667,0,1,.000,0,0,,0,1,1,2,0,0,0,0,4,4.4,-3
2025-03-19,202503190POR,MEM,Q3,Desmond Bane,https://www.basketball-reference.com/boxscores/202503190POR.html,9.48,4,7,.571,1,3,.333,0,0,,1,1,2,2,0,0,0,2,9,7.3,+6
2025-03-19,202503190POR,MEM,Q3,Jaren Jackson Jr.,https://www.basketball-reference.com/boxscores/202503190POR.html,4.3,1,2,.500,1,1,1.000,0,0,,0,0,0,0,1,0,1,3,3,0.8,-3
2025-03-19,202503190POR,MEM,Q3,Luke Kennard,https://www.basketball-reference.com/boxscores/202503190POR.html,6.82,0,1,.000,0,0,,0,0,,0,2,2,1,1,0,0,0,0,1.6,-3
2025-03-19,202503190POR,MEM,Q3,Jaylen Wells,https://www.basketball-reference.com/boxscores/202503190POR.html,7.9,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-2.5,+2
