game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ft_pct
2025-04-25,202504250MIL,IND,Q1,Tyrese Haliburton,https://www.basketball-reference.com/boxscores/202504250MIL.html,9.98,1,3,.333,1,2,.500,0,0,0,3,3,3,0,1,0,0,3,5.0,-3,
2025-04-25,202504250MIL,IND,Q1,Pascal Siakam,https://www.basketball-reference.com/boxscores/202504250MIL.html,9.87,2,3,.667,0,0,,0,0,0,2,2,0,0,0,0,1,4,2.9,+4,
2025-04-25,202504250MIL,IND,Q1,Andrew Nembhard,https://www.basketball-reference.com/boxscores/202504250MIL.html,8.28,1,2,.500,0,1,.000,0,0,0,1,1,0,0,0,0,1,2,0.9,0,
2025-04-25,202504250MIL,IND,Q1,Aaron Nesmith,https://www.basketball-reference.com/boxscores/202504250MIL.html,7.6,2,4,.500,1,3,.333,0,0,1,2,3,0,0,0,0,1,5,3.9,-2,
2025-04-25,202504250MIL,IND,Q1,Myles Turner,https://www.basketball-reference.com/boxscores/202504250MIL.html,6.27,0,3,.000,0,2,.000,2,2,1,1,2,1,0,0,2,1,2,-0.8,-3,1.000
2025-04-25,202504250MIL,IND,Q1,Thomas Bryant,https://www.basketball-reference.com/boxscores/202504250MIL.html,5.73,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,0,0,-0.7,+3,
2025-04-25,202504250MIL,IND,Q1,T.J. McConnell,https://www.basketball-reference.com/boxscores/202504250MIL.html,5.73,0,1,.000,0,0,,0,0,0,2,2,3,0,0,0,0,0,2.0,+3,
2025-04-25,202504250MIL,IND,Q1,Obi Toppin,https://www.basketball-reference.com/boxscores/202504250MIL.html,2.13,1,3,.333,0,2,.000,1,1,0,0,0,0,0,0,0,1,3,0.9,-4,1.000
2025-04-25,202504250MIL,IND,Q1,Bennedict Mathurin,https://www.basketball-reference.com/boxscores/202504250MIL.html,4.4,3,6,.500,0,3,.000,1,1,0,0,0,0,0,0,1,0,7,3.0,+2,1.000
2025-04-25,202504250MIL,IND,Q2,Tyrese Haliburton,https://www.basketball-reference.com/boxscores/202504250MIL.html,8.28,2,4,.500,1,3,.333,0,0,0,2,2,5,0,0,0,1,5,6.7,+9,
2025-04-25,202504250MIL,IND,Q2,Pascal Siakam,https://www.basketball-reference.com/boxscores/202504250MIL.html,6.17,4,6,.667,1,1,1.000,0,1,0,1,1,1,0,0,0,0,9,7.0,+3,.000
2025-04-25,202504250MIL,IND,Q2,Andrew Nembhard,https://www.basketball-reference.com/boxscores/202504250MIL.html,6.02,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,1,0,-1.1,+1,
2025-04-25,202504250MIL,IND,Q2,Aaron Nesmith,https://www.basketball-reference.com/boxscores/202504250MIL.html,8.28,4,5,.800,2,2,1.000,0,0,0,3,3,1,1,1,0,0,10,11.4,+9,
2025-04-25,202504250MIL,IND,Q2,Myles Turner,https://www.basketball-reference.com/boxscores/202504250MIL.html,8.47,1,4,.250,0,2,.000,0,0,0,1,1,1,0,0,1,0,2,-0.4,+9,
2025-04-25,202504250MIL,IND,Q2,Thomas Bryant,https://www.basketball-reference.com/boxscores/202504250MIL.html,3.53,0,0,,0,0,,0,0,0,0,0,1,1,0,0,2,0,0.9,+1,
2025-04-25,202504250MIL,IND,Q2,T.J. McConnell,https://www.basketball-reference.com/boxscores/202504250MIL.html,3.72,0,1,.000,0,0,,0,0,0,1,1,1,0,0,1,0,0,-0.7,+1,
2025-04-25,202504250MIL,IND,Q2,Obi Toppin,https://www.basketball-reference.com/boxscores/202504250MIL.html,4.78,0,0,,0,0,,0,0,0,0,0,1,1,0,0,0,0,1.7,+7,
2025-04-25,202504250MIL,IND,Q2,Ben Sheppard,https://www.basketball-reference.com/boxscores/202504250MIL.html,5.98,1,1,1.000,1,1,1.000,0,0,0,0,0,0,0,0,0,1,3,2.3,+9,
2025-04-25,202504250MIL,IND,Q2,Bennedict Mathurin,https://www.basketball-reference.com/boxscores/202504250MIL.html,4.77,1,2,.500,0,1,.000,0,0,0,2,2,0,0,0,0,1,2,1.2,+1,
2025-04-25,202504250MIL,IND,Q3,Tyrese Haliburton,https://www.basketball-reference.com/boxscores/202504250MIL.html,10.58,0,2,.000,0,2,.000,0,0,0,1,1,2,0,0,1,1,0,-1.1,-21,
2025-04-25,202504250MIL,IND,Q3,Pascal Siakam,https://www.basketball-reference.com/boxscores/202504250MIL.html,9.22,3,5,.600,0,0,,1,2,0,2,2,0,0,0,0,1,7,4.5,-15,.500
2025-04-25,202504250MIL,IND,Q3,Andrew Nembhard,https://www.basketball-reference.com/boxscores/202504250MIL.html,7.47,1,4,.250,0,0,,2,2,0,0,0,1,0,0,0,0,4,2.3,-10,1.000
2025-04-25,202504250MIL,IND,Q3,Aaron Nesmith,https://www.basketball-reference.com/boxscores/202504250MIL.html,8.28,1,3,.333,1,3,.333,0,0,0,1,1,2,1,0,0,2,3,3.2,-16,
2025-04-25,202504250MIL,IND,Q3,Myles Turner,https://www.basketball-reference.com/boxscores/202504250MIL.html,6.8,0,2,.000,0,2,.000,2,2,0,0,0,0,0,1,0,0,2,1.3,-13,1.000
2025-04-25,202504250MIL,IND,Q3,Thomas Bryant,https://www.basketball-reference.com/boxscores/202504250MIL.html,5.2,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,-8,
2025-04-25,202504250MIL,IND,Q3,T.J. McConnell,https://www.basketball-reference.com/boxscores/202504250MIL.html,1.42,0,0,,0,0,,0,0,0,1,1,0,0,0,0,0,0,0.3,0,
2025-04-25,202504250MIL,IND,Q3,Obi Toppin,https://www.basketball-reference.com/boxscores/202504250MIL.html,2.78,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,1,0,2,0.7,-6,
2025-04-25,202504250MIL,IND,Q3,Ben Sheppard,https://www.basketball-reference.com/boxscores/202504250MIL.html,3.72,0,2,.000,0,2,.000,0,0,0,0,0,0,0,0,0,0,0,-1.4,-5,
2025-04-25,202504250MIL,IND,Q3,Bennedict Mathurin,https://www.basketball-reference.com/boxscores/202504250MIL.html,4.53,0,0,,0,0,,0,0,0,1,1,0,1,0,1,1,0,-0.1,-11,
2025-04-25,202504250MIL,IND,Q4,Tyrese Haliburton,https://www.basketball-reference.com/boxscores/202504250MIL.html,2.72,2,2,1.000,2,2,1.000,0,0,1,0,1,0,0,0,0,0,6,6.1,-8,
2025-04-25,202504250MIL,IND,Q4,Pascal Siakam,https://www.basketball-reference.com/boxscores/202504250MIL.html,5.73,3,5,.600,2,3,.667,0,0,0,0,0,1,2,0,0,1,8,8.0,-1,
2025-04-25,202504250MIL,IND,Q4,Andrew Nembhard,https://www.basketball-reference.com/boxscores/202504250MIL.html,8.45,0,1,.000,0,0,,0,0,0,0,0,4,1,0,0,0,0,3.1,-9,
2025-04-25,202504250MIL,IND,Q4,Aaron Nesmith,https://www.basketball-reference.com/boxscores/202504250MIL.html,2.72,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,1,0,-3.1,-8,
2025-04-25,202504250MIL,IND,Q4,Myles Turner,https://www.basketball-reference.com/boxscores/202504250MIL.html,2.72,0,0,,0,0,,0,0,0,0,0,0,0,0,1,0,0,-1.0,-8,
2025-04-25,202504250MIL,IND,Q4,Thomas Bryant,https://www.basketball-reference.com/boxscores/202504250MIL.html,6.93,1,1,1.000,1,1,1.000,0,0,1,3,4,1,0,0,2,1,3,2.6,+5,
2025-04-25,202504250MIL,IND,Q4,T.J. McConnell,https://www.basketball-reference.com/boxscores/202504250MIL.html,5.73,0,2,.000,0,0,,0,0,0,0,0,1,0,0,0,0,0,-0.7,-1,
2025-04-25,202504250MIL,IND,Q4,Obi Toppin,https://www.basketball-reference.com/boxscores/202504250MIL.html,6.33,2,5,.400,0,2,.000,1,2,0,2,2,0,0,1,1,0,5,2.2,-3,.500
2025-04-25,202504250MIL,IND,Q4,Ben Sheppard,https://www.basketball-reference.com/boxscores/202504250MIL.html,5.73,1,2,.500,0,1,.000,0,0,1,1,2,0,0,0,0,0,2,2.0,-1,
2025-04-25,202504250MIL,IND,Q4,Jarace Walker,https://www.basketball-reference.com/boxscores/202504250MIL.html,5.83,1,2,.500,0,0,,0,0,0,0,0,0,0,0,0,1,2,0.6,+1,
2025-04-25,202504250MIL,IND,Q4,Tony Bradley,https://www.basketball-reference.com/boxscores/202504250MIL.html,3.55,0,0,,0,0,,0,0,2,0,2,2,0,0,0,0,0,2.8,+4,
2025-04-25,202504250MIL,IND,Q4,Johnny Furphy,https://www.basketball-reference.com/boxscores/202504250MIL.html,3.55,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,+4,
2025-04-25,202504250MIL,MIL,Q1,Gary Trent Jr.,https://www.basketball-reference.com/boxscores/202504250MIL.html,7.07,3,4,.750,1,2,.500,1,1,0,2,2,0,1,0,0,0,8,8.0,0,1.000
2025-04-25,202504250MIL,MIL,Q1,Giannis Antetokounmpo,https://www.basketball-reference.com/boxscores/202504250MIL.html,8.18,5,6,.833,0,0,,3,4,0,4,4,2,0,0,0,2,13,12.2,+2,.750
2025-04-25,202504250MIL,MIL,Q1,Damian Lillard,https://www.basketball-reference.com/boxscores/202504250MIL.html,8.08,1,4,.250,0,1,.000,0,0,0,0,0,2,1,0,0,1,2,1.6,0,
2025-04-25,202504250MIL,MIL,Q1,Kyle Kuzma,https://www.basketball-reference.com/boxscores/202504250MIL.html,5.47,0,2,.000,0,0,,0,0,0,0,0,0,0,0,2,1,0,-3.8,-2,
2025-04-25,202504250MIL,MIL,Q1,Brook Lopez,https://www.basketball-reference.com/boxscores/202504250MIL.html,5.47,0,1,.000,0,1,.000,0,0,0,1,1,0,0,0,1,1,0,-1.8,-2,
2025-04-25,202504250MIL,MIL,Q1,Bobby Portis,https://www.basketball-reference.com/boxscores/202504250MIL.html,6.53,0,4,.000,0,2,.000,0,0,0,3,3,0,0,0,0,0,0,-1.9,+2,
2025-04-25,202504250MIL,MIL,Q1,Kevin Porter Jr.,https://www.basketball-reference.com/boxscores/202504250MIL.html,5.73,0,0,,0,0,,0,0,0,1,1,1,0,0,1,0,0,0.0,-3,
2025-04-25,202504250MIL,MIL,Q1,A.J. Green,https://www.basketball-reference.com/boxscores/202504250MIL.html,6.53,1,2,.500,1,2,.500,0,0,0,1,1,0,0,0,0,0,3,2.3,+2,
2025-04-25,202504250MIL,MIL,Q1,Jericho Sims,https://www.basketball-reference.com/boxscores/202504250MIL.html,3.82,0,0,,0,0,,0,0,1,0,1,0,0,0,0,0,0,0.7,-2,
2025-04-25,202504250MIL,MIL,Q1,Taurean Prince,https://www.basketball-reference.com/boxscores/202504250MIL.html,3.12,0,1,.000,0,1,.000,0,0,0,1,1,0,0,0,0,1,0,-0.8,+3,
2025-04-25,202504250MIL,MIL,Q2,Gary Trent Jr.,https://www.basketball-reference.com/boxscores/202504250MIL.html,11.17,1,3,.333,1,2,.500,2,2,0,1,1,0,1,0,0,1,5,4.2,-9,1.000
2025-04-25,202504250MIL,MIL,Q2,Giannis Antetokounmpo,https://www.basketball-reference.com/boxscores/202504250MIL.html,7.23,2,3,.667,0,0,,0,0,2,2,4,0,0,0,2,0,4,2.7,-9,
2025-04-25,202504250MIL,MIL,Q2,Damian Lillard,https://www.basketball-reference.com/boxscores/202504250MIL.html,8.47,0,4,.000,0,4,.000,0,0,0,1,1,2,0,1,1,1,0,-1.8,-3,
2025-04-25,202504250MIL,MIL,Q2,Kyle Kuzma,https://www.basketball-reference.com/boxscores/202504250MIL.html,7.22,2,3,.667,1,2,.500,0,0,0,0,0,0,0,0,0,1,5,3.3,-5,
2025-04-25,202504250MIL,MIL,Q2,Brook Lopez,https://www.basketball-reference.com/boxscores/202504250MIL.html,4.52,0,2,.000,0,2,.000,0,0,0,0,0,0,0,0,0,0,0,-1.4,-3,
2025-04-25,202504250MIL,MIL,Q2,Bobby Portis,https://www.basketball-reference.com/boxscores/202504250MIL.html,8.72,2,4,.500,0,1,.000,0,0,0,0,0,0,0,1,0,0,4,2.7,-7,
2025-04-25,202504250MIL,MIL,Q2,Kevin Porter Jr.,https://www.basketball-reference.com/boxscores/202504250MIL.html,6.0,0,2,.000,0,1,.000,1,2,0,1,1,2,0,0,0,1,1,0.5,-10,.500
2025-04-25,202504250MIL,MIL,Q2,A.J. Green,https://www.basketball-reference.com/boxscores/202504250MIL.html,3.15,0,2,.000,0,2,.000,0,0,0,1,1,0,0,0,0,0,0,-1.1,-3,
2025-04-25,202504250MIL,MIL,Q2,Jericho Sims,https://www.basketball-reference.com/boxscores/202504250MIL.html,3.53,1,1,1.000,0,0,,0,1,3,2,5,0,0,0,0,0,2,4.0,-1,.000
2025-04-25,202504250MIL,MIL,Q3,Gary Trent Jr.,https://www.basketball-reference.com/boxscores/202504250MIL.html,12.0,5,7,.714,5,6,.833,3,4,0,0,0,0,1,0,0,0,18,15.7,+21,.750
2025-04-25,202504250MIL,MIL,Q3,Giannis Antetokounmpo,https://www.basketball-reference.com/boxscores/202504250MIL.html,10.58,3,3,1.000,0,0,,5,5,1,2,3,2,1,0,2,0,11,11.8,+21,1.000
2025-04-25,202504250MIL,MIL,Q3,Damian Lillard,https://www.basketball-reference.com/boxscores/202504250MIL.html,5.5,0,2,.000,0,1,.000,0,0,0,2,2,0,0,0,0,2,0,-1.6,+10,
2025-04-25,202504250MIL,MIL,Q3,Kyle Kuzma,https://www.basketball-reference.com/boxscores/202504250MIL.html,5.5,2,4,.500,0,0,,0,0,0,3,3,1,0,1,0,1,4,3.9,+10,
2025-04-25,202504250MIL,MIL,Q3,Brook Lopez,https://www.basketball-reference.com/boxscores/202504250MIL.html,4.62,0,0,,0,0,,0,0,1,0,1,2,0,0,0,2,0,1.3,+10,
2025-04-25,202504250MIL,MIL,Q3,Bobby Portis,https://www.basketball-reference.com/boxscores/202504250MIL.html,7.38,3,5,.600,0,1,.000,0,0,0,1,1,1,0,0,0,0,6,4.7,+11,
2025-04-25,202504250MIL,MIL,Q3,Kevin Porter Jr.,https://www.basketball-reference.com/boxscores/202504250MIL.html,6.5,0,0,,0,0,,0,0,0,0,0,2,0,0,0,0,0,1.4,+11,
2025-04-25,202504250MIL,MIL,Q3,A.J. Green,https://www.basketball-reference.com/boxscores/202504250MIL.html,6.5,0,0,,0,0,,0,0,0,2,2,2,0,0,0,0,0,2.0,+11,
2025-04-25,202504250MIL,MIL,Q3,Jericho Sims,https://www.basketball-reference.com/boxscores/202504250MIL.html,1.42,0,0,,0,0,,0,0,0,1,1,0,0,0,0,0,0,0.3,0,
2025-04-25,202504250MIL,MIL,Q4,Gary Trent Jr.,https://www.basketball-reference.com/boxscores/202504250MIL.html,3.85,2,2,1.000,2,2,1.000,0,0,0,0,0,0,1,0,0,0,6,6.4,+8,
2025-04-25,202504250MIL,MIL,Q4,Giannis Antetokounmpo,https://www.basketball-reference.com/boxscores/202504250MIL.html,6.2,4,7,.571,0,0,,1,1,0,1,1,2,0,0,1,0,9,6.4,+10,1.000
2025-04-25,202504250MIL,MIL,Q4,Damian Lillard,https://www.basketball-reference.com/boxscores/202504250MIL.html,9.58,1,2,.500,1,2,.500,2,2,0,0,0,1,1,1,0,0,5,6.4,+9,1.000
2025-04-25,202504250MIL,MIL,Q4,Kyle Kuzma,https://www.basketball-reference.com/boxscores/202504250MIL.html,2.42,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0,0,0.7,-4,
2025-04-25,202504250MIL,MIL,Q4,Bobby Portis,https://www.basketball-reference.com/boxscores/202504250MIL.html,9.58,0,0,,0,0,,0,0,2,2,4,2,1,0,3,1,0,1.0,+9,
2025-04-25,202504250MIL,MIL,Q4,Kevin Porter Jr.,https://www.basketball-reference.com/boxscores/202504250MIL.html,8.15,0,3,.000,0,1,.000,0,0,0,2,2,1,0,0,0,1,0,-1.2,-3,
2025-04-25,202504250MIL,MIL,Q4,A.J. Green,https://www.basketball-reference.com/boxscores/202504250MIL.html,9.58,3,4,.750,3,4,.750,0,0,0,0,0,2,0,0,0,1,9,8.4,+9,
2025-04-25,202504250MIL,MIL,Q4,Jericho Sims,https://www.basketball-reference.com/boxscores/202504250MIL.html,5.8,1,1,1.000,0,0,,0,0,0,1,1,0,0,0,0,0,2,2.0,-5,
2025-04-25,202504250MIL,MIL,Q4,Pat Connaughton,https://www.basketball-reference.com/boxscores/202504250MIL.html,2.42,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,-4,
2025-04-25,202504250MIL,MIL,Q4,Ryan Rollins,https://www.basketball-reference.com/boxscores/202504250MIL.html,2.42,0,1,.000,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,-4,
