game_date,game_id,team,player,url,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm
2021-02-22,202102220UTA,CHO,LaMelo Ball,https://www.basketball-reference.com/boxscores/202102220UTA.html,38:10,.492,.450,.350,.150,5.6,18.0,11.0,16.3,3.6,0.0,12.3,26.8,99,124,-1.0
2021-02-22,202102220UTA,CHO,Terry Rozier,https://www.basketball-reference.com/boxscores/202102220UTA.html,31:30,.505,.455,.364,.182,0.0,4.4,1.9,9.1,2.9,0.0,14.4,18.5,93,129,-6.1
2021-02-22,202102220UTA,CHO,P.J. Washington,https://www.basketball-reference.com/boxscores/202102220UTA.html,30:41,.790,.722,.556,.444,0.0,13.4,5.9,18.9,6.0,0.0,31.7,21.6,112,119,6.3
2021-02-22,202102220UTA,CHO,Gordon Hayward,https://www.basketball-reference.com/boxscores/202102220UTA.html,25:44,.661,.633,.333,.133,4.1,10.7,7.0,15.4,3.6,6.2,0.0,25.9,139,123,12.2
2021-02-22,202102220UTA,CHO,Cody Zeller,https://www.basketball-reference.com/boxscores/202102220UTA.html,20:46,.405,.333,.111,.222,20.5,19.8,20.2,20.4,0.0,0.0,23.3,26.1,90,133,-10.8
2021-02-22,202102220UTA,CHO,Miles Bridges,https://www.basketball-reference.com/boxscores/202102220UTA.html,27:33,.417,.417,.500,.000,3.9,10.0,6.5,9.3,3.3,5.8,25.0,12.2,79,124,-2.9
2021-02-22,202102220UTA,CHO,Jalen McDaniels,https://www.basketball-reference.com/boxscores/202102220UTA.html,24:51,.296,.200,.600,.800,0.0,27.6,12.1,0.0,0.0,0.0,0.0,11.4,65,132,-11.7
2021-02-22,202102220UTA,CHO,Malik Monk,https://www.basketball-reference.com/boxscores/202102220UTA.html,23:48,.727,.750,.667,.333,0.0,34.6,15.1,0.0,0.0,0.0,0.0,24.3,141,131,7.9
2021-02-22,202102220UTA,CHO,Bismack Biyombo,https://www.basketball-reference.com/boxscores/202102220UTA.html,13:52,.500,.500,.000,.000,0.0,0.0,0.0,9.2,0.0,0.0,33.3,9.1,78,137,-11.9
2021-02-22,202102220UTA,CHO,Cody Martin,https://www.basketball-reference.com/boxscores/202102220UTA.html,3:02,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,137,-7.6
2021-02-22,202102220UTA,UTA,Donovan Mitchell,https://www.basketball-reference.com/boxscores/202102220UTA.html,33:12,.613,.559,.471,.235,8.3,6.4,7.2,34.6,1.4,0.0,24.2,31.3,115,110,-2.1
2021-02-22,202102220UTA,UTA,Rudy Gobert,https://www.basketball-reference.com/boxscores/202102220UTA.html,29:49,.868,.750,.000,1.000,13.8,32.2,24.1,4.0,0.0,18.2,41.0,13.7,117,94,2.7
2021-02-22,202102220UTA,UTA,Mike Conley,https://www.basketball-reference.com/boxscores/202102220UTA.html,29:20,.588,.545,.818,.364,0.0,7.3,4.1,21.3,4.7,0.0,13.6,21.1,121,102,3.7
2021-02-22,202102220UTA,UTA,Royce O'Neale,https://www.basketball-reference.com/boxscores/202102220UTA.html,28:34,.571,.571,.857,.000,4.8,26.1,16.8,21.0,0.0,3.2,36.4,16.1,100,106,-1.8
2021-02-22,202102220UTA,UTA,Bojan Bogdanović,https://www.basketball-reference.com/boxscores/202102220UTA.html,26:08,.512,.500,.500,.500,5.2,12.2,9.2,9.8,1.8,0.0,23.5,20.5,92,108,-7.5
2021-02-22,202102220UTA,UTA,Joe Ingles,https://www.basketball-reference.com/boxscores/202102220UTA.html,30:18,.955,.955,.909,.000,0.0,17.6,9.9,28.0,0.0,0.0,0.0,15.2,193,111,14.6
2021-02-22,202102220UTA,UTA,Jordan Clarkson,https://www.basketball-reference.com/boxscores/202102220UTA.html,24:38,.648,.633,.667,.067,0.0,8.7,4.9,24.9,3.7,0.0,11.5,29.7,122,104,6.0
2021-02-22,202102220UTA,UTA,Derrick Favors,https://www.basketball-reference.com/boxscores/202102220UTA.html,16:53,.500,.500,.000,.000,0.0,25.3,14.2,7.2,0.0,0.0,20.0,12.4,90,109,-7.6
2021-02-22,202102220UTA,UTA,Georges Niang,https://www.basketball-reference.com/boxscores/202102220UTA.html,15:55,1.500,1.500,1.000,.000,8.6,13.4,11.3,12.6,0.0,0.0,0.0,18.4,289,111,36.1
2021-02-22,202102220UTA,UTA,Trent Forrest,https://www.basketball-reference.com/boxscores/202102220UTA.html,1:18,,,,,0.0,82.1,46.2,0.0,0.0,0.0,,0.0,0,98,-0.7
2021-02-22,202102220UTA,UTA,Shaquille Harrison,https://www.basketball-reference.com/boxscores/202102220UTA.html,1:18,.000,.000,1.000,.000,0.0,0.0,0.0,82.1,0.0,0.0,0.0,32.3,80,114,-18.8
2021-02-22,202102220UTA,UTA,Juwan Morgan,https://www.basketball-reference.com/boxscores/202102220UTA.html,1:18,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,114,-3.4
2021-02-22,202102220UTA,UTA,Miye Oni,https://www.basketball-reference.com/boxscores/202102220UTA.html,1:18,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,114,-3.0
