game_date,game_id,team,player,url,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm
2021-05-14,202105140MEM,SAC,Damian Jones,https://www.basketball-reference.com/boxscores/202105140MEM.html,34:41,.882,.857,.000,.857,2.6,27.1,14.5,14.5,0.0,0.0,0.0,11.3,187,106,6.2
2021-05-14,202105140MEM,SAC,Buddy Hield,https://www.basketball-reference.com/boxscores/202105140MEM.html,28:44,.611,.611,.889,.000,3.1,3.3,3.2,27.6,0.0,0.0,18.2,15.6,114,112,-0.5
2021-05-14,202105140MEM,SAC,Delon Wright,https://www.basketball-reference.com/boxscores/202105140MEM.html,23:39,.125,.125,.375,.000,3.8,15.9,9.7,11.6,2.0,0.0,20.0,17.2,39,105,-15.8
2021-05-14,202105140MEM,SAC,Chimezie Metu,https://www.basketball-reference.com/boxscores/202105140MEM.html,22:24,.689,.650,.300,.200,4.0,16.8,10.2,8.9,0.0,0.0,8.4,21.6,130,109,3.2
2021-05-14,202105140MEM,SAC,Maurice Harkless,https://www.basketball-reference.com/boxscores/202105140MEM.html,8:08,.000,.000,.000,.000,0.0,11.6,5.6,31.9,0.0,0.0,0.0,5.0,82,109,-5.4
2021-05-14,202105140MEM,SAC,Louis King,https://www.basketball-reference.com/boxscores/202105140MEM.html,34:05,.742,.688,.313,.313,10.4,13.8,12.1,18.4,4.2,5.5,5.2,22.9,151,97,18.2
2021-05-14,202105140MEM,SAC,Jahmi'us Ramsey,https://www.basketball-reference.com/boxscores/202105140MEM.html,29:48,.388,.333,.583,.167,3.0,6.3,4.6,10.0,1.6,0.0,0.0,17.6,96,107,-5.9
2021-05-14,202105140MEM,SAC,Terence Davis,https://www.basketball-reference.com/boxscores/202105140MEM.html,27:39,.202,.167,.667,.222,6.4,23.8,14.9,0.0,1.7,0.0,0.0,29.1,54,102,-18.4
2021-05-14,202105140MEM,SAC,Justin James,https://www.basketball-reference.com/boxscores/202105140MEM.html,25:20,.484,.385,.154,.615,10.5,22.3,16.2,13.8,1.9,0.0,19.5,33.0,91,103,-6.8
2021-05-14,202105140MEM,SAC,Robert Woodard II,https://www.basketball-reference.com/boxscores/202105140MEM.html,5:32,.000,.000,1.000,.000,0.0,34.0,16.5,23.4,0.0,0.0,0.0,14.7,28,104,-14.2
2021-05-14,202105140MEM,MEM,Justise Winslow,https://www.basketball-reference.com/boxscores/202105140MEM.html,38:21,.578,.579,.316,.316,4.9,25.5,15.5,19.5,0.0,0.0,12.2,27.4,106,105,0.2
2021-05-14,202105140MEM,MEM,Killian Tillie,https://www.basketball-reference.com/boxscores/202105140MEM.html,37:56,.542,.500,.462,.308,0.0,14.1,7.2,4.1,0.0,0.0,6.3,17.7,102,110,-4.0
2021-05-14,202105140MEM,MEM,Xavier Tillman Sr.,https://www.basketball-reference.com/boxscores/202105140MEM.html,31:04,.820,.875,.000,.500,9.1,20.0,14.7,5.9,1.5,2.9,23.5,17.5,123,103,2.0
2021-05-14,202105140MEM,MEM,Tyus Jones,https://www.basketball-reference.com/boxscores/202105140MEM.html,23:45,.340,.200,.200,.400,0.0,7.5,3.8,24.5,4.0,0.0,7.8,22.9,82,104,-6.7
2021-05-14,202105140MEM,MEM,Desmond Bane,https://www.basketball-reference.com/boxscores/202105140MEM.html,19:59,.429,.429,.571,.000,0.0,13.3,6.9,16.1,2.4,4.4,22.2,19.2,73,103,-5.6
2021-05-14,202105140MEM,MEM,Tim Frazier,https://www.basketball-reference.com/boxscores/202105140MEM.html,24:15,.147,.091,.455,.545,0.0,11.0,5.7,39.6,2.0,0.0,6.8,25.8,56,107,-16.2
2021-05-14,202105140MEM,MEM,John Konchar,https://www.basketball-reference.com/boxscores/202105140MEM.html,21:54,.856,.857,.571,.571,8.6,12.2,10.4,8.4,0.0,0.0,0.0,17.1,173,111,8.3
2021-05-14,202105140MEM,MEM,Jontay Porter,https://www.basketball-reference.com/boxscores/202105140MEM.html,21:24,.902,1.167,.333,.667,8.8,4.2,6.4,0.0,2.2,4.2,20.5,9.7,128,107,-1.3
2021-05-14,202105140MEM,MEM,De'Anthony Melton,https://www.basketball-reference.com/boxscores/202105140MEM.html,21:22,.610,.417,.833,.833,0.0,16.6,8.6,20.7,4.4,8.3,10.9,18.4,123,94,8.7
