game_date,game_id,team,player,url,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm
2023-05-06,202305060LAL,GSW,Klay Thompson,https://www.basketball-reference.com/boxscores/202305060LAL.html,32:33,.504,.464,.643,.143,2.8,26.0,12.0,0.0,1.5,3.0,28.7,26.2,70,124,-9.3
2023-05-06,202305060LAL,GSW,Stephen Curry,https://www.basketball-reference.com/boxscores/202305060LAL.html,32:03,.515,.524,.476,.143,5.8,8.8,7.0,20.0,1.5,3.1,11.8,32.3,96,127,3.1
2023-05-06,202305060LAL,GSW,Andrew Wiggins,https://www.basketball-reference.com/boxscores/202305060LAL.html,27:50,.673,.636,.364,.182,9.9,30.4,18.0,26.9,0.0,3.5,0.0,17.4,152,127,10.7
2023-05-06,202305060LAL,GSW,Draymond Green,https://www.basketball-reference.com/boxscores/202305060LAL.html,22:45,.250,.250,.250,.000,4.1,6.2,4.9,24.9,2.1,4.3,0.0,7.2,105,124,-4.1
2023-05-06,202305060LAL,GSW,JaMychal Green,https://www.basketball-reference.com/boxscores/202305060LAL.html,11:28,.200,.200,.600,.000,0.0,0.0,0.0,0.0,0.0,0.0,16.7,21.4,36,133,-24.2
2023-05-06,202305060LAL,GSW,Donte DiVincenzo,https://www.basketball-reference.com/boxscores/202305060LAL.html,22:06,.313,.313,.625,.000,8.4,19.2,12.6,27.4,0.0,4.4,11.1,16.6,88,127,-4.1
2023-05-06,202305060LAL,GSW,Jordan Poole,https://www.basketball-reference.com/boxscores/202305060LAL.html,22:06,.253,.222,.444,.222,0.0,19.2,7.6,41.2,0.0,0.0,28.8,25.7,60,131,-15.4
2023-05-06,202305060LAL,GSW,Moses Moody,https://www.basketball-reference.com/boxscores/202305060LAL.html,20:17,.644,.500,.667,.667,9.1,13.9,11.0,7.0,0.0,0.0,0.0,7.8,158,131,-2.9
2023-05-06,202305060LAL,GSW,Kevon Looney,https://www.basketball-reference.com/boxscores/202305060LAL.html,15:54,.798,1.000,.000,2.000,5.8,26.6,14.0,36.6,3.0,0.0,61.5,12.5,88,123,1.9
2023-05-06,202305060LAL,GSW,Gary Payton II,https://www.basketball-reference.com/boxscores/202305060LAL.html,12:50,.571,.571,.143,.000,14.4,11.0,13.0,0.0,3.7,7.6,0.0,22.3,121,118,7.3
2023-05-06,202305060LAL,GSW,Jonathan Kuminga,https://www.basketball-reference.com/boxscores/202305060LAL.html,9:11,.868,.875,.250,1.000,0.0,15.4,6.1,0.0,0.0,0.0,14.8,30.1,136,132,12.1
2023-05-06,202305060LAL,GSW,Anthony Lamb,https://www.basketball-reference.com/boxscores/202305060LAL.html,5:44,.750,.750,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,138,134,3.5
2023-05-06,202305060LAL,GSW,Patrick Baldwin Jr.,https://www.basketball-reference.com/boxscores/202305060LAL.html,5:13,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,0,134,-22.3
2023-05-06,202305060LAL,LAL,Anthony Davis,https://www.basketball-reference.com/boxscores/202305060LAL.html,33:01,.818,.700,.000,1.200,0.0,36.3,22.0,13.7,4.3,12.4,16.4,24.5,143,77,15.7
2023-05-06,202305060LAL,LAL,LeBron James,https://www.basketball-reference.com/boxscores/202305060LAL.html,32:23,.723,.636,.364,.727,4.4,20.0,13.8,35.8,0.0,3.2,0.0,19.9,166,99,14.6
2023-05-06,202305060LAL,LAL,Austin Reaves,https://www.basketball-reference.com/boxscores/202305060LAL.html,29:37,.451,.313,.500,.875,4.8,3.1,3.8,8.4,3.2,0.0,0.0,16.6,111,100,-2.8
2023-05-06,202305060LAL,LAL,D'Angelo Russell,https://www.basketball-reference.com/boxscores/202305060LAL.html,29:27,.808,.808,.615,.000,0.0,9.4,5.7,28.1,1.6,0.0,27.8,27.1,113,101,4.5
2023-05-06,202305060LAL,LAL,Jarred Vanderbilt,https://www.basketball-reference.com/boxscores/202305060LAL.html,15:13,.148,.000,.600,.800,9.3,24.3,18.3,0.0,0.0,0.0,0.0,19.7,48,99,-18.0
2023-05-06,202305060LAL,LAL,Lonnie Walker IV,https://www.basketball-reference.com/boxscores/202305060LAL.html,24:24,.872,.833,.667,.333,0.0,15.1,9.1,0.0,3.9,4.2,12.7,14.3,141,91,7.9
2023-05-06,202305060LAL,LAL,Dennis Schröder,https://www.basketball-reference.com/boxscores/202305060LAL.html,20:12,.558,.611,.667,.444,0.0,0.0,0.0,7.3,2.4,0.0,8.5,25.8,99,103,-2.2
2023-05-06,202305060LAL,LAL,Rui Hachimura,https://www.basketball-reference.com/boxscores/202305060LAL.html,16:29,.833,.833,.333,.000,8.6,0.0,3.4,8.0,2.9,0.0,25.0,10.8,130,102,2.9
2023-05-06,202305060LAL,LAL,Troy Brown Jr.,https://www.basketball-reference.com/boxscores/202305060LAL.html,8:33,.500,.500,.000,.000,0.0,21.6,13.1,15.4,0.0,0.0,0.0,10.4,121,100,-1.3
2023-05-06,202305060LAL,LAL,Shaquille Harrison,https://www.basketball-reference.com/boxscores/202305060LAL.html,8:33,.900,.900,.200,.000,0.0,0.0,0.0,100.0,0.0,0.0,0.0,25.9,193,108,19.2
2023-05-06,202305060LAL,LAL,Malik Beasley,https://www.basketball-reference.com/boxscores/202305060LAL.html,5:44,.000,.000,.000,.000,0.0,16.1,9.7,0.0,0.0,0.0,0.0,15.5,0,102,-19.7
2023-05-06,202305060LAL,LAL,Max Christie,https://www.basketball-reference.com/boxscores/202305060LAL.html,5:44,1.000,1.000,.000,.000,0.0,32.2,19.5,99.2,0.0,0.0,0.0,23.2,209,95,30.1
2023-05-06,202305060LAL,LAL,Tristan Thompson,https://www.basketball-reference.com/boxscores/202305060LAL.html,5:44,.333,.333,.000,.000,49.2,16.1,29.2,0.0,0.0,0.0,25.0,30.9,84,102,-11.2
2023-05-06,202305060LAL,LAL,Wenyen Gabriel,https://www.basketball-reference.com/boxscores/202305060LAL.html,4:56,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,108,-11.1
