game_date,game_id,team,player,url,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm
2024-12-27,202412270LAC,GSW,Trayce Jackson-Davis,https://www.basketball-reference.com/boxscores/202412270LAC.html,30:48,.582,.583,.000,.167,18.0,13.8,16.3,12.9,3.3,0.0,13.4,19.7,115,107,3.2
2024-12-27,202412270LAC,GSW,Dennis Schröder,https://www.basketball-reference.com/boxscores/202412270LAC.html,23:35,.295,.273,.545,.182,0.0,6.0,2.4,35.2,0.0,0.0,20.2,25.7,67,115,-12.7
2024-12-27,202412270LAC,GSW,Andrew Wiggins,https://www.basketball-reference.com/boxscores/202412270LAC.html,23:35,.227,.227,.273,.000,3.9,6.0,4.7,13.2,0.0,4.7,8.3,20.7,63,112,-10.3
2024-12-27,202412270LAC,GSW,Buddy Hield,https://www.basketball-reference.com/boxscores/202412270LAC.html,21:39,.313,.313,.750,.000,8.5,45.6,23.2,0.0,0.0,0.0,11.1,16.9,73,110,-10.9
2024-12-27,202412270LAC,GSW,Kyle Anderson,https://www.basketball-reference.com/boxscores/202412270LAC.html,14:47,.625,.625,.500,.000,25.0,19.1,22.7,11.4,6.8,0.0,20.0,13.8,121,98,10.4
2024-12-27,202412270LAC,GSW,Jonathan Kuminga,https://www.basketball-reference.com/boxscores/202412270LAC.html,36:46,.676,.605,.158,.737,10.0,23.0,15.2,31.6,2.7,3.0,10.7,31.2,134,105,18.2
2024-12-27,202412270LAC,GSW,Brandin Podziemski,https://www.basketball-reference.com/boxscores/202412270LAC.html,30:33,.556,.556,.556,.000,0.0,9.2,3.7,27.4,4.9,0.0,0.0,12.0,137,104,6.9
2024-12-27,202412270LAC,GSW,Moses Moody,https://www.basketball-reference.com/boxscores/202412270LAC.html,24:25,.463,.409,.455,.182,0.0,11.6,4.6,7.2,8.2,0.0,7.8,21.5,99,96,1.8
2024-12-27,202412270LAC,GSW,Lindy Waters III,https://www.basketball-reference.com/boxscores/202412270LAC.html,16:11,.000,.000,1.000,.000,0.0,8.7,3.4,8.5,3.1,0.0,0.0,15.1,11,108,-16.3
2024-12-27,202412270LAC,GSW,Kevon Looney,https://www.basketball-reference.com/boxscores/202412270LAC.html,12:03,.000,.000,.000,.000,15.3,23.4,18.5,0.0,0.0,0.0,33.3,10.1,30,112,-21.1
2024-12-27,202412270LAC,GSW,Gui Santos,https://www.basketball-reference.com/boxscores/202412270LAC.html,4:50,.000,.000,1.000,.000,0.0,29.2,11.5,28.4,0.0,0.0,50.0,16.9,23,111,-23.9
2024-12-27,202412270LAC,GSW,Quinten Post,https://www.basketball-reference.com/boxscores/202412270LAC.html,0:48,.000,.000,1.000,.000,0.0,0.0,0.0,100.0,0.0,0.0,0.0,50.9,52,116,9.5
2024-12-27,202412270LAC,LAC,Norman Powell,https://www.basketball-reference.com/boxscores/202412270LAC.html,40:11,.597,.550,.350,.200,0.0,6.9,4.2,4.3,2.5,2.1,15.5,29.4,101,99,-1.0
2024-12-27,202412270LAC,LAC,James Harden,https://www.basketball-reference.com/boxscores/202412270LAC.html,38:50,.571,.500,.571,.286,3.6,4.8,4.3,26.6,1.3,2.2,27.6,25.7,99,103,-1.4
2024-12-27,202412270LAC,LAC,Ivica Zubac,https://www.basketball-reference.com/boxscores/202412270LAC.html,35:57,.824,.889,.000,.333,3.9,25.7,17.1,9.1,0.0,11.7,16.2,15.7,137,89,9.5
2024-12-27,202412270LAC,LAC,Kris Dunn,https://www.basketball-reference.com/boxscores/202412270LAC.html,34:13,.732,.750,.625,.250,4.1,16.2,11.4,17.0,1.5,0.0,36.0,18.6,101,96,0.6
2024-12-27,202412270LAC,LAC,Derrick Jones Jr.,https://www.basketball-reference.com/boxscores/202412270LAC.html,29:31,.583,.583,.167,.000,9.6,12.5,11.3,11.4,3.4,0.0,7.7,20.2,119,94,4.6
2024-12-27,202412270LAC,LAC,Amir Coffey,https://www.basketball-reference.com/boxscores/202412270LAC.html,25:38,.698,.643,.714,.286,0.0,7.2,4.4,0.0,0.0,3.3,0.0,14.1,141,104,3.0
2024-12-27,202412270LAC,LAC,Nicolas Batum,https://www.basketball-reference.com/boxscores/202412270LAC.html,20:03,.500,.500,1.000,.000,7.0,18.4,13.9,19.1,0.0,4.2,40.0,11.4,93,97,2.5
2024-12-27,202412270LAC,LAC,Mo Bamba,https://www.basketball-reference.com/boxscores/202412270LAC.html,12:03,,,,,0.0,15.3,9.3,0.0,0.0,7.0,,0.0,0,97,-0.3
2024-12-27,202412270LAC,LAC,Jordan Miller,https://www.basketball-reference.com/boxscores/202412270LAC.html,3:34,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,38.6,0,109,-48.9
