game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2019-10-27,201910270DAL,POR,CJ McCollum,https://www.basketball-reference.com/boxscores/201910270DAL.html,40.98,13,26,.500,1,4,.250,8,8,1.000,0,6,6,4,2,0,2,3,35,25.4,+12
2019-10-27,201910270DAL,POR,Damian Lillard,https://www.basketball-reference.com/boxscores/201910270DAL.html,38.4,10,20,.500,1,7,.143,7,9,.778,0,3,3,5,1,1,2,3,28,20.1,-1
2019-10-27,201910270DAL,POR,Rodney Hood,https://www.basketball-reference.com/boxscores/201910270DAL.html,31.68,8,12,.667,3,3,1.000,1,2,.500,2,4,6,0,2,1,2,3,20,16.5,-9
2019-10-27,201910270DAL,POR,Hassan Whiteside,https://www.basketball-reference.com/boxscores/201910270DAL.html,25.68,2,4,.500,0,0,,2,2,1.000,2,12,14,0,0,1,3,6,6,4.3,-4
2019-10-27,201910270DAL,POR,Zach Collins,https://www.basketball-reference.com/boxscores/201910270DAL.html,24.03,3,5,.600,2,3,.667,2,2,1.000,0,3,3,1,0,0,2,4,10,5.7,+10
2019-10-27,201910270DAL,POR,Kent Bazemore,https://www.basketball-reference.com/boxscores/201910270DAL.html,30.42,4,8,.500,1,2,.500,2,3,.667,0,5,5,1,0,0,3,4,11,4.2,+2
2019-10-27,201910270DAL,POR,Mario Hezonja,https://www.basketball-reference.com/boxscores/201910270DAL.html,24.85,2,7,.286,0,1,.000,0,0,,1,7,8,2,1,1,0,3,4,4.6,+6
2019-10-27,201910270DAL,POR,Anfernee Simons,https://www.basketball-reference.com/boxscores/201910270DAL.html,15.07,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,1,1,3,0.6,+2
2019-10-27,201910270DAL,POR,Skal Labissière,https://www.basketball-reference.com/boxscores/201910270DAL.html,5.57,2,3,.667,0,0,,0,0,,2,1,3,0,0,0,0,2,4,3.6,+7
2019-10-27,201910270DAL,POR,Anthony Tolliver,https://www.basketball-reference.com/boxscores/201910270DAL.html,3.32,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,-15
2019-10-27,201910270DAL,DAL,Luka Dončić,https://www.basketball-reference.com/boxscores/201910270DAL.html,37.7,8,22,.364,2,11,.182,11,14,.786,1,11,12,9,3,0,4,4,29,23.3,+5
2019-10-27,201910270DAL,DAL,Kristaps Porziņģis,https://www.basketball-reference.com/boxscores/201910270DAL.html,34.38,11,23,.478,3,10,.300,7,10,.700,3,6,9,5,0,2,0,4,32,26.3,-7
2019-10-27,201910270DAL,DAL,Jalen Brunson,https://www.basketball-reference.com/boxscores/201910270DAL.html,26.52,1,6,.167,1,4,.250,1,1,1.000,0,2,2,2,0,0,0,2,4,1.4,+6
2019-10-27,201910270DAL,DAL,Maxi Kleber,https://www.basketball-reference.com/boxscores/201910270DAL.html,24.52,5,10,.500,2,6,.333,2,2,1.000,2,4,6,3,0,1,1,4,14,11.8,+2
2019-10-27,201910270DAL,DAL,Delon Wright,https://www.basketball-reference.com/boxscores/201910270DAL.html,22.97,3,4,.750,2,2,1.000,0,0,,0,2,2,5,0,0,2,1,8,8.1,-9
2019-10-27,201910270DAL,DAL,Dorian Finney-Smith,https://www.basketball-reference.com/boxscores/201910270DAL.html,28.88,2,6,.333,1,3,.333,1,2,.500,4,5,9,0,1,0,2,3,6,4.3,+11
2019-10-27,201910270DAL,DAL,Seth Curry,https://www.basketball-reference.com/boxscores/201910270DAL.html,24.92,4,10,.400,2,7,.286,2,2,1.000,0,0,0,2,3,0,0,1,12,10.6,+1
2019-10-27,201910270DAL,DAL,Tim Hardaway Jr.,https://www.basketball-reference.com/boxscores/201910270DAL.html,21.93,2,7,.286,0,5,.000,7,8,.875,0,1,1,1,0,0,2,2,11,4.7,-10
2019-10-27,201910270DAL,DAL,Justin Jackson,https://www.basketball-reference.com/boxscores/201910270DAL.html,18.18,1,6,.167,0,2,.000,1,2,.500,2,3,5,0,0,0,0,1,3,0.7,-9
