game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2019-11-29,201911290LAL,WAS,Bradley Beal,https://www.basketball-reference.com/boxscores/201911290LAL.html,30.38,5,13,.385,2,7,.286,6,6,1.000,1,2,3,9,2,0,3,3,18,16.3,-20
2019-11-29,201911290LAL,WAS,Rui Hachimura,https://www.basketball-reference.com/boxscores/201911290LAL.html,26.38,7,15,.467,0,3,.000,2,2,1.000,1,7,8,1,1,0,1,2,16,11.0,-27
2019-11-29,201911290LAL,WAS,Thomas Bryant,https://www.basketball-reference.com/boxscores/201911290LAL.html,22.07,2,6,.333,0,0,,1,2,.500,0,5,5,3,0,0,1,2,5,3.0,-23
2019-11-29,201911290LAL,WAS,Isaiah Thomas,https://www.basketball-reference.com/boxscores/201911290LAL.html,21.85,4,6,.667,2,4,.500,0,0,,0,0,0,1,1,0,1,3,10,6.9,-13
2019-11-29,201911290LAL,WAS,Troy Brown Jr.,https://www.basketball-reference.com/boxscores/201911290LAL.html,19.8,4,10,.400,0,2,.000,1,2,.500,3,4,7,1,3,1,2,2,9,8.1,-18
2019-11-29,201911290LAL,WAS,Dāvis Bertāns,https://www.basketball-reference.com/boxscores/201911290LAL.html,26.95,2,6,.333,2,5,.400,0,0,,0,3,3,2,0,0,1,4,6,2.3,-2
2019-11-29,201911290LAL,WAS,Ish Smith,https://www.basketball-reference.com/boxscores/201911290LAL.html,26.15,6,14,.429,1,4,.250,0,0,,1,2,3,3,1,0,1,1,13,8.6,-9
2019-11-29,201911290LAL,WAS,Jordan McRae,https://www.basketball-reference.com/boxscores/201911290LAL.html,22.0,5,10,.500,1,5,.200,2,2,1.000,1,4,5,4,1,0,1,1,13,12.3,+3
2019-11-29,201911290LAL,WAS,Moritz Wagner,https://www.basketball-reference.com/boxscores/201911290LAL.html,21.82,1,9,.111,0,4,.000,5,5,1.000,5,3,8,1,1,1,4,5,7,1.9,-3
2019-11-29,201911290LAL,WAS,Isaac Bonga,https://www.basketball-reference.com/boxscores/201911290LAL.html,17.23,2,5,.400,2,3,.667,0,0,,1,2,3,0,0,0,1,0,6,3.6,0
2019-11-29,201911290LAL,WAS,Chris Chiozza,https://www.basketball-reference.com/boxscores/201911290LAL.html,5.37,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-2.4,+2
2019-11-29,201911290LAL,LAL,Kentavious Caldwell-Pope,https://www.basketball-reference.com/boxscores/201911290LAL.html,28.65,2,6,.333,0,2,.000,0,0,,0,3,3,3,0,0,0,3,4,2.4,+23
2019-11-29,201911290LAL,LAL,Anthony Davis,https://www.basketball-reference.com/boxscores/201911290LAL.html,27.4,8,15,.533,1,2,.500,9,12,.750,4,9,13,2,0,3,0,1,26,26.1,+28
2019-11-29,201911290LAL,LAL,LeBron James,https://www.basketball-reference.com/boxscores/201911290LAL.html,24.6,9,16,.563,4,8,.500,1,2,.500,0,3,3,11,2,1,6,1,23,19.9,+20
2019-11-29,201911290LAL,LAL,JaVale McGee,https://www.basketball-reference.com/boxscores/201911290LAL.html,21.68,5,7,.714,0,0,,5,6,.833,1,10,11,2,1,2,3,5,15,14.2,+3
2019-11-29,201911290LAL,LAL,Danny Green,https://www.basketball-reference.com/boxscores/201911290LAL.html,20.92,4,6,.667,3,5,.600,0,0,,0,2,2,0,1,0,0,3,11,8.8,+18
2019-11-29,201911290LAL,LAL,Quinn Cook,https://www.basketball-reference.com/boxscores/201911290LAL.html,22.73,7,11,.636,3,4,.750,0,0,,0,2,2,1,0,0,2,1,17,11.0,-2
2019-11-29,201911290LAL,LAL,Dwight Howard,https://www.basketball-reference.com/boxscores/201911290LAL.html,19.45,3,4,.750,0,0,,2,2,1.000,2,3,5,0,1,2,3,4,8,6.5,+5
2019-11-29,201911290LAL,LAL,Alex Caruso,https://www.basketball-reference.com/boxscores/201911290LAL.html,19.28,0,3,.000,0,2,.000,2,4,.500,0,3,3,3,1,0,1,2,2,1.3,-2
2019-11-29,201911290LAL,LAL,Kyle Kuzma,https://www.basketball-reference.com/boxscores/201911290LAL.html,17.03,2,7,.286,0,1,.000,0,0,,0,2,2,1,0,0,2,0,4,-0.8,+10
2019-11-29,201911290LAL,LAL,Jared Dudley,https://www.basketball-reference.com/boxscores/201911290LAL.html,13.87,0,1,.000,0,1,.000,2,2,1.000,0,0,0,2,2,0,1,0,2,3.7,-7
2019-11-29,201911290LAL,LAL,Troy Daniels,https://www.basketball-reference.com/boxscores/201911290LAL.html,13.18,0,4,.000,0,3,.000,0,0,,0,2,2,0,1,0,0,0,0,-1.2,-1
2019-11-29,201911290LAL,LAL,Rajon Rondo,https://www.basketball-reference.com/boxscores/201911290LAL.html,11.2,5,7,.714,3,4,.750,0,0,,0,1,1,4,0,0,0,0,13,13.2,+15
