game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2019-12-11,201912110SAC,OKC,Shai Gilgeous-Alexander,https://www.basketball-reference.com/boxscores/201912110SAC.html,35.55,4,11,.364,0,1,.000,6,8,.750,0,4,4,4,1,1,3,3,14,8.6,-3
2019-12-11,201912110SAC,OKC,Chris Paul,https://www.basketball-reference.com/boxscores/201912110SAC.html,35.08,3,9,.333,2,5,.400,0,0,,0,7,7,12,0,3,1,2,8,13.7,+14
2019-12-11,201912110SAC,OKC,Danilo Gallinari,https://www.basketball-reference.com/boxscores/201912110SAC.html,33.25,5,13,.385,3,9,.333,1,2,.500,0,8,8,3,1,0,3,1,14,8.6,+5
2019-12-11,201912110SAC,OKC,Abdel Nader,https://www.basketball-reference.com/boxscores/201912110SAC.html,32.65,5,9,.556,5,6,.833,0,0,,1,3,4,0,1,0,1,1,15,11.9,+9
2019-12-11,201912110SAC,OKC,Steven Adams,https://www.basketball-reference.com/boxscores/201912110SAC.html,28.13,5,10,.500,0,0,,2,5,.400,5,5,10,4,0,2,1,1,12,13.6,-3
2019-12-11,201912110SAC,OKC,Dennis Schröder,https://www.basketball-reference.com/boxscores/201912110SAC.html,31.25,7,14,.500,3,8,.375,0,0,,0,2,2,0,2,1,3,3,17,9.1,-4
2019-12-11,201912110SAC,OKC,Nerlens Noel,https://www.basketball-reference.com/boxscores/201912110SAC.html,19.87,4,5,.800,0,0,,3,3,1.000,1,3,4,0,2,1,1,3,11,11.2,+2
2019-12-11,201912110SAC,OKC,Luguentz Dort,https://www.basketball-reference.com/boxscores/201912110SAC.html,12.75,1,4,.250,0,2,.000,0,0,,0,0,0,1,1,0,0,2,2,0.5,-11
2019-12-11,201912110SAC,OKC,Darius Bazley,https://www.basketball-reference.com/boxscores/201912110SAC.html,11.47,0,4,.000,0,2,.000,0,0,,0,4,4,0,0,0,2,0,0,-3.6,-14
2019-12-11,201912110SAC,SAC,Buddy Hield,https://www.basketball-reference.com/boxscores/201912110SAC.html,37.05,9,24,.375,5,14,.357,0,0,,0,7,7,6,1,0,2,3,23,13.9,+9
2019-12-11,201912110SAC,SAC,Harrison Barnes,https://www.basketball-reference.com/boxscores/201912110SAC.html,34.28,2,9,.222,0,2,.000,1,2,.500,1,4,5,3,0,0,2,0,5,1.1,-10
2019-12-11,201912110SAC,SAC,Richaun Holmes,https://www.basketball-reference.com/boxscores/201912110SAC.html,24.95,5,7,.714,0,0,,0,0,,2,5,7,0,2,1,3,4,10,8.1,+5
2019-12-11,201912110SAC,SAC,Cory Joseph,https://www.basketball-reference.com/boxscores/201912110SAC.html,24.3,3,8,.375,1,3,.333,0,0,,0,2,2,2,0,1,0,1,7,4.9,-19
2019-12-11,201912110SAC,SAC,Nemanja Bjelica,https://www.basketball-reference.com/boxscores/201912110SAC.html,22.23,4,8,.500,2,3,.667,0,0,,0,5,5,0,0,0,2,4,10,3.9,-11
2019-12-11,201912110SAC,SAC,Trevor Ariza,https://www.basketball-reference.com/boxscores/201912110SAC.html,29.48,2,3,.667,0,0,,1,1,1.000,1,4,5,1,2,0,1,2,5,6.5,+17
2019-12-11,201912110SAC,SAC,Bogdan Bogdanović,https://www.basketball-reference.com/boxscores/201912110SAC.html,29.42,7,12,.583,2,7,.286,1,4,.250,0,3,3,0,1,0,3,5,17,7.1,+14
2019-12-11,201912110SAC,SAC,Marvin Bagley III,https://www.basketball-reference.com/boxscores/201912110SAC.html,23.05,5,13,.385,0,1,.000,1,1,1.000,2,4,6,0,0,1,1,2,11,5.4,-4
2019-12-11,201912110SAC,SAC,Yogi Ferrell,https://www.basketball-reference.com/boxscores/201912110SAC.html,15.23,2,4,.500,0,1,.000,2,2,1.000,0,1,1,0,2,0,1,0,6,5.3,+4
