game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ft_pct
2020-02-23,202002230LAL,BOS,Gordon Hayward,https://www.basketball-reference.com/boxscores/202002230LAL.html,39.57,5,15,.333,0,5,.000,0,0,0,8,8,9,0,0,3,2,10,6.4,0,
2020-02-23,202002230LAL,BOS,Jaylen Brown,https://www.basketball-reference.com/boxscores/202002230LAL.html,38.92,8,19,.421,3,9,.333,1,2,2,4,6,2,2,1,4,4,20,10.6,+7,.500
2020-02-23,202002230LAL,BOS,Jayson Tatum,https://www.basketball-reference.com/boxscores/202002230LAL.html,36.55,12,20,.600,4,7,.571,13,15,1,4,5,2,1,2,2,3,41,33.5,+6,.867
2020-02-23,202002230LAL,BOS,Marcus Smart,https://www.basketball-reference.com/boxscores/202002230LAL.html,35.92,4,11,.364,3,7,.429,3,4,1,6,7,3,2,0,2,5,14,10.1,-4,.750
2020-02-23,202002230LAL,BOS,Daniel Theis,https://www.basketball-reference.com/boxscores/202002230LAL.html,31.22,6,7,.857,2,2,1.000,2,3,2,7,9,0,0,0,1,6,16,13.2,+4,.667
2020-02-23,202002230LAL,BOS,Brad Wanamaker,https://www.basketball-reference.com/boxscores/202002230LAL.html,18.08,0,4,.000,0,1,.000,2,2,1,2,3,3,1,0,3,2,2,-0.2,-11,1.000
2020-02-23,202002230LAL,BOS,Romeo Langford,https://www.basketball-reference.com/boxscores/202002230LAL.html,15.4,2,5,.400,1,2,.500,0,2,0,0,0,0,0,0,0,2,5,0.7,-4,.000
2020-02-23,202002230LAL,BOS,Grant Williams,https://www.basketball-reference.com/boxscores/202002230LAL.html,13.1,1,2,.500,0,1,.000,2,2,1,0,1,0,1,0,1,5,4,1.7,+3,1.000
2020-02-23,202002230LAL,BOS,Semi Ojeleye,https://www.basketball-reference.com/boxscores/202002230LAL.html,6.08,0,0,,0,0,,0,0,0,3,3,1,0,0,0,0,0,1.6,-5,
2020-02-23,202002230LAL,BOS,Enes Freedom,https://www.basketball-reference.com/boxscores/202002230LAL.html,5.17,0,0,,0,0,,0,0,0,2,2,0,0,0,1,0,0,-0.4,-6,
2020-02-23,202002230LAL,BOS,Vincent Poirier,https://www.basketball-reference.com/boxscores/202002230LAL.html,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,,
2020-02-23,202002230LAL,LAL,Anthony Davis,https://www.basketball-reference.com/boxscores/202002230LAL.html,39.08,10,25,.400,3,5,.600,9,12,6,7,13,3,0,2,6,3,32,19.9,-3,.750
2020-02-23,202002230LAL,LAL,LeBron James,https://www.basketball-reference.com/boxscores/202002230LAL.html,35.48,9,19,.474,4,10,.400,7,12,0,8,8,9,0,0,2,4,29,22.4,-1,.583
2020-02-23,202002230LAL,LAL,Avery Bradley,https://www.basketball-reference.com/boxscores/202002230LAL.html,29.08,1,4,.250,1,3,.333,0,0,0,2,2,1,1,0,0,2,3,2.1,+7,
2020-02-23,202002230LAL,LAL,Danny Green,https://www.basketball-reference.com/boxscores/202002230LAL.html,22.55,1,4,.250,1,4,.250,0,0,0,2,2,0,0,0,1,1,3,-0.2,-16,
2020-02-23,202002230LAL,LAL,JaVale McGee,https://www.basketball-reference.com/boxscores/202002230LAL.html,12.93,2,3,.667,0,0,,0,0,1,7,8,0,0,0,0,2,4,4.7,-6,
2020-02-23,202002230LAL,LAL,Kentavious Caldwell-Pope,https://www.basketball-reference.com/boxscores/202002230LAL.html,28.28,3,5,.600,1,3,.333,0,0,0,1,1,2,2,0,1,2,7,6.6,+2,
2020-02-23,202002230LAL,LAL,Kyle Kuzma,https://www.basketball-reference.com/boxscores/202002230LAL.html,27.23,6,13,.462,1,5,.200,3,4,1,3,4,0,0,1,2,1,16,8.8,+17,.750
2020-02-23,202002230LAL,LAL,Rajon Rondo,https://www.basketball-reference.com/boxscores/202002230LAL.html,22.05,1,2,.500,0,1,.000,2,4,1,0,1,5,5,0,0,1,4,11.0,+15,.500
2020-02-23,202002230LAL,LAL,Dwight Howard,https://www.basketball-reference.com/boxscores/202002230LAL.html,15.25,3,5,.600,0,0,,4,5,2,5,7,0,0,1,1,4,10,8.3,-6,.800
2020-02-23,202002230LAL,LAL,Alex Caruso,https://www.basketball-reference.com/boxscores/202002230LAL.html,8.05,3,6,.500,0,3,.000,0,0,0,0,0,0,1,0,0,2,6,3.2,+1,
