game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2020-08-24,202008240ORL,MIL,Giannis Antetokounmpo,https://www.basketball-reference.com/boxscores/202008240ORL.html,33.6,14,21,.667,1,5,.200,2,6,.333,4,11,15,8,0,1,2,4,31,29.1,+20
2020-08-24,202008240ORL,MIL,Khris Middleton,https://www.basketball-reference.com/boxscores/202008240ORL.html,32.25,7,19,.368,4,7,.571,3,5,.600,1,9,10,3,0,0,4,4,21,9.6,+15
2020-08-24,202008240ORL,MIL,Brook Lopez,https://www.basketball-reference.com/boxscores/202008240ORL.html,31.35,4,9,.444,2,5,.400,0,0,,1,1,2,1,2,3,1,1,10,9.7,+4
2020-08-24,202008240ORL,MIL,Eric Bledsoe,https://www.basketball-reference.com/boxscores/202008240ORL.html,23.97,3,11,.273,0,2,.000,0,0,,1,5,6,5,1,1,1,1,6,5.5,-16
2020-08-24,202008240ORL,MIL,Wesley Matthews,https://www.basketball-reference.com/boxscores/202008240ORL.html,21.67,4,6,.667,4,6,.667,0,0,,0,2,2,3,1,0,1,4,12,10.5,+5
2020-08-24,202008240ORL,MIL,George Hill,https://www.basketball-reference.com/boxscores/202008240ORL.html,23.38,2,5,.400,1,3,.333,4,4,1.000,0,2,2,6,2,0,2,1,9,10.7,+30
2020-08-24,202008240ORL,MIL,Pat Connaughton,https://www.basketball-reference.com/boxscores/202008240ORL.html,21.53,2,4,.500,0,1,.000,0,0,,0,5,5,1,0,0,0,0,4,4.2,-6
2020-08-24,202008240ORL,MIL,Kyle Korver,https://www.basketball-reference.com/boxscores/202008240ORL.html,19.03,3,7,.429,2,6,.333,2,2,1.000,0,0,0,0,0,0,1,0,10,5.3,+17
2020-08-24,202008240ORL,MIL,Marvin Williams,https://www.basketball-reference.com/boxscores/202008240ORL.html,13.75,3,3,1.000,2,2,1.000,0,0,,1,1,2,1,0,0,0,0,8,8.8,+5
2020-08-24,202008240ORL,MIL,Donte DiVincenzo,https://www.basketball-reference.com/boxscores/202008240ORL.html,12.12,1,2,.500,0,1,.000,3,4,.750,0,5,5,1,1,0,0,2,5,6.0,+1
2020-08-24,202008240ORL,MIL,Ersan İlyasova,https://www.basketball-reference.com/boxscores/202008240ORL.html,7.27,2,4,.500,1,3,.333,0,0,,0,0,0,0,0,0,0,2,5,2.2,0
2020-08-24,202008240ORL,ORL,Nikola Vučević,https://www.basketball-reference.com/boxscores/202008240ORL.html,38.03,11,20,.550,6,10,.600,3,3,1.000,1,10,11,7,0,2,1,3,31,29.2,-8
2020-08-24,202008240ORL,ORL,Evan Fournier,https://www.basketball-reference.com/boxscores/202008240ORL.html,35.6,4,14,.286,3,9,.333,1,3,.333,1,7,8,3,1,2,1,5,12,7.3,-5
2020-08-24,202008240ORL,ORL,Markelle Fultz,https://www.basketball-reference.com/boxscores/202008240ORL.html,31.45,6,15,.400,2,4,.500,1,1,1.000,0,5,5,7,2,0,3,6,15,9.9,-11
2020-08-24,202008240ORL,ORL,Gary Clark,https://www.basketball-reference.com/boxscores/202008240ORL.html,26.93,4,8,.500,4,8,.500,0,0,,0,1,1,1,1,1,1,0,12,9.7,-10
2020-08-24,202008240ORL,ORL,James Ennis III,https://www.basketball-reference.com/boxscores/202008240ORL.html,22.97,2,8,.250,1,5,.200,1,2,.500,1,2,3,1,2,1,1,3,6,3.3,-11
2020-08-24,202008240ORL,ORL,Terrence Ross,https://www.basketball-reference.com/boxscores/202008240ORL.html,31.23,6,13,.462,1,8,.125,6,6,1.000,1,7,8,1,0,0,2,0,19,13.8,-7
2020-08-24,202008240ORL,ORL,D.J. Augustin,https://www.basketball-reference.com/boxscores/202008240ORL.html,26.13,2,6,.333,1,1,1.000,1,2,.500,0,1,1,5,0,0,3,2,6,2.2,-12
2020-08-24,202008240ORL,ORL,Khem Birch,https://www.basketball-reference.com/boxscores/202008240ORL.html,17.62,1,3,.333,0,0,,3,3,1.000,1,4,5,1,0,0,3,2,5,2.1,-7
2020-08-24,202008240ORL,ORL,Wes Iwundu,https://www.basketball-reference.com/boxscores/202008240ORL.html,10.02,0,0,,0,0,,0,0,,0,1,1,0,1,0,1,2,0,-0.5,-4
