game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2020-12-25,202012250MIA,NOP,Zion Williamson,https://www.basketball-reference.com/boxscores/202012250MIA.html,38.3,11,20,.550,0,1,.000,10,15,.667,4,10,14,1,1,0,3,1,32,24.5,-13
2020-12-25,202012250MIA,NOP,Brandon Ingram,https://www.basketball-reference.com/boxscores/202012250MIA.html,37.05,7,17,.412,4,8,.500,10,11,.909,0,2,2,3,0,0,4,0,28,17.2,+2
2020-12-25,202012250MIA,NOP,Lonzo Ball,https://www.basketball-reference.com/boxscores/202012250MIA.html,33.43,2,8,.250,2,8,.250,0,0,,0,2,2,6,2,1,3,4,6,4.1,-3
2020-12-25,202012250MIA,NOP,Eric Bledsoe,https://www.basketball-reference.com/boxscores/202012250MIA.html,33.17,2,10,.200,1,6,.167,0,0,,0,2,2,6,1,0,5,2,5,-1.2,-3
2020-12-25,202012250MIA,NOP,Steven Adams,https://www.basketball-reference.com/boxscores/202012250MIA.html,32.37,3,3,1.000,0,0,,0,0,,4,5,9,1,2,1,2,2,6,10.0,+5
2020-12-25,202012250MIA,NOP,Josh Hart,https://www.basketball-reference.com/boxscores/202012250MIA.html,28.67,5,10,.500,2,6,.333,0,0,,2,7,9,0,1,0,0,3,12,10.3,-10
2020-12-25,202012250MIA,NOP,JJ Redick,https://www.basketball-reference.com/boxscores/202012250MIA.html,24.4,1,7,.143,1,5,.200,5,5,1.000,0,2,2,0,1,0,1,6,8,1.7,-27
2020-12-25,202012250MIA,NOP,Nicolò Melli,https://www.basketball-reference.com/boxscores/202012250MIA.html,9.37,0,2,.000,0,1,.000,1,2,.500,0,0,0,0,0,0,0,2,1,-1.6,-7
2020-12-25,202012250MIA,NOP,Jaxson Hayes,https://www.basketball-reference.com/boxscores/202012250MIA.html,3.25,0,1,.000,0,0,,0,0,,1,0,1,1,0,0,1,0,0,-0.3,-9
2020-12-25,202012250MIA,MIA,Tyler Herro,https://www.basketball-reference.com/boxscores/202012250MIA.html,32.33,3,10,.300,2,4,.500,3,3,1.000,0,2,2,3,1,0,3,1,11,5.5,0
2020-12-25,202012250MIA,MIA,Duncan Robinson,https://www.basketball-reference.com/boxscores/202012250MIA.html,32.03,8,14,.571,7,13,.538,0,0,,0,5,5,0,0,0,1,3,23,15.7,+5
2020-12-25,202012250MIA,MIA,Bam Adebayo,https://www.basketball-reference.com/boxscores/202012250MIA.html,28.22,5,9,.556,0,0,,7,8,.875,0,4,4,2,2,1,3,2,17,13.8,+9
2020-12-25,202012250MIA,MIA,Meyers Leonard,https://www.basketball-reference.com/boxscores/202012250MIA.html,19.8,3,5,.600,3,5,.600,0,0,,0,2,2,1,0,0,1,5,9,5.0,+1
2020-12-25,202012250MIA,MIA,Jimmy Butler,https://www.basketball-reference.com/boxscores/202012250MIA.html,16.22,2,7,.286,0,1,.000,0,0,,3,3,6,5,1,0,1,0,4,6.4,-8
2020-12-25,202012250MIA,MIA,Avery Bradley,https://www.basketball-reference.com/boxscores/202012250MIA.html,28.45,4,7,.571,2,5,.400,2,3,.667,0,2,2,4,2,0,2,2,12,10.9,+23
2020-12-25,202012250MIA,MIA,Goran Dragić,https://www.basketball-reference.com/boxscores/202012250MIA.html,27.15,6,11,.545,0,4,.000,6,7,.857,0,2,2,9,4,0,3,1,18,19.8,+21
2020-12-25,202012250MIA,MIA,Andre Iguodala,https://www.basketball-reference.com/boxscores/202012250MIA.html,26.22,2,5,.400,2,5,.400,0,0,,0,7,7,3,1,0,2,3,6,5.3,+17
2020-12-25,202012250MIA,MIA,Precious Achiuwa,https://www.basketball-reference.com/boxscores/202012250MIA.html,19.47,5,7,.714,0,0,,1,2,.500,1,2,3,2,0,1,1,6,11,7.7,+4
2020-12-25,202012250MIA,MIA,Maurice Harkless,https://www.basketball-reference.com/boxscores/202012250MIA.html,9.48,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,2,0,-0.2,-7
2020-12-25,202012250MIA,MIA,KZ Okpala,https://www.basketball-reference.com/boxscores/202012250MIA.html,0.32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
2020-12-25,202012250MIA,MIA,Chris Silva,https://www.basketball-reference.com/boxscores/202012250MIA.html,0.32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
