game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2021-01-21,202101210GSW,NYK,Elfrid Payton,https://www.basketball-reference.com/boxscores/202101210GSW.html,37.25,5,11,.455,1,4,.250,4,6,.667,0,2,2,5,1,0,3,3,15,9.4,+15
2021-01-21,202101210GSW,NYK,RJ Barrett,https://www.basketball-reference.com/boxscores/202101210GSW.html,36.75,10,17,.588,2,3,.667,6,8,.750,1,1,2,5,0,0,2,4,28,20.2,+13
2021-01-21,202101210GSW,NYK,Julius Randle,https://www.basketball-reference.com/boxscores/202101210GSW.html,36.38,4,11,.364,1,2,.500,7,7,1.000,2,15,17,9,1,0,2,3,16,19.9,+14
2021-01-21,202101210GSW,NYK,Mitchell Robinson,https://www.basketball-reference.com/boxscores/202101210GSW.html,27.38,8,11,.727,0,0,,2,2,1.000,4,4,8,1,1,2,0,4,18,19.0,+9
2021-01-21,202101210GSW,NYK,Reggie Bullock,https://www.basketball-reference.com/boxscores/202101210GSW.html,17.05,4,8,.500,4,5,.800,0,0,,0,2,2,0,1,0,0,4,12,8.0,+8
2021-01-21,202101210GSW,NYK,Alec Burks,https://www.basketball-reference.com/boxscores/202101210GSW.html,30.95,2,8,.250,1,3,.333,6,8,.750,0,5,5,1,0,1,1,3,11,6.1,+7
2021-01-21,202101210GSW,NYK,Nerlens Noel,https://www.basketball-reference.com/boxscores/202101210GSW.html,20.43,1,3,.333,0,0,,4,6,.667,4,7,11,1,1,4,1,2,6,11.1,+6
2021-01-21,202101210GSW,NYK,Obi Toppin,https://www.basketball-reference.com/boxscores/202101210GSW.html,11.78,2,4,.500,0,0,,1,2,.500,0,4,4,1,0,2,1,2,5,4.1,+1
2021-01-21,202101210GSW,NYK,Kevin Knox,https://www.basketball-reference.com/boxscores/202101210GSW.html,11.25,1,4,.250,1,3,.333,0,0,,0,1,1,0,0,0,0,2,3,0.1,+2
2021-01-21,202101210GSW,NYK,Immanuel Quickley,https://www.basketball-reference.com/boxscores/202101210GSW.html,10.75,1,5,.200,1,4,.250,2,2,1.000,0,3,3,1,0,0,1,2,5,1.7,0
2021-01-21,202101210GSW,GSW,Stephen Curry,https://www.basketball-reference.com/boxscores/202101210GSW.html,34.65,9,19,.474,5,14,.357,7,8,.875,0,3,3,4,2,0,4,3,30,20.4,-16
2021-01-21,202101210GSW,GSW,Andrew Wiggins,https://www.basketball-reference.com/boxscores/202101210GSW.html,32.53,6,13,.462,1,3,.333,4,5,.800,2,7,9,2,0,1,1,2,17,13.7,-18
2021-01-21,202101210GSW,GSW,Kelly Oubre Jr.,https://www.basketball-reference.com/boxscores/202101210GSW.html,31.3,2,11,.182,0,4,.000,3,6,.500,0,6,6,3,1,1,0,3,7,3.3,-13
2021-01-21,202101210GSW,GSW,James Wiseman,https://www.basketball-reference.com/boxscores/202101210GSW.html,24.78,5,9,.556,0,1,.000,5,7,.714,3,5,8,2,1,0,1,1,15,14.5,-6
2021-01-21,202101210GSW,GSW,Draymond Green,https://www.basketball-reference.com/boxscores/202101210GSW.html,17.08,1,3,.333,1,3,.333,0,0,,0,0,0,8,0,0,2,2,3,4.1,-8
2021-01-21,202101210GSW,GSW,Eric Paschall,https://www.basketball-reference.com/boxscores/202101210GSW.html,18.82,5,10,.500,0,1,.000,2,2,1.000,2,2,4,0,0,0,1,3,12,6.8,-9
2021-01-21,202101210GSW,GSW,Brad Wanamaker,https://www.basketball-reference.com/boxscores/202101210GSW.html,17.62,1,6,.167,0,2,.000,2,2,1.000,0,1,1,0,0,0,0,1,4,0.1,-7
2021-01-21,202101210GSW,GSW,Damion Lee,https://www.basketball-reference.com/boxscores/202101210GSW.html,16.07,0,3,.000,0,2,.000,0,0,,1,4,5,0,0,0,0,3,0,-1.4,+11
2021-01-21,202101210GSW,GSW,Kent Bazemore,https://www.basketball-reference.com/boxscores/202101210GSW.html,13.67,2,5,.400,1,2,.500,3,3,1.000,0,5,5,2,1,1,0,4,8,8.3,-1
2021-01-21,202101210GSW,GSW,Kevon Looney,https://www.basketball-reference.com/boxscores/202101210GSW.html,12.62,1,1,1.000,0,0,,1,2,.500,1,1,2,1,0,0,0,2,3,3.2,-6
2021-01-21,202101210GSW,GSW,Jordan Poole,https://www.basketball-reference.com/boxscores/202101210GSW.html,8.35,0,3,.000,0,3,.000,1,2,.500,0,2,2,1,0,0,0,1,1,-0.6,+3
2021-01-21,202101210GSW,GSW,Nico Mannion,https://www.basketball-reference.com/boxscores/202101210GSW.html,8.1,0,2,.000,0,2,.000,1,2,.500,0,1,1,4,0,0,1,1,1,0.9,-7
2021-01-21,202101210GSW,GSW,Mychal Mulder,https://www.basketball-reference.com/boxscores/202101210GSW.html,4.4,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,+2
