game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg3_pct
2021-02-07,202102070NYK,MIA,Bam Adebayo,https://www.basketball-reference.com/boxscores/202102070NYK.html,38.73,10,17,.588,0,0,4,6,.667,2,9,11,5,1,1,1,0,24,23.6,+10,
2021-02-07,202102070NYK,MIA,Duncan Robinson,https://www.basketball-reference.com/boxscores/202102070NYK.html,36.43,4,10,.400,4,10,0,1,.000,0,6,6,2,0,0,1,1,12,8.0,+5,.400
2021-02-07,202102070NYK,MIA,Jimmy Butler,https://www.basketball-reference.com/boxscores/202102070NYK.html,34.25,3,11,.273,0,1,11,12,.917,2,8,10,9,1,0,4,1,17,16.8,+11,.000
2021-02-07,202102070NYK,MIA,Kendrick Nunn,https://www.basketball-reference.com/boxscores/202102070NYK.html,30.92,6,11,.545,4,7,0,0,,0,4,4,3,0,0,2,2,16,11.2,+2,.571
2021-02-07,202102070NYK,MIA,Kelly Olynyk,https://www.basketball-reference.com/boxscores/202102070NYK.html,26.65,6,13,.462,2,9,1,1,1.000,1,4,5,2,1,0,0,4,15,11.0,+7,.222
2021-02-07,202102070NYK,MIA,Tyler Herro,https://www.basketball-reference.com/boxscores/202102070NYK.html,32.4,7,13,.538,2,3,0,0,,1,5,6,4,0,0,2,1,16,12.3,+2,.667
2021-02-07,202102070NYK,MIA,Andre Iguodala,https://www.basketball-reference.com/boxscores/202102070NYK.html,21.25,2,5,.400,0,3,0,0,,0,2,2,0,2,0,0,2,4,3.1,-1,.000
2021-02-07,202102070NYK,MIA,Gabe Vincent,https://www.basketball-reference.com/boxscores/202102070NYK.html,10.1,2,3,.667,1,2,0,0,,0,0,0,0,1,0,0,2,5,3.9,-2,.500
2021-02-07,202102070NYK,MIA,Precious Achiuwa,https://www.basketball-reference.com/boxscores/202102070NYK.html,9.27,0,0,,0,0,0,0,,0,0,0,0,0,0,1,2,0,-1.8,-4,
2021-02-07,202102070NYK,NYK,Julius Randle,https://www.basketball-reference.com/boxscores/202102070NYK.html,37.95,10,18,.556,3,8,3,4,.750,2,11,13,7,0,1,3,0,26,24.3,-11,.375
2021-02-07,202102070NYK,NYK,Mitchell Robinson,https://www.basketball-reference.com/boxscores/202102070NYK.html,31.92,2,4,.500,0,0,2,2,1.000,3,4,7,0,0,1,0,5,6,6.0,-10,
2021-02-07,202102070NYK,NYK,Reggie Bullock,https://www.basketball-reference.com/boxscores/202102070NYK.html,31.07,7,17,.412,7,14,0,0,,0,3,3,2,4,0,2,3,21,15.0,-7,.500
2021-02-07,202102070NYK,NYK,Elfrid Payton,https://www.basketball-reference.com/boxscores/202102070NYK.html,30.67,3,12,.250,0,2,1,2,.500,0,2,2,5,2,0,2,1,7,3.1,-9,.000
2021-02-07,202102070NYK,NYK,RJ Barrett,https://www.basketball-reference.com/boxscores/202102070NYK.html,19.22,1,6,.167,1,3,0,0,,0,2,2,0,1,0,1,0,3,-0.2,-5,.333
2021-02-07,202102070NYK,NYK,Alec Burks,https://www.basketball-reference.com/boxscores/202102070NYK.html,28.78,5,9,.556,3,6,0,0,,1,4,5,2,0,0,2,4,13,8.4,-1,.500
2021-02-07,202102070NYK,NYK,Immanuel Quickley,https://www.basketball-reference.com/boxscores/202102070NYK.html,17.33,1,4,.250,0,2,3,3,1.000,0,3,3,3,0,0,0,2,5,4.8,+3,.000
2021-02-07,202102070NYK,NYK,Austin Rivers,https://www.basketball-reference.com/boxscores/202102070NYK.html,17.03,2,5,.400,0,3,2,2,1.000,0,2,2,3,0,0,0,1,6,5.6,+1,.000
2021-02-07,202102070NYK,NYK,Taj Gibson,https://www.basketball-reference.com/boxscores/202102070NYK.html,16.08,4,4,1.000,1,1,0,2,.000,3,0,3,1,0,0,1,4,9,7.2,+4,1.000
2021-02-07,202102070NYK,NYK,Obi Toppin,https://www.basketball-reference.com/boxscores/202102070NYK.html,9.95,3,6,.500,1,3,0,0,,1,3,4,0,1,0,1,0,7,5.6,+5,.333
