game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2021-05-03,202105030NOP,GSW,Andrew Wiggins,https://www.basketball-reference.com/boxscores/202105030NOP.html,38.3,10,19,.526,2,6,.333,4,4,1.000,1,3,4,0,1,2,1,3,26,18.5,+13
2021-05-03,202105030NOP,GSW,Draymond Green,https://www.basketball-reference.com/boxscores/202105030NOP.html,36.97,4,5,.800,0,0,,2,2,1.000,2,11,13,15,3,2,4,4,10,22.1,+21
2021-05-03,202105030NOP,GSW,Stephen Curry,https://www.basketball-reference.com/boxscores/202105030NOP.html,35.28,14,26,.538,8,18,.444,5,6,.833,0,4,4,8,1,0,4,5,41,29.8,+19
2021-05-03,202105030NOP,GSW,Kent Bazemore,https://www.basketball-reference.com/boxscores/202105030NOP.html,31.08,4,10,.400,1,5,.200,0,0,,0,8,8,2,3,2,2,5,9,7.8,+7
2021-05-03,202105030NOP,GSW,Kevon Looney,https://www.basketball-reference.com/boxscores/202105030NOP.html,22.55,3,4,.750,0,0,,0,0,,0,2,2,0,0,0,0,5,6,3.0,+12
2021-05-03,202105030NOP,GSW,Juan Toscano-Anderson,https://www.basketball-reference.com/boxscores/202105030NOP.html,33.08,6,8,.750,2,4,.500,0,0,,1,4,5,4,0,1,1,4,14,13.6,+2
2021-05-03,202105030NOP,GSW,Mychal Mulder,https://www.basketball-reference.com/boxscores/202105030NOP.html,21.93,2,6,.333,2,5,.400,0,0,,0,0,0,0,0,1,2,1,6,0.9,+8
2021-05-03,202105030NOP,GSW,Jordan Poole,https://www.basketball-reference.com/boxscores/202105030NOP.html,17.4,4,10,.400,2,6,.333,1,2,.500,0,1,1,1,0,0,0,1,11,5.8,-2
2021-05-03,202105030NOP,GSW,Nico Mannion,https://www.basketball-reference.com/boxscores/202105030NOP.html,2.48,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,0,0,1.7,-4
2021-05-03,202105030NOP,GSW,Alen Smailagić,https://www.basketball-reference.com/boxscores/202105030NOP.html,0.92,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.7,-1
2021-05-03,202105030NOP,NOP,Lonzo Ball,https://www.basketball-reference.com/boxscores/202105030NOP.html,37.63,3,18,.167,1,9,.111,0,0,,1,6,7,8,2,0,4,2,7,0.9,-8
2021-05-03,202105030NOP,NOP,Zion Williamson,https://www.basketball-reference.com/boxscores/202105030NOP.html,36.87,12,24,.500,0,2,.000,8,11,.727,4,4,8,1,0,2,4,0,32,20.9,-1
2021-05-03,202105030NOP,NOP,Brandon Ingram,https://www.basketball-reference.com/boxscores/202105030NOP.html,35.3,5,11,.455,1,4,.250,8,8,1.000,0,2,2,4,0,0,2,1,19,14.3,-16
2021-05-03,202105030NOP,NOP,Eric Bledsoe,https://www.basketball-reference.com/boxscores/202105030NOP.html,32.75,4,7,.571,1,2,.500,2,3,.667,1,4,5,4,1,1,1,0,11,12.7,-8
2021-05-03,202105030NOP,NOP,Willy Hernangómez,https://www.basketball-reference.com/boxscores/202105030NOP.html,25.12,4,5,.800,0,0,,2,2,1.000,0,7,7,1,0,1,0,0,10,11.6,-17
2021-05-03,202105030NOP,NOP,Naji Marshall,https://www.basketball-reference.com/boxscores/202105030NOP.html,27.33,4,6,.667,2,4,.500,2,2,1.000,0,6,6,1,1,0,1,0,12,11.9,-14
2021-05-03,202105030NOP,NOP,James Johnson,https://www.basketball-reference.com/boxscores/202105030NOP.html,16.27,3,10,.300,0,3,.000,0,0,,2,3,5,0,0,0,1,4,6,-0.1,-16
2021-05-03,202105030NOP,NOP,Jaxson Hayes,https://www.basketball-reference.com/boxscores/202105030NOP.html,14.2,4,4,1.000,0,0,,1,2,.500,2,2,4,0,1,0,3,1,9,7.0,-5
2021-05-03,202105030NOP,NOP,Kira Lewis Jr.,https://www.basketball-reference.com/boxscores/202105030NOP.html,7.08,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2
2021-05-03,202105030NOP,NOP,Wenyen Gabriel,https://www.basketball-reference.com/boxscores/202105030NOP.html,2.48,0,2,.000,0,1,.000,1,2,.500,1,0,1,0,1,0,0,0,1,0.9,+4
2021-05-03,202105030NOP,NOP,James Nunnally,https://www.basketball-reference.com/boxscores/202105030NOP.html,2.48,0,0,,0,0,,1,2,.500,1,0,1,0,0,0,0,0,1,1.3,+4
2021-05-03,202105030NOP,NOP,Wes Iwundu,https://www.basketball-reference.com/boxscores/202105030NOP.html,2.48,0,2,.000,0,0,,0,0,,1,0,1,1,0,0,0,0,0,0.0,+4
