game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2021-05-10,202105100CLE,IND,Domantas Sabonis,https://www.basketball-reference.com/boxscores/202105100CLE.html,38.93,8,15,.533,1,3,.333,4,6,.667,4,16,20,9,2,4,2,3,21,28.4,+14
2021-05-10,202105100CLE,IND,Caris LeVert,https://www.basketball-reference.com/boxscores/202105100CLE.html,37.17,8,19,.421,2,4,.500,2,2,1.000,0,3,3,10,1,1,1,3,20,17.3,+13
2021-05-10,202105100CLE,IND,Oshae Brissett,https://www.basketball-reference.com/boxscores/202105100CLE.html,22.73,3,3,1.000,1,1,1.000,1,2,.500,1,1,2,0,0,2,1,0,8,8.1,-4
2021-05-10,202105100CLE,IND,Doug McDermott,https://www.basketball-reference.com/boxscores/202105100CLE.html,17.93,6,9,.667,1,2,.500,0,0,,0,2,2,1,0,0,0,0,13,10.4,0
2021-05-10,202105100CLE,IND,Edmond Sumner,https://www.basketball-reference.com/boxscores/202105100CLE.html,13.0,1,5,.200,0,1,.000,0,0,,0,2,2,1,0,0,3,4,2,-4.4,-3
2021-05-10,202105100CLE,IND,T.J. McConnell,https://www.basketball-reference.com/boxscores/202105100CLE.html,28.18,4,6,.667,0,0,,2,2,1.000,0,4,4,7,2,0,1,3,10,13.3,+13
2021-05-10,202105100CLE,IND,Justin Holiday,https://www.basketball-reference.com/boxscores/202105100CLE.html,27.32,3,6,.500,3,5,.600,2,2,1.000,0,3,3,1,0,3,1,2,11,9.9,+8
2021-05-10,202105100CLE,IND,Kelan Martin,https://www.basketball-reference.com/boxscores/202105100CLE.html,25.0,11,16,.688,3,4,.750,0,0,,4,3,7,0,0,1,1,3,25,20.4,+15
2021-05-10,202105100CLE,IND,Aaron Holiday,https://www.basketball-reference.com/boxscores/202105100CLE.html,20.67,0,5,.000,0,4,.000,1,2,.500,0,1,1,3,2,0,1,1,1,0.1,-6
2021-05-10,202105100CLE,IND,Goga Bitadze,https://www.basketball-reference.com/boxscores/202105100CLE.html,9.07,0,4,.000,0,3,.000,0,0,,1,2,3,0,0,2,0,2,0,-0.9,-5
2021-05-10,202105100CLE,CLE,Isaac Okoro,https://www.basketball-reference.com/boxscores/202105100CLE.html,42.53,8,20,.400,3,8,.375,3,4,.750,2,8,10,4,1,0,1,4,22,15.8,-10
2021-05-10,202105100CLE,CLE,Dean Wade,https://www.basketball-reference.com/boxscores/202105100CLE.html,37.83,6,13,.462,3,8,.375,4,5,.800,3,9,12,2,3,0,1,1,19,19.7,-18
2021-05-10,202105100CLE,CLE,Collin Sexton,https://www.basketball-reference.com/boxscores/202105100CLE.html,36.65,7,26,.269,1,6,.167,10,12,.833,3,2,5,8,1,0,3,1,25,14.7,-8
2021-05-10,202105100CLE,CLE,Jarrett Allen,https://www.basketball-reference.com/boxscores/202105100CLE.html,32.25,4,6,.667,1,1,1.000,3,4,.750,5,4,9,3,0,1,2,2,12,13.7,-13
2021-05-10,202105100CLE,CLE,Damyean Dotson,https://www.basketball-reference.com/boxscores/202105100CLE.html,25.77,2,6,.333,2,6,.333,1,2,.500,0,2,2,0,0,0,1,0,7,2.8,0
2021-05-10,202105100CLE,CLE,Brodric Thomas,https://www.basketball-reference.com/boxscores/202105100CLE.html,33.9,2,8,.250,0,4,.000,1,2,.500,0,6,6,3,1,1,1,4,5,2.8,-1
2021-05-10,202105100CLE,CLE,Mfiondu Kabengele,https://www.basketball-reference.com/boxscores/202105100CLE.html,15.75,3,8,.375,2,4,.500,1,1,1.000,1,3,4,1,1,0,0,1,9,7.5,+4
2021-05-10,202105100CLE,CLE,Jeremiah Martin,https://www.basketball-reference.com/boxscores/202105100CLE.html,15.32,1,6,.167,1,2,.500,0,0,,1,1,2,0,1,0,1,0,3,0.2,+1
