game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2021-05-20,202105200WAS,IND,Domantas Sabonis,https://www.basketball-reference.com/boxscores/202105200WAS.html,32.23,8,15,.533,1,2,.500,2,4,.500,3,8,11,10,2,0,5,6,19,17.0,-18
2021-05-20,202105200WAS,IND,Oshae Brissett,https://www.basketball-reference.com/boxscores/202105200WAS.html,29.27,4,10,.400,2,5,.400,0,0,,2,4,6,0,1,0,0,1,10,7.8,-17
2021-05-20,202105200WAS,IND,Malcolm Brogdon,https://www.basketball-reference.com/boxscores/202105200WAS.html,28.95,9,23,.391,4,9,.444,2,2,1.000,0,2,2,4,1,0,1,3,24,13.7,-25
2021-05-20,202105200WAS,IND,Justin Holiday,https://www.basketball-reference.com/boxscores/202105200WAS.html,25.37,3,10,.300,0,5,.000,0,0,,1,2,3,3,1,1,1,2,6,3.5,-14
2021-05-20,202105200WAS,IND,Doug McDermott,https://www.basketball-reference.com/boxscores/202105200WAS.html,24.18,5,12,.417,3,7,.429,0,0,,1,1,2,1,0,0,0,1,13,7.9,-14
2021-05-20,202105200WAS,IND,Kelan Martin,https://www.basketball-reference.com/boxscores/202105200WAS.html,22.63,5,14,.357,3,8,.375,0,0,,0,5,5,1,0,0,1,2,13,5.6,-13
2021-05-20,202105200WAS,IND,T.J. McConnell,https://www.basketball-reference.com/boxscores/202105200WAS.html,22.18,2,4,.500,0,0,,0,0,,0,2,2,5,2,0,2,1,4,5.7,-23
2021-05-20,202105200WAS,IND,Goga Bitadze,https://www.basketball-reference.com/boxscores/202105200WAS.html,16.82,0,3,.000,0,2,.000,0,0,,1,1,2,3,0,1,1,0,0,0.7,-13
2021-05-20,202105200WAS,IND,Edmond Sumner,https://www.basketball-reference.com/boxscores/202105200WAS.html,13.47,1,2,.500,0,0,,3,3,1.000,0,1,1,2,0,1,1,2,5,4.6,-17
2021-05-20,202105200WAS,IND,Aaron Holiday,https://www.basketball-reference.com/boxscores/202105200WAS.html,12.07,2,4,.500,1,1,1.000,2,2,1.000,0,1,1,0,2,0,1,1,7,5.9,+3
2021-05-20,202105200WAS,IND,Cassius Stanley,https://www.basketball-reference.com/boxscores/202105200WAS.html,8.12,2,3,.667,1,2,.500,6,6,1.000,1,2,3,1,0,0,1,0,11,10.7,+8
2021-05-20,202105200WAS,IND,Amida Brimah,https://www.basketball-reference.com/boxscores/202105200WAS.html,4.72,0,0,,0,0,,3,4,.750,0,2,2,0,0,1,0,0,3,3.9,+8
2021-05-20,202105200WAS,WAS,Russell Westbrook,https://www.basketball-reference.com/boxscores/202105200WAS.html,33.2,6,13,.462,0,1,.000,6,9,.667,1,7,8,15,1,0,3,2,18,20.6,+30
2021-05-20,202105200WAS,WAS,Bradley Beal,https://www.basketball-reference.com/boxscores/202105200WAS.html,28.4,9,17,.529,4,7,.571,3,3,1.000,0,5,5,4,0,1,4,0,25,17.7,+18
2021-05-20,202105200WAS,WAS,Raul Neto,https://www.basketball-reference.com/boxscores/202105200WAS.html,25.68,5,8,.625,2,4,.500,2,2,1.000,0,3,3,0,2,0,1,2,14,11.5,+17
2021-05-20,202105200WAS,WAS,Rui Hachimura,https://www.basketball-reference.com/boxscores/202105200WAS.html,25.4,6,8,.750,2,3,.667,4,4,1.000,0,4,4,2,0,0,0,1,18,17.0,+14
2021-05-20,202105200WAS,WAS,Alex Len,https://www.basketball-reference.com/boxscores/202105200WAS.html,13.22,2,2,1.000,0,0,,0,0,,0,7,7,2,1,1,1,1,4,7.2,+11
2021-05-20,202105200WAS,WAS,Daniel Gafford,https://www.basketball-reference.com/boxscores/202105200WAS.html,22.03,6,8,.750,0,0,,3,4,.750,2,11,13,0,1,5,2,2,15,17.8,+17
2021-05-20,202105200WAS,WAS,Ish Smith,https://www.basketball-reference.com/boxscores/202105200WAS.html,22.0,4,7,.571,0,0,,0,2,.000,0,4,4,6,1,0,2,2,8,7.5,+26
2021-05-20,202105200WAS,WAS,Chandler Hutchison,https://www.basketball-reference.com/boxscores/202105200WAS.html,19.9,3,4,.750,0,0,,0,0,,0,2,2,1,0,1,0,2,6,5.6,+8
2021-05-20,202105200WAS,WAS,Dāvis Bertāns,https://www.basketball-reference.com/boxscores/202105200WAS.html,18.63,3,7,.429,2,6,.333,1,1,1.000,0,0,0,0,1,0,1,1,9,4.9,+19
2021-05-20,202105200WAS,WAS,Garrison Mathews,https://www.basketball-reference.com/boxscores/202105200WAS.html,8.12,1,4,.250,1,3,.333,0,0,,0,0,0,0,0,0,0,3,3,-0.6,-8
2021-05-20,202105200WAS,WAS,Anthony Gill,https://www.basketball-reference.com/boxscores/202105200WAS.html,6.45,4,4,1.000,2,2,1.000,0,0,,1,0,1,1,0,0,0,1,10,9.8,-8
2021-05-20,202105200WAS,WAS,Robin Lopez,https://www.basketball-reference.com/boxscores/202105200WAS.html,6.3,4,5,.800,0,0,,1,1,1.000,2,1,3,0,0,1,0,1,9,9.1,+7
2021-05-20,202105200WAS,WAS,Isaac Bonga,https://www.basketball-reference.com/boxscores/202105200WAS.html,5.33,1,2,.500,1,1,1.000,0,0,,1,0,1,1,0,0,1,1,3,2.0,-8
2021-05-20,202105200WAS,WAS,Cassius Winston,https://www.basketball-reference.com/boxscores/202105200WAS.html,5.33,0,4,.000,0,1,.000,0,0,,0,1,1,2,0,0,0,1,0,-1.5,-8
