game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2021-10-23,202110230LAC,MEM,Ja Morant,https://www.basketball-reference.com/boxscores/202110230LAC.html,34.55,10,19,.526,2,7,.286,6,8,.750,0,2,2,8,1,0,5,3,28,18.9,+12
2021-10-23,202110230LAC,MEM,De'Anthony Melton,https://www.basketball-reference.com/boxscores/202110230LAC.html,33.0,9,16,.563,4,8,.500,0,0,,2,5,7,2,0,0,0,2,22,17.9,+15
2021-10-23,202110230LAC,MEM,Jaren Jackson Jr.,https://www.basketball-reference.com/boxscores/202110230LAC.html,31.12,6,11,.545,3,5,.600,6,6,1.000,1,6,7,0,1,1,1,4,21,17.3,+10
2021-10-23,202110230LAC,MEM,Desmond Bane,https://www.basketball-reference.com/boxscores/202110230LAC.html,30.8,7,15,.467,4,10,.400,1,2,.500,0,6,6,2,0,1,1,4,19,12.2,+12
2021-10-23,202110230LAC,MEM,Steven Adams,https://www.basketball-reference.com/boxscores/202110230LAC.html,26.8,6,9,.667,0,0,,5,5,1.000,5,4,9,5,2,0,1,0,17,22.3,+17
2021-10-23,202110230LAC,MEM,Brandon Clarke,https://www.basketball-reference.com/boxscores/202110230LAC.html,21.18,1,4,.250,0,0,,1,2,.500,2,4,6,2,0,0,0,2,3,3.4,-9
2021-10-23,202110230LAC,MEM,Kyle Anderson,https://www.basketball-reference.com/boxscores/202110230LAC.html,16.9,1,9,.111,0,1,.000,2,2,1.000,3,4,7,1,1,1,0,0,4,3.8,-6
2021-10-23,202110230LAC,MEM,John Konchar,https://www.basketball-reference.com/boxscores/202110230LAC.html,16.53,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,0,0,0.0,-5
2021-10-23,202110230LAC,MEM,Ziaire Williams,https://www.basketball-reference.com/boxscores/202110230LAC.html,15.67,2,4,.500,2,4,.500,0,0,,0,0,0,2,0,0,2,2,6,2.6,-10
2021-10-23,202110230LAC,MEM,Tyus Jones,https://www.basketball-reference.com/boxscores/202110230LAC.html,13.45,0,3,.000,0,1,.000,0,0,,0,3,3,3,0,0,0,2,0,0.1,-6
2021-10-23,202110230LAC,LAC,Reggie Jackson,https://www.basketball-reference.com/boxscores/202110230LAC.html,36.27,7,17,.412,3,8,.375,0,0,,0,1,1,2,1,0,0,3,17,9.4,-8
2021-10-23,202110230LAC,LAC,Paul George,https://www.basketball-reference.com/boxscores/202110230LAC.html,34.8,15,25,.600,5,12,.417,6,6,1.000,0,10,10,4,2,0,3,2,41,33.5,-14
2021-10-23,202110230LAC,LAC,Eric Bledsoe,https://www.basketball-reference.com/boxscores/202110230LAC.html,32.55,3,11,.273,1,2,.500,5,6,.833,5,1,6,7,2,2,2,2,12,14.4,-13
2021-10-23,202110230LAC,LAC,Marcus Morris,https://www.basketball-reference.com/boxscores/202110230LAC.html,29.8,4,11,.364,1,6,.167,0,0,,0,0,0,1,0,0,0,4,9,2.0,-14
2021-10-23,202110230LAC,LAC,Ivica Zubac,https://www.basketball-reference.com/boxscores/202110230LAC.html,19.3,3,7,.429,0,0,,0,0,,4,4,8,3,0,0,0,2,6,7.6,-18
2021-10-23,202110230LAC,LAC,Terance Mann,https://www.basketball-reference.com/boxscores/202110230LAC.html,26.43,1,8,.125,0,2,.000,1,2,.500,4,4,8,3,0,0,1,3,3,1.3,+15
2021-10-23,202110230LAC,LAC,Nicolas Batum,https://www.basketball-reference.com/boxscores/202110230LAC.html,22.78,2,6,.333,1,5,.200,0,0,,0,5,5,2,0,2,0,0,5,5.9,+5
2021-10-23,202110230LAC,LAC,Luke Kennard,https://www.basketball-reference.com/boxscores/202110230LAC.html,22.23,3,7,.429,2,4,.500,2,2,1.000,0,2,2,0,0,0,0,4,10,5.3,+8
2021-10-23,202110230LAC,LAC,Isaiah Hartenstein,https://www.basketball-reference.com/boxscores/202110230LAC.html,15.83,5,7,.714,0,0,,1,1,1.000,1,3,4,1,2,0,1,1,11,11.0,+9
