game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2021-11-03,202111030IND,NYK,Julius Randle,https://www.basketball-reference.com/boxscores/202111030IND.html,37.1,6,16,.375,0,2,.000,6,8,.750,5,9,14,3,1,0,3,4,18,13.1,-14
2021-11-03,202111030IND,NYK,RJ Barrett,https://www.basketball-reference.com/boxscores/202111030IND.html,34.18,8,20,.400,2,6,.333,5,7,.714,2,3,5,3,0,0,2,4,23,12.2,-14
2021-11-03,202111030IND,NYK,Evan Fournier,https://www.basketball-reference.com/boxscores/202111030IND.html,29.17,5,12,.417,1,5,.200,3,3,1.000,2,1,3,3,1,0,1,1,14,11.0,-7
2021-11-03,202111030IND,NYK,Kemba Walker,https://www.basketball-reference.com/boxscores/202111030IND.html,28.22,2,11,.182,0,5,.000,0,0,,0,4,4,4,1,0,0,1,4,1.7,-11
2021-11-03,202111030IND,NYK,Mitchell Robinson,https://www.basketball-reference.com/boxscores/202111030IND.html,27.65,1,1,1.000,0,0,,1,2,.500,1,5,6,2,0,3,0,2,3,7.2,-15
2021-11-03,202111030IND,NYK,Alec Burks,https://www.basketball-reference.com/boxscores/202111030IND.html,21.38,3,6,.500,2,5,.400,2,2,1.000,0,2,2,3,3,1,1,1,10,12.0,-6
2021-11-03,202111030IND,NYK,Derrick Rose,https://www.basketball-reference.com/boxscores/202111030IND.html,19.78,5,11,.455,0,1,.000,3,3,1.000,1,1,2,3,1,1,2,1,13,9.7,-2
2021-11-03,202111030IND,NYK,Nerlens Noel,https://www.basketball-reference.com/boxscores/202111030IND.html,17.8,1,2,.500,0,0,,0,0,,3,3,6,2,0,1,0,2,2,5.3,+2
2021-11-03,202111030IND,NYK,Immanuel Quickley,https://www.basketball-reference.com/boxscores/202111030IND.html,13.82,2,5,.400,0,0,,0,0,,0,2,2,0,0,0,1,1,4,0.5,+1
2021-11-03,202111030IND,NYK,Obi Toppin,https://www.basketball-reference.com/boxscores/202111030IND.html,10.9,3,3,1.000,0,0,,1,2,.500,0,2,2,0,0,0,0,2,7,5.5,+1
2021-11-03,202111030IND,IND,Malcolm Brogdon,https://www.basketball-reference.com/boxscores/202111030IND.html,36.47,6,12,.500,0,4,.000,5,5,1.000,1,7,8,7,0,1,3,2,17,15.6,+9
2021-11-03,202111030IND,IND,Domantas Sabonis,https://www.basketball-reference.com/boxscores/202111030IND.html,34.22,4,8,.500,0,1,.000,2,3,.667,2,5,7,3,0,0,4,6,10,4.2,+15
2021-11-03,202111030IND,IND,Chris Duarte,https://www.basketball-reference.com/boxscores/202111030IND.html,33.88,4,9,.444,2,4,.500,0,0,,1,4,5,1,2,0,1,2,10,8.1,+13
2021-11-03,202111030IND,IND,Caris LeVert,https://www.basketball-reference.com/boxscores/202111030IND.html,31.07,8,18,.444,1,5,.200,4,6,.667,0,2,2,5,1,3,0,2,21,17.2,+18
2021-11-03,202111030IND,IND,Myles Turner,https://www.basketball-reference.com/boxscores/202111030IND.html,28.92,9,14,.643,7,10,.700,0,0,,2,11,13,2,1,3,0,0,25,28.0,+14
2021-11-03,202111030IND,IND,Justin Holiday,https://www.basketball-reference.com/boxscores/202111030IND.html,22.57,0,7,.000,0,7,.000,0,0,,0,3,3,1,0,0,2,1,0,-5.7,-5
2021-11-03,202111030IND,IND,Torrey Craig,https://www.basketball-reference.com/boxscores/202111030IND.html,21.22,5,9,.556,2,3,.667,0,0,,4,3,7,1,2,0,1,4,12,11.5,+1
2021-11-03,202111030IND,IND,T.J. McConnell,https://www.basketball-reference.com/boxscores/202111030IND.html,16.78,2,6,.333,1,2,.500,0,0,,0,1,1,6,0,0,0,2,5,5.3,+4
2021-11-03,202111030IND,IND,Goga Bitadze,https://www.basketball-reference.com/boxscores/202111030IND.html,9.67,3,5,.600,2,4,.500,0,0,,0,3,3,0,1,0,0,2,8,6.8,-1
2021-11-03,202111030IND,IND,Kelan Martin,https://www.basketball-reference.com/boxscores/202111030IND.html,5.22,1,3,.333,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,0.9,-3
