game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2021-12-22,202112220BOS,CLE,Darius Garland,https://www.basketball-reference.com/boxscores/202112220BOS.html,40.22,11,22,.500,2,8,.250,4,4,1.000,0,2,2,6,3,0,3,0,28,21.8,-6
2021-12-22,202112220BOS,CLE,Lauri Markkanen,https://www.basketball-reference.com/boxscores/202112220BOS.html,32.95,2,12,.167,0,5,.000,3,3,1.000,3,6,9,0,0,1,1,1,7,2.6,-10
2021-12-22,202112220BOS,CLE,Ricky Rubio,https://www.basketball-reference.com/boxscores/202112220BOS.html,30.55,2,12,.167,1,5,.200,3,4,.750,1,4,5,6,3,0,4,1,8,4.7,-20
2021-12-22,202112220BOS,CLE,Dean Wade,https://www.basketball-reference.com/boxscores/202112220BOS.html,23.03,2,5,.400,0,2,.000,2,2,1.000,1,2,3,0,0,0,2,1,6,2.2,-16
2021-12-22,202112220BOS,CLE,Tacko Fall,https://www.basketball-reference.com/boxscores/202112220BOS.html,19.07,2,5,.400,0,0,,0,0,,3,7,10,0,0,2,1,1,4,5.5,-6
2021-12-22,202112220BOS,CLE,Cedi Osman,https://www.basketball-reference.com/boxscores/202112220BOS.html,30.98,5,14,.357,1,7,.143,2,2,1.000,0,6,6,1,1,0,1,3,13,6.5,-7
2021-12-22,202112220BOS,CLE,Denzel Valentine,https://www.basketball-reference.com/boxscores/202112220BOS.html,26.4,3,6,.500,2,4,.500,0,0,,2,4,6,0,0,0,2,2,8,4.8,-6
2021-12-22,202112220BOS,CLE,Kevin Love,https://www.basketball-reference.com/boxscores/202112220BOS.html,22.93,6,13,.462,1,5,.200,5,7,.714,5,7,12,3,1,0,1,4,18,16.6,-5
2021-12-22,202112220BOS,CLE,Kevin Pangos,https://www.basketball-reference.com/boxscores/202112220BOS.html,8.02,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,2,5,3.6,+11
2021-12-22,202112220BOS,CLE,Justin Anderson,https://www.basketball-reference.com/boxscores/202112220BOS.html,1.95,1,1,1.000,1,1,1.000,1,2,.500,0,0,0,0,0,0,0,0,4,3.3,+5
2021-12-22,202112220BOS,CLE,Luke Kornet,https://www.basketball-reference.com/boxscores/202112220BOS.html,1.95,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+5
2021-12-22,202112220BOS,CLE,Tre Scott,https://www.basketball-reference.com/boxscores/202112220BOS.html,1.95,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+5
2021-12-22,202112220BOS,BOS,Jayson Tatum,https://www.basketball-reference.com/boxscores/202112220BOS.html,36.47,6,19,.316,2,8,.250,4,4,1.000,1,8,9,5,2,1,2,5,18,12.4,+19
2021-12-22,202112220BOS,BOS,Jaylen Brown,https://www.basketball-reference.com/boxscores/202112220BOS.html,35.6,12,22,.545,5,10,.500,5,5,1.000,2,4,6,3,1,1,3,3,34,25.6,+14
2021-12-22,202112220BOS,BOS,Robert Williams,https://www.basketball-reference.com/boxscores/202112220BOS.html,34.4,10,12,.833,0,0,,1,2,.500,4,7,11,7,2,2,2,2,21,26.6,+12
2021-12-22,202112220BOS,BOS,Marcus Smart,https://www.basketball-reference.com/boxscores/202112220BOS.html,31.57,1,7,.143,1,4,.250,1,2,.500,0,2,2,4,3,0,0,2,4,4.7,+7
2021-12-22,202112220BOS,BOS,Romeo Langford,https://www.basketball-reference.com/boxscores/202112220BOS.html,30.8,5,8,.625,1,3,.333,0,1,.000,2,7,9,0,2,1,1,3,11,11.0,+18
2021-12-22,202112220BOS,BOS,Payton Pritchard,https://www.basketball-reference.com/boxscores/202112220BOS.html,20.9,3,7,.429,1,3,.333,0,0,,1,4,5,1,0,0,1,0,7,4.9,-2
2021-12-22,202112220BOS,BOS,Dennis Schröder,https://www.basketball-reference.com/boxscores/202112220BOS.html,18.43,1,11,.091,0,1,.000,1,2,.500,0,1,1,4,1,0,1,5,3,-3.6,+1
2021-12-22,202112220BOS,BOS,Aaron Nesmith,https://www.basketball-reference.com/boxscores/202112220BOS.html,12.38,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,2,2,5,1.6,-2
2021-12-22,202112220BOS,BOS,Enes Freedom,https://www.basketball-reference.com/boxscores/202112220BOS.html,11.65,2,2,1.000,0,0,,0,0,,2,2,4,0,1,0,0,1,4,6.0,+3
2021-12-22,202112220BOS,BOS,Justin Jackson,https://www.basketball-reference.com/boxscores/202112220BOS.html,1.95,0,1,.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,1.3,-5
2021-12-22,202112220BOS,BOS,Joe Johnson,https://www.basketball-reference.com/boxscores/202112220BOS.html,1.95,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-5
2021-12-22,202112220BOS,BOS,Bruno Fernando,https://www.basketball-reference.com/boxscores/202112220BOS.html,1.95,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,-5
2021-12-22,202112220BOS,BOS,C.J. Miles,https://www.basketball-reference.com/boxscores/202112220BOS.html,1.95,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-5
