game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ft_pct
2021-12-28,202112280TOR,PHI,Matisse Thybulle,https://www.basketball-reference.com/boxscores/202112280TOR.html,36.55,3,7,.429,1,3,.333,0,0,1,3,4,0,0,1,0,4,7,4.0,-6,
2021-12-28,202112280TOR,PHI,Tyrese Maxey,https://www.basketball-reference.com/boxscores/202112280TOR.html,36.33,2,11,.182,1,4,.250,0,0,0,2,2,1,0,0,1,0,5,-1.6,+1,
2021-12-28,202112280TOR,PHI,Tobias Harris,https://www.basketball-reference.com/boxscores/202112280TOR.html,35.63,3,12,.250,0,1,.000,13,14,1,11,12,10,2,1,5,5,19,18.1,+1,.929
2021-12-28,202112280TOR,PHI,Seth Curry,https://www.basketball-reference.com/boxscores/202112280TOR.html,34.32,3,8,.375,2,4,.500,4,4,1,3,4,5,0,0,0,2,12,11.9,+4,1.000
2021-12-28,202112280TOR,PHI,Joel Embiid,https://www.basketball-reference.com/boxscores/202112280TOR.html,34.1,11,16,.688,2,3,.667,12,14,2,9,11,4,1,1,2,2,36,34.2,-4,.857
2021-12-28,202112280TOR,PHI,Georges Niang,https://www.basketball-reference.com/boxscores/202112280TOR.html,22.07,7,10,.700,5,8,.625,0,0,0,3,3,2,0,0,0,2,19,16.3,+12,
2021-12-28,202112280TOR,PHI,Furkan Korkmaz,https://www.basketball-reference.com/boxscores/202112280TOR.html,16.1,4,9,.444,2,4,.500,0,0,1,2,3,0,1,0,0,1,10,7.2,+7,
2021-12-28,202112280TOR,PHI,Paul Reed,https://www.basketball-reference.com/boxscores/202112280TOR.html,13.9,0,1,.000,0,0,,3,6,2,1,3,1,1,1,0,2,3,4.4,+9,.500
2021-12-28,202112280TOR,PHI,Tyler Johnson,https://www.basketball-reference.com/boxscores/202112280TOR.html,10.98,1,3,.333,1,3,.333,0,0,0,0,0,0,1,0,0,0,3,2.3,+1,
2021-12-28,202112280TOR,TOR,Pascal Siakam,https://www.basketball-reference.com/boxscores/202112280TOR.html,41.82,11,21,.524,0,4,.000,6,6,3,3,6,8,1,1,3,4,28,23.4,+2,1.000
2021-12-28,202112280TOR,TOR,Gary Trent Jr.,https://www.basketball-reference.com/boxscores/202112280TOR.html,41.27,6,24,.250,4,13,.308,3,5,0,1,1,7,2,0,3,5,19,6.0,-10,.600
2021-12-28,202112280TOR,TOR,Chris Boucher,https://www.basketball-reference.com/boxscores/202112280TOR.html,37.73,10,14,.714,5,7,.714,3,4,4,15,19,0,2,2,1,5,28,29.5,-6,.750
2021-12-28,202112280TOR,TOR,Malachi Flynn,https://www.basketball-reference.com/boxscores/202112280TOR.html,32.3,2,12,.167,2,8,.250,0,0,1,3,4,3,0,0,1,1,6,0.7,+2,
2021-12-28,202112280TOR,TOR,Yuta Watanabe,https://www.basketball-reference.com/boxscores/202112280TOR.html,31.47,4,6,.667,2,3,.667,0,0,1,3,4,2,0,0,2,5,10,6.4,-19,
2021-12-28,202112280TOR,TOR,Svi Mykhailiuk,https://www.basketball-reference.com/boxscores/202112280TOR.html,29.42,3,6,.500,2,4,.500,1,1,0,0,0,3,1,0,0,0,9,9.1,+1,1.000
2021-12-28,202112280TOR,TOR,D.J. Wilson,https://www.basketball-reference.com/boxscores/202112280TOR.html,13.02,2,3,.667,0,1,.000,5,6,0,6,6,0,0,0,0,3,9,7.9,+12,.833
2021-12-28,202112280TOR,TOR,Tremont Waters,https://www.basketball-reference.com/boxscores/202112280TOR.html,6.9,0,1,.000,0,1,.000,0,0,0,1,1,1,1,0,0,0,0,1.3,0,
2021-12-28,202112280TOR,TOR,Daniel Oturu,https://www.basketball-reference.com/boxscores/202112280TOR.html,6.05,0,0,,0,0,,0,0,0,2,2,0,0,2,0,1,0,1.6,-7,
