game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2022-02-07,202202070CHO,TOR,Pascal Siakam,https://www.basketball-reference.com/boxscores/202202070CHO.html,42.67,10,16,.625,2,4,.500,2,5,.400,2,9,11,8,0,1,4,3,24,20.8,+9
2022-02-07,202202070CHO,TOR,OG Anunoby,https://www.basketball-reference.com/boxscores/202202070CHO.html,37.92,8,18,.444,2,7,.286,2,4,.500,5,4,9,2,3,0,2,3,20,15.7,+16
2022-02-07,202202070CHO,TOR,Fred VanVleet,https://www.basketball-reference.com/boxscores/202202070CHO.html,37.42,7,14,.500,6,11,.545,0,0,,1,4,5,5,1,1,5,2,20,14.3,+2
2022-02-07,202202070CHO,TOR,Gary Trent Jr.,https://www.basketball-reference.com/boxscores/202202070CHO.html,34.27,8,16,.500,4,9,.444,4,5,.800,0,3,3,2,2,1,2,3,24,17.4,-3
2022-02-07,202202070CHO,TOR,Scottie Barnes,https://www.basketball-reference.com/boxscores/202202070CHO.html,30.98,4,9,.444,1,2,.500,6,7,.857,0,8,8,3,1,0,2,5,15,11.4,+7
2022-02-07,202202070CHO,TOR,Chris Boucher,https://www.basketball-reference.com/boxscores/202202070CHO.html,19.1,3,5,.600,0,1,.000,2,2,1.000,2,4,6,0,1,2,0,2,8,9.9,+23
2022-02-07,202202070CHO,TOR,Precious Achiuwa,https://www.basketball-reference.com/boxscores/202202070CHO.html,15.42,1,3,.333,0,1,.000,3,4,.750,2,2,4,1,1,0,2,0,5,4.6,+3
2022-02-07,202202070CHO,TOR,Dalano Banton,https://www.basketball-reference.com/boxscores/202202070CHO.html,10.58,0,1,.000,0,0,,0,2,.000,0,2,2,0,0,0,0,1,0,-1.3,+13
2022-02-07,202202070CHO,TOR,Khem Birch,https://www.basketball-reference.com/boxscores/202202070CHO.html,8.45,0,2,.000,0,0,,0,0,,2,1,3,0,0,0,0,1,0,-0.1,+2
2022-02-07,202202070CHO,TOR,Malachi Flynn,https://www.basketball-reference.com/boxscores/202202070CHO.html,1.07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1
2022-02-07,202202070CHO,TOR,Svi Mykhailiuk,https://www.basketball-reference.com/boxscores/202202070CHO.html,1.07,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,+1
2022-02-07,202202070CHO,TOR,Yuta Watanabe,https://www.basketball-reference.com/boxscores/202202070CHO.html,1.07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1
2022-02-07,202202070CHO,CHO,LaMelo Ball,https://www.basketball-reference.com/boxscores/202202070CHO.html,44.08,5,19,.263,1,6,.167,4,5,.800,3,1,4,9,4,0,7,5,15,7.0,-10
2022-02-07,202202070CHO,CHO,Miles Bridges,https://www.basketball-reference.com/boxscores/202202070CHO.html,42.47,8,17,.471,2,7,.286,7,7,1.000,1,5,6,5,3,2,3,4,25,21.8,-6
2022-02-07,202202070CHO,CHO,Terry Rozier,https://www.basketball-reference.com/boxscores/202202070CHO.html,41.0,8,19,.421,4,11,.364,0,0,,0,5,5,6,0,0,1,2,20,13.8,-5
2022-02-07,202202070CHO,CHO,Mason Plumlee,https://www.basketball-reference.com/boxscores/202202070CHO.html,27.78,3,3,1.000,0,0,,0,0,,2,5,7,4,2,0,1,2,6,11.0,-11
2022-02-07,202202070CHO,CHO,Gordon Hayward,https://www.basketball-reference.com/boxscores/202202070CHO.html,6.43,1,3,.333,1,2,.500,0,0,,0,1,1,0,0,0,0,0,3,1.6,-6
2022-02-07,202202070CHO,CHO,Kelly Oubre Jr.,https://www.basketball-reference.com/boxscores/202202070CHO.html,38.05,7,17,.412,0,8,.000,3,4,.750,2,4,6,2,1,1,0,3,17,12.0,-18
2022-02-07,202202070CHO,CHO,P.J. Washington,https://www.basketball-reference.com/boxscores/202202070CHO.html,32.1,7,14,.500,1,6,.167,0,0,,1,8,9,2,1,1,0,2,15,13.4,-5
2022-02-07,202202070CHO,CHO,Ish Smith,https://www.basketball-reference.com/boxscores/202202070CHO.html,8.08,0,3,.000,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-3.5,-14
