game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2022-02-27,202202270POR,DEN,Nikola Jokić,https://www.basketball-reference.com/boxscores/202202270POR.html,26.13,3,5,.600,0,1,.000,2,2,1.000,1,17,18,11,1,0,2,2,8,17.4,+6
2022-02-27,202202270POR,DEN,Aaron Gordon,https://www.basketball-reference.com/boxscores/202202270POR.html,22.75,6,12,.500,1,3,.333,1,2,.500,1,1,2,1,0,0,1,0,14,8.3,+7
2022-02-27,202202270POR,DEN,Monte Morris,https://www.basketball-reference.com/boxscores/202202270POR.html,22.75,3,8,.375,1,5,.200,2,2,1.000,0,0,0,0,0,0,1,0,9,3.6,+7
2022-02-27,202202270POR,DEN,Will Barton,https://www.basketball-reference.com/boxscores/202202270POR.html,22.4,1,8,.125,0,5,.000,1,2,.500,0,4,4,2,0,0,1,1,3,-1.4,+7
2022-02-27,202202270POR,DEN,Jeff Green,https://www.basketball-reference.com/boxscores/202202270POR.html,20.87,4,5,.800,0,0,,6,6,1.000,1,2,3,1,2,1,3,2,14,13.0,+9
2022-02-27,202202270POR,DEN,JaMychal Green,https://www.basketball-reference.com/boxscores/202202270POR.html,27.13,7,8,.875,1,2,.500,5,6,.833,2,8,10,0,2,1,1,3,20,21.1,+23
2022-02-27,202202270POR,DEN,Bryn Forbes,https://www.basketball-reference.com/boxscores/202202270POR.html,24.9,6,10,.600,5,6,.833,0,0,,0,1,1,1,1,0,1,2,17,12.6,+27
2022-02-27,202202270POR,DEN,Facundo Campazzo,https://www.basketball-reference.com/boxscores/202202270POR.html,24.8,1,6,.167,0,4,.000,2,2,1.000,0,7,7,3,1,2,1,3,4,4.6,+27
2022-02-27,202202270POR,DEN,Austin Rivers,https://www.basketball-reference.com/boxscores/202202270POR.html,20.75,3,7,.429,2,6,.333,0,0,,0,0,0,2,1,0,0,1,8,6.3,+21
2022-02-27,202202270POR,DEN,DeMarcus Cousins,https://www.basketball-reference.com/boxscores/202202270POR.html,17.62,7,10,.700,2,3,.667,3,6,.500,2,6,8,6,1,1,3,4,19,18.1,+27
2022-02-27,202202270POR,DEN,Davon Reed,https://www.basketball-reference.com/boxscores/202202270POR.html,5.2,2,3,.667,0,0,,2,2,1.000,1,0,1,1,0,0,0,1,6,5.7,+2
2022-02-27,202202270POR,DEN,Markus Howard,https://www.basketball-reference.com/boxscores/202202270POR.html,4.25,1,3,.333,0,2,.000,0,1,.000,0,1,1,0,0,0,0,0,2,0.2,-1
2022-02-27,202202270POR,DEN,Bones Hyland,https://www.basketball-reference.com/boxscores/202202270POR.html,0.45,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-2
2022-02-27,202202270POR,POR,Josh Hart,https://www.basketball-reference.com/boxscores/202202270POR.html,31.23,5,12,.417,0,5,.000,1,2,.500,1,5,6,4,2,0,3,2,11,7.4,-21
2022-02-27,202202270POR,POR,Anfernee Simons,https://www.basketball-reference.com/boxscores/202202270POR.html,29.1,5,18,.278,1,9,.111,5,7,.714,0,2,2,4,0,0,3,4,16,3.4,-20
2022-02-27,202202270POR,POR,Drew Eubanks,https://www.basketball-reference.com/boxscores/202202270POR.html,28.6,6,9,.667,0,0,,1,2,.500,3,7,10,2,0,0,1,4,13,11.7,-9
2022-02-27,202202270POR,POR,CJ Elleby,https://www.basketball-reference.com/boxscores/202202270POR.html,26.22,4,9,.444,0,3,.000,0,0,,1,4,5,0,3,2,1,3,8,7.4,-12
2022-02-27,202202270POR,POR,Keon Johnson,https://www.basketball-reference.com/boxscores/202202270POR.html,25.83,2,10,.200,0,2,.000,0,0,,1,3,4,1,2,0,1,0,4,1.1,-19
2022-02-27,202202270POR,POR,Brandon Williams,https://www.basketball-reference.com/boxscores/202202270POR.html,24.17,2,7,.286,2,5,.400,6,9,.667,0,0,0,7,0,0,3,2,12,7.8,-12
2022-02-27,202202270POR,POR,Greg Brown III,https://www.basketball-reference.com/boxscores/202202270POR.html,21.1,3,6,.500,0,2,.000,3,4,.750,1,4,5,1,3,0,0,1,9,10.8,-12
2022-02-27,202202270POR,POR,Trendon Watford,https://www.basketball-reference.com/boxscores/202202270POR.html,20.05,2,5,.400,0,0,,2,2,1.000,3,2,5,0,2,0,0,4,6,6.4,-24
2022-02-27,202202270POR,POR,Ben McLemore,https://www.basketball-reference.com/boxscores/202202270POR.html,19.4,2,7,.286,2,6,.333,0,0,,0,1,1,2,0,1,2,3,6,1.1,-23
2022-02-27,202202270POR,POR,Elijah Hughes,https://www.basketball-reference.com/boxscores/202202270POR.html,9.1,2,5,.400,1,3,.333,0,0,,0,3,3,1,0,0,1,2,5,2.1,-6
2022-02-27,202202270POR,POR,Keljin Blevins,https://www.basketball-reference.com/boxscores/202202270POR.html,5.2,1,3,.333,0,1,.000,0,0,,1,0,1,0,0,0,0,0,2,1.0,-2
