game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ft_pct
2022-03-11,202203110NOP,CHO,Terry Rozier,https://www.basketball-reference.com/boxscores/202203110NOP.html,33.28,9,17,.529,7,13,.538,0,0,0,3,3,8,2,0,3,1,25,21.8,+25,
2022-03-11,202203110NOP,CHO,LaMelo Ball,https://www.basketball-reference.com/boxscores/202203110NOP.html,31.3,6,12,.500,2,7,.286,3,4,0,6,6,9,3,0,1,2,17,19.9,+14,.750
2022-03-11,202203110NOP,CHO,Miles Bridges,https://www.basketball-reference.com/boxscores/202203110NOP.html,29.25,9,15,.600,4,8,.500,4,5,2,6,8,9,1,0,0,1,26,28.8,+27,.800
2022-03-11,202203110NOP,CHO,P.J. Washington,https://www.basketball-reference.com/boxscores/202203110NOP.html,24.42,2,5,.400,2,4,.500,0,0,0,1,1,5,0,0,3,4,6,2.5,+14,
2022-03-11,202203110NOP,CHO,Mason Plumlee,https://www.basketball-reference.com/boxscores/202203110NOP.html,20.43,4,4,1.000,0,0,,1,1,1,1,2,3,2,1,1,4,9,11.0,+27,1.000
2022-03-11,202203110NOP,CHO,Cody Martin,https://www.basketball-reference.com/boxscores/202203110NOP.html,28.42,6,7,.857,1,2,.500,2,3,0,5,5,4,1,0,0,4,15,15.8,+10,.667
2022-03-11,202203110NOP,CHO,Montrezl Harrell,https://www.basketball-reference.com/boxscores/202203110NOP.html,22.68,7,9,.778,0,0,,2,3,2,4,6,2,1,0,3,2,16,13.3,0,.667
2022-03-11,202203110NOP,CHO,Jalen McDaniels,https://www.basketball-reference.com/boxscores/202203110NOP.html,16.68,0,3,.000,0,2,.000,4,4,1,2,3,1,0,0,1,1,4,2.5,-9,1.000
2022-03-11,202203110NOP,CHO,Isaiah Thomas,https://www.basketball-reference.com/boxscores/202203110NOP.html,16.13,5,8,.625,4,6,.667,0,0,0,1,1,0,1,0,0,0,14,11.7,+11,
2022-03-11,202203110NOP,CHO,Kelly Oubre Jr.,https://www.basketball-reference.com/boxscores/202203110NOP.html,14.9,4,7,.571,2,5,.400,0,0,0,2,2,0,0,0,2,4,10,3.7,+1,
2022-03-11,202203110NOP,CHO,Nick Richards,https://www.basketball-reference.com/boxscores/202203110NOP.html,1.25,0,0,,0,0,,0,0,0,1,1,0,0,0,0,0,0,0.3,-5,
2022-03-11,202203110NOP,CHO,JT Thor,https://www.basketball-reference.com/boxscores/202203110NOP.html,1.25,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,-5,
2022-03-11,202203110NOP,NOP,Jaxson Hayes,https://www.basketball-reference.com/boxscores/202203110NOP.html,34.88,4,10,.400,1,3,.333,4,4,1,4,5,2,0,1,0,1,13,11.2,-20,1.000
2022-03-11,202203110NOP,NOP,Devonte' Graham,https://www.basketball-reference.com/boxscores/202203110NOP.html,33.98,7,14,.500,4,10,.400,1,1,1,3,4,7,3,0,4,2,19,16.7,-11,1.000
2022-03-11,202203110NOP,NOP,Herbert Jones,https://www.basketball-reference.com/boxscores/202203110NOP.html,33.8,3,6,.500,0,2,.000,6,8,1,1,2,8,1,0,2,2,12,13.0,-23,.750
2022-03-11,202203110NOP,NOP,Naji Marshall,https://www.basketball-reference.com/boxscores/202203110NOP.html,28.83,5,10,.500,2,6,.333,2,2,1,3,4,7,3,0,2,1,14,16.1,-14,1.000
2022-03-11,202203110NOP,NOP,Jonas Valančiūnas,https://www.basketball-reference.com/boxscores/202203110NOP.html,25.15,4,12,.333,0,1,.000,2,2,1,7,8,1,1,0,2,3,10,4.5,-17,1.000
2022-03-11,202203110NOP,NOP,Trey Murphy III,https://www.basketball-reference.com/boxscores/202203110NOP.html,28.38,12,20,.600,7,12,.583,1,2,4,5,9,2,0,0,0,4,32,26.5,-8,.500
2022-03-11,202203110NOP,NOP,Jose Alvarado,https://www.basketball-reference.com/boxscores/202203110NOP.html,21.73,2,7,.286,1,4,.250,0,2,2,0,2,3,0,0,3,3,5,-0.6,-7,.000
2022-03-11,202203110NOP,NOP,Willy Hernangómez,https://www.basketball-reference.com/boxscores/202203110NOP.html,21.6,6,6,1.000,0,0,,3,4,2,4,6,1,1,1,2,4,15,14.2,-10,.750
2022-03-11,202203110NOP,NOP,Tony Snell,https://www.basketball-reference.com/boxscores/202203110NOP.html,11.62,0,1,.000,0,1,.000,0,0,0,0,0,0,0,0,2,1,0,-3.1,0,
