game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2022-03-20,202203200PHI,TOR,Scottie Barnes,https://www.basketball-reference.com/boxscores/202203200PHI.html,42.13,6,21,.286,1,5,.200,0,3,.000,3,3,6,4,1,0,2,2,13,3.5,+5
2022-03-20,202203200PHI,TOR,Pascal Siakam,https://www.basketball-reference.com/boxscores/202203200PHI.html,36.02,10,20,.500,1,3,.333,5,6,.833,1,9,10,5,0,0,3,2,26,18.7,-5
2022-03-20,202203200PHI,TOR,Gary Trent Jr.,https://www.basketball-reference.com/boxscores/202203200PHI.html,33.9,2,13,.154,0,4,.000,5,6,.833,0,2,2,3,1,0,0,2,9,3.2,-5
2022-03-20,202203200PHI,TOR,Precious Achiuwa,https://www.basketball-reference.com/boxscores/202203200PHI.html,33.82,9,15,.600,2,4,.500,1,2,.500,5,4,9,1,0,0,0,4,21,17.5,+7
2022-03-20,202203200PHI,TOR,Khem Birch,https://www.basketball-reference.com/boxscores/202203200PHI.html,21.72,1,6,.167,0,1,.000,2,2,1.000,5,1,6,0,0,1,0,1,4,4.3,-16
2022-03-20,202203200PHI,TOR,Chris Boucher,https://www.basketball-reference.com/boxscores/202203200PHI.html,38.93,4,12,.333,1,4,.250,3,4,.750,5,9,14,0,1,1,1,3,12,10.5,+16
2022-03-20,202203200PHI,TOR,Thaddeus Young,https://www.basketball-reference.com/boxscores/202203200PHI.html,19.38,1,2,.500,0,1,.000,0,0,,1,6,7,3,1,2,2,0,2,6.0,+13
2022-03-20,202203200PHI,TOR,Armoni Brooks,https://www.basketball-reference.com/boxscores/202203200PHI.html,14.1,2,4,.500,2,4,.500,0,0,,0,2,2,0,1,0,0,2,6,4.8,+10
2022-03-20,202203200PHI,PHI,James Harden,https://www.basketball-reference.com/boxscores/202203200PHI.html,37.63,5,12,.417,0,4,.000,7,10,.700,0,9,9,8,2,0,6,4,17,12.1,-1
2022-03-20,202203200PHI,PHI,Joel Embiid,https://www.basketball-reference.com/boxscores/202203200PHI.html,37.25,6,20,.300,0,3,.000,9,11,.818,1,12,13,2,1,1,1,3,21,13.8,+7
2022-03-20,202203200PHI,PHI,Tyrese Maxey,https://www.basketball-reference.com/boxscores/202203200PHI.html,36.75,8,14,.571,2,4,.500,1,1,1.000,0,1,1,4,0,0,1,3,19,13.3,+10
2022-03-20,202203200PHI,PHI,Matisse Thybulle,https://www.basketball-reference.com/boxscores/202203200PHI.html,34.0,4,6,.667,2,4,.500,2,2,1.000,0,2,2,0,3,4,0,3,12,14.6,+8
2022-03-20,202203200PHI,PHI,Tobias Harris,https://www.basketball-reference.com/boxscores/202203200PHI.html,26.85,2,9,.222,0,4,.000,1,2,.500,3,2,5,4,0,0,1,5,5,1.6,+7
2022-03-20,202203200PHI,PHI,Georges Niang,https://www.basketball-reference.com/boxscores/202203200PHI.html,29.32,4,9,.444,3,7,.429,0,0,,0,4,4,1,1,0,0,3,11,8.0,-22
2022-03-20,202203200PHI,PHI,Danny Green,https://www.basketball-reference.com/boxscores/202203200PHI.html,16.0,1,2,.500,0,1,.000,1,2,.500,0,3,3,1,0,0,0,0,3,3.2,-9
2022-03-20,202203200PHI,PHI,DeAndre Jordan,https://www.basketball-reference.com/boxscores/202203200PHI.html,10.72,0,0,,0,0,,0,0,,1,1,2,0,0,0,1,1,0,-0.4,-10
2022-03-20,202203200PHI,PHI,Shake Milton,https://www.basketball-reference.com/boxscores/202203200PHI.html,8.7,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,-9
2022-03-20,202203200PHI,PHI,Paul Reed,https://www.basketball-reference.com/boxscores/202203200PHI.html,2.78,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-6
