game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2022-10-24,202210240HOU,UTA,Jarred Vanderbilt,https://www.basketball-reference.com/boxscores/202210240HOU.html,32.02,6,10,.600,0,1,.000,1,2,.500,4,7,11,2,1,1,2,4,13,12.4,-9
2022-10-24,202210240HOU,UTA,Lauri Markkanen,https://www.basketball-reference.com/boxscores/202210240HOU.html,30.9,7,19,.368,0,6,.000,0,3,.000,3,3,6,1,0,0,1,0,14,5.0,+1
2022-10-24,202210240HOU,UTA,Jordan Clarkson,https://www.basketball-reference.com/boxscores/202210240HOU.html,28.18,7,14,.500,2,6,.333,1,1,1.000,2,2,4,4,0,1,3,3,17,11.3,+1
2022-10-24,202210240HOU,UTA,Mike Conley,https://www.basketball-reference.com/boxscores/202210240HOU.html,27.3,3,6,.500,0,3,.000,1,3,.333,0,2,2,7,3,2,2,0,7,11.1,+1
2022-10-24,202210240HOU,UTA,Kelly Olynyk,https://www.basketball-reference.com/boxscores/202210240HOU.html,26.73,4,5,.800,2,2,1.000,3,4,.750,3,6,9,4,0,0,5,2,13,11.6,+8
2022-10-24,202210240HOU,UTA,Malik Beasley,https://www.basketball-reference.com/boxscores/202210240HOU.html,19.82,5,9,.556,2,4,.500,0,0,,0,0,0,0,2,1,0,1,12,10.0,-7
2022-10-24,202210240HOU,UTA,Talen Horton-Tucker,https://www.basketball-reference.com/boxscores/202210240HOU.html,17.1,3,7,.429,1,3,.333,2,2,1.000,1,4,5,3,1,2,2,3,9,8.5,-7
2022-10-24,202210240HOU,UTA,Simone Fontecchio,https://www.basketball-reference.com/boxscores/202210240HOU.html,15.73,5,9,.556,3,5,.600,0,0,,2,1,3,0,0,0,2,4,13,6.8,-4
2022-10-24,202210240HOU,UTA,Collin Sexton,https://www.basketball-reference.com/boxscores/202210240HOU.html,15.48,4,7,.571,1,2,.500,1,1,1.000,1,4,5,1,0,0,1,3,10,7.1,-5
2022-10-24,202210240HOU,UTA,Rudy Gay,https://www.basketball-reference.com/boxscores/202210240HOU.html,13.05,0,5,.000,0,0,,0,0,,2,1,3,0,0,2,0,2,0,-1.2,-7
2022-10-24,202210240HOU,UTA,Walker Kessler,https://www.basketball-reference.com/boxscores/202210240HOU.html,8.47,0,1,.000,0,0,,0,0,,0,1,1,0,1,1,2,4,0,-2.3,0
2022-10-24,202210240HOU,UTA,Nickeil Alexander-Walker,https://www.basketball-reference.com/boxscores/202210240HOU.html,5.22,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-0.4,-2
2022-10-24,202210240HOU,HOU,Jalen Green,https://www.basketball-reference.com/boxscores/202210240HOU.html,35.75,9,16,.563,4,8,.500,3,3,1.000,2,1,3,3,0,0,3,1,25,17.8,-1
2022-10-24,202210240HOU,HOU,Kevin Porter Jr.,https://www.basketball-reference.com/boxscores/202210240HOU.html,34.72,8,19,.421,1,4,.250,9,9,1.000,1,9,10,4,2,1,4,1,26,20.4,+3
2022-10-24,202210240HOU,HOU,KJ Martin,https://www.basketball-reference.com/boxscores/202210240HOU.html,34.27,1,9,.111,1,6,.167,0,0,,1,3,4,3,1,1,1,4,3,-0.1,-4
2022-10-24,202210240HOU,HOU,Jabari Smith Jr.,https://www.basketball-reference.com/boxscores/202210240HOU.html,33.85,6,10,.600,3,5,.600,6,6,1.000,3,6,9,2,0,3,1,5,21,20.8,+2
2022-10-24,202210240HOU,HOU,Eric Gordon,https://www.basketball-reference.com/boxscores/202210240HOU.html,31.02,5,11,.455,1,4,.250,2,2,1.000,0,2,2,2,1,0,2,0,13,8.3,+8
2022-10-24,202210240HOU,HOU,Daishen Nix,https://www.basketball-reference.com/boxscores/202210240HOU.html,21.58,2,3,.667,0,0,,3,4,.750,1,0,1,2,0,1,0,1,7,7.7,+5
2022-10-24,202210240HOU,HOU,Tari Eason,https://www.basketball-reference.com/boxscores/202210240HOU.html,18.75,4,12,.333,0,2,.000,3,4,.750,5,4,9,0,3,0,1,3,11,9.3,+7
2022-10-24,202210240HOU,HOU,Garrison Mathews,https://www.basketball-reference.com/boxscores/202210240HOU.html,11.53,1,5,.200,1,5,.200,0,0,,0,2,2,0,0,1,0,2,3,0.4,+10
2022-10-24,202210240HOU,HOU,Usman Garuba,https://www.basketball-reference.com/boxscores/202210240HOU.html,10.62,1,3,.333,0,0,,0,2,.000,3,1,4,1,0,0,2,2,2,-0.2,+5
2022-10-24,202210240HOU,HOU,Josh Christopher,https://www.basketball-reference.com/boxscores/202210240HOU.html,4.38,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,0.6,-4
2022-10-24,202210240HOU,HOU,Boban Marjanović,https://www.basketball-reference.com/boxscores/202210240HOU.html,3.53,0,0,,0,0,,1,2,.500,1,2,3,0,0,0,1,0,1,0.9,-1
