game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2022-11-11,202211110NYK,DET,Bojan Bogdanović,https://www.basketball-reference.com/boxscores/202211110NYK.html,34.28,9,15,.600,0,5,.000,7,7,1.000,0,5,5,3,0,0,2,3,25,18.5,-11
2022-11-11,202211110NYK,DET,Isaiah Stewart,https://www.basketball-reference.com/boxscores/202211110NYK.html,29.48,4,7,.571,2,4,.500,3,4,.750,4,4,8,3,0,2,2,4,13,13.2,-5
2022-11-11,202211110NYK,DET,Saddiq Bey,https://www.basketball-reference.com/boxscores/202211110NYK.html,27.18,4,10,.400,0,3,.000,3,3,1.000,2,3,5,1,1,0,1,1,11,8.2,-8
2022-11-11,202211110NYK,DET,Jaden Ivey,https://www.basketball-reference.com/boxscores/202211110NYK.html,25.03,4,11,.364,0,1,.000,2,5,.400,1,2,3,4,2,0,4,1,10,4.4,-17
2022-11-11,202211110NYK,DET,Cory Joseph,https://www.basketball-reference.com/boxscores/202211110NYK.html,5.92,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,4,0,-1.6,-5
2022-11-11,202211110NYK,DET,Killian Hayes,https://www.basketball-reference.com/boxscores/202211110NYK.html,34.18,4,12,.333,1,6,.167,2,2,1.000,0,6,6,7,3,0,4,3,11,8.7,+6
2022-11-11,202211110NYK,DET,Alec Burks,https://www.basketball-reference.com/boxscores/202211110NYK.html,25.33,5,12,.417,1,5,.200,6,8,.750,0,2,2,1,0,0,0,3,17,9.9,0
2022-11-11,202211110NYK,DET,Isaiah Livers,https://www.basketball-reference.com/boxscores/202211110NYK.html,22.1,3,6,.500,3,6,.500,2,2,1.000,2,2,4,1,0,2,0,2,11,11.3,-5
2022-11-11,202211110NYK,DET,Jalen Duren,https://www.basketball-reference.com/boxscores/202211110NYK.html,21.17,0,1,.000,0,0,,1,4,.250,2,6,8,0,0,1,1,1,1,1.6,-3
2022-11-11,202211110NYK,DET,Hamidou Diallo,https://www.basketball-reference.com/boxscores/202211110NYK.html,15.3,4,5,.800,0,0,,5,6,.833,1,1,2,1,0,1,1,1,13,11.7,+3
2022-11-11,202211110NYK,NYK,RJ Barrett,https://www.basketball-reference.com/boxscores/202211110NYK.html,37.52,10,17,.588,3,8,.375,7,8,.875,1,4,5,5,0,0,1,3,30,24.9,+11
2022-11-11,202211110NYK,NYK,Julius Randle,https://www.basketball-reference.com/boxscores/202211110NYK.html,32.98,8,18,.444,0,7,.000,5,5,1.000,4,4,8,5,0,0,2,5,21,15.1,+13
2022-11-11,202211110NYK,NYK,Jalen Brunson,https://www.basketball-reference.com/boxscores/202211110NYK.html,32.68,8,16,.500,2,5,.400,8,8,1.000,0,1,1,7,4,0,0,3,26,26.0,+8
2022-11-11,202211110NYK,NYK,Isaiah Hartenstein,https://www.basketball-reference.com/boxscores/202211110NYK.html,32.52,3,5,.600,0,0,,0,0,,5,7,12,0,0,1,3,5,6,5.0,+9
2022-11-11,202211110NYK,NYK,Cam Reddish,https://www.basketball-reference.com/boxscores/202211110NYK.html,17.72,2,6,.333,0,3,.000,0,0,,0,3,3,1,0,0,0,1,4,1.8,+7
2022-11-11,202211110NYK,NYK,Obi Toppin,https://www.basketball-reference.com/boxscores/202211110NYK.html,22.38,3,9,.333,2,7,.286,0,0,,1,4,5,1,1,1,1,2,8,5.4,-5
2022-11-11,202211110NYK,NYK,Immanuel Quickley,https://www.basketball-reference.com/boxscores/202211110NYK.html,21.25,3,6,.500,2,3,.667,0,0,,1,4,5,1,2,0,0,4,8,8.0,+2
2022-11-11,202211110NYK,NYK,Derrick Rose,https://www.basketball-reference.com/boxscores/202211110NYK.html,15.32,2,7,.286,0,1,.000,4,4,1.000,0,0,0,2,0,0,1,1,8,3.9,+1
2022-11-11,202211110NYK,NYK,Evan Fournier,https://www.basketball-reference.com/boxscores/202211110NYK.html,11.8,0,5,.000,0,3,.000,3,4,.750,1,1,2,1,0,0,1,0,3,-0.2,-2
2022-11-11,202211110NYK,NYK,Jericho Sims,https://www.basketball-reference.com/boxscores/202211110NYK.html,8.12,1,1,1.000,0,0,,0,0,,2,2,4,0,0,1,1,4,2,1.8,+1
2022-11-11,202211110NYK,NYK,Quentin Grimes,https://www.basketball-reference.com/boxscores/202211110NYK.html,7.72,2,4,.500,1,3,.333,0,0,,1,1,2,0,0,0,1,3,5,1.8,0
