game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2022-11-18,202211180MEM,OKC,Josh Giddey,https://www.basketball-reference.com/boxscores/202211180MEM.html,36.83,10,20,.500,0,4,.000,0,1,.000,1,5,6,11,0,1,3,4,20,15.6,-13
2022-11-18,202211180MEM,OKC,Shai Gilgeous-Alexander,https://www.basketball-reference.com/boxscores/202211180MEM.html,33.87,6,18,.333,2,4,.500,1,1,1.000,1,5,6,6,0,1,2,4,15,8.3,-13
2022-11-18,202211180MEM,OKC,Jalen Williams,https://www.basketball-reference.com/boxscores/202211180MEM.html,33.55,6,12,.500,2,5,.400,2,2,1.000,0,6,6,7,2,0,1,4,16,16.1,-15
2022-11-18,202211180MEM,OKC,Luguentz Dort,https://www.basketball-reference.com/boxscores/202211180MEM.html,26.73,2,8,.250,0,2,.000,0,0,,3,4,7,1,1,0,0,5,4,2.2,-11
2022-11-18,202211180MEM,OKC,Aleksej Pokusevski,https://www.basketball-reference.com/boxscores/202211180MEM.html,14.18,4,4,1.000,2,2,1.000,0,0,,0,1,1,1,0,3,0,1,10,11.5,-6
2022-11-18,202211180MEM,OKC,Jeremiah Robinson-Earl,https://www.basketball-reference.com/boxscores/202211180MEM.html,27.5,6,9,.667,0,2,.000,2,2,1.000,1,6,7,1,0,3,2,1,14,13.0,+13
2022-11-18,202211180MEM,OKC,Aaron Wiggins,https://www.basketball-reference.com/boxscores/202211180MEM.html,20.85,4,7,.571,2,4,.500,0,0,,2,3,5,5,0,0,1,3,10,10.3,-1
2022-11-18,202211180MEM,OKC,Lindy Waters III,https://www.basketball-reference.com/boxscores/202211180MEM.html,18.62,3,9,.333,2,8,.250,0,0,,0,4,4,0,1,0,0,2,8,4.3,+5
2022-11-18,202211180MEM,OKC,Kenrich Williams,https://www.basketball-reference.com/boxscores/202211180MEM.html,11.2,2,5,.400,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,5,2.2,-6
2022-11-18,202211180MEM,OKC,Mike Muscala,https://www.basketball-reference.com/boxscores/202211180MEM.html,8.67,1,3,.333,0,2,.000,0,0,,0,0,0,2,1,1,0,1,2,3.0,-3
2022-11-18,202211180MEM,OKC,Jaylin Williams,https://www.basketball-reference.com/boxscores/202211180MEM.html,8.0,1,1,1.000,0,0,,4,5,.800,0,0,0,0,0,0,1,2,6,3.5,-5
2022-11-18,202211180MEM,MEM,Dillon Brooks,https://www.basketball-reference.com/boxscores/202211180MEM.html,35.5,6,20,.300,2,9,.222,2,4,.500,1,2,3,6,1,0,1,2,16,8.3,+19
2022-11-18,202211180MEM,MEM,Ja Morant,https://www.basketball-reference.com/boxscores/202211180MEM.html,32.02,5,20,.250,0,2,.000,9,10,.900,2,5,7,11,0,1,2,1,19,15.5,+6
2022-11-18,202211180MEM,MEM,John Konchar,https://www.basketball-reference.com/boxscores/202211180MEM.html,28.85,7,10,.700,5,7,.714,0,0,,1,9,10,2,0,1,1,0,19,19.3,+17
2022-11-18,202211180MEM,MEM,Steven Adams,https://www.basketball-reference.com/boxscores/202211180MEM.html,25.3,3,3,1.000,0,0,,0,4,.000,3,4,7,0,0,0,2,1,6,4.4,+15
2022-11-18,202211180MEM,MEM,Jaren Jackson Jr.,https://www.basketball-reference.com/boxscores/202211180MEM.html,24.9,7,16,.438,3,6,.500,8,11,.727,5,7,12,0,2,3,2,2,25,22.3,+9
2022-11-18,202211180MEM,MEM,Tyus Jones,https://www.basketball-reference.com/boxscores/202211180MEM.html,23.17,4,7,.571,1,4,.250,4,4,1.000,1,1,2,5,0,1,1,2,13,13.1,+1
2022-11-18,202211180MEM,MEM,Santi Aldama,https://www.basketball-reference.com/boxscores/202211180MEM.html,23.1,4,9,.444,3,7,.429,4,4,1.000,2,5,7,1,0,0,0,1,15,13.5,+2
2022-11-18,202211180MEM,MEM,Brandon Clarke,https://www.basketball-reference.com/boxscores/202211180MEM.html,22.7,1,2,.500,0,0,,0,0,,0,5,5,0,1,1,0,1,2,3.8,-4
2022-11-18,202211180MEM,MEM,David Roddy,https://www.basketball-reference.com/boxscores/202211180MEM.html,15.0,1,3,.333,0,2,.000,2,3,.667,2,1,3,0,0,0,2,1,4,1.2,-8
2022-11-18,202211180MEM,MEM,Jake LaRavia,https://www.basketball-reference.com/boxscores/202211180MEM.html,9.47,1,3,.333,0,2,.000,0,0,,0,1,1,1,0,0,0,2,2,0.5,-2
