game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2023-03-06,202303060DEN,TOR,Pascal Siakam,https://www.basketball-reference.com/boxscores/202303060DEN.html,36.57,8,18,.444,1,2,.500,2,2,1.000,2,2,4,4,0,1,3,1,19,11.7,-2
2023-03-06,202303060DEN,TOR,Fred VanVleet,https://www.basketball-reference.com/boxscores/202303060DEN.html,34.6,5,12,.417,3,9,.333,8,8,1.000,0,1,1,14,2,0,5,4,21,20.1,-7
2023-03-06,202303060DEN,TOR,OG Anunoby,https://www.basketball-reference.com/boxscores/202303060DEN.html,34.6,3,7,.429,3,6,.500,3,4,.750,2,2,4,1,0,0,1,3,12,8.4,-4
2023-03-06,202303060DEN,TOR,Scottie Barnes,https://www.basketball-reference.com/boxscores/202303060DEN.html,33.92,5,12,.417,0,2,.000,2,2,1.000,3,6,9,2,1,1,3,2,12,8.8,-14
2023-03-06,202303060DEN,TOR,Jakob Poeltl,https://www.basketball-reference.com/boxscores/202303060DEN.html,32.03,9,13,.692,0,0,,0,2,.000,3,6,9,4,1,1,2,3,18,16.9,-4
2023-03-06,202303060DEN,TOR,Gary Trent Jr.,https://www.basketball-reference.com/boxscores/202303060DEN.html,23.22,6,9,.667,1,2,.500,0,0,,0,1,1,0,0,0,0,2,13,8.6,-2
2023-03-06,202303060DEN,TOR,Precious Achiuwa,https://www.basketball-reference.com/boxscores/202303060DEN.html,19.43,3,4,.750,1,1,1.000,2,2,1.000,0,6,6,3,1,0,0,1,9,11.9,+6
2023-03-06,202303060DEN,TOR,Chris Boucher,https://www.basketball-reference.com/boxscores/202303060DEN.html,14.93,2,6,.333,0,2,.000,0,0,,1,5,6,0,1,1,0,1,4,4.1,-1
2023-03-06,202303060DEN,TOR,Will Barton,https://www.basketball-reference.com/boxscores/202303060DEN.html,10.7,2,5,.400,1,3,.333,0,0,,0,1,1,1,0,0,1,3,5,1.1,+3
2023-03-06,202303060DEN,DEN,Nikola Jokić,https://www.basketball-reference.com/boxscores/202303060DEN.html,36.22,5,8,.625,1,1,1.000,6,6,1.000,3,10,13,9,0,1,4,1,17,21.1,+7
2023-03-06,202303060DEN,DEN,Kentavious Caldwell-Pope,https://www.basketball-reference.com/boxscores/202303060DEN.html,35.6,3,10,.300,0,4,.000,0,0,,0,2,2,4,1,0,0,2,6,3.8,+8
2023-03-06,202303060DEN,DEN,Jamal Murray,https://www.basketball-reference.com/boxscores/202303060DEN.html,33.07,9,14,.643,5,10,.500,1,1,1.000,0,1,1,5,3,0,1,1,24,23.2,+4
2023-03-06,202303060DEN,DEN,Michael Porter Jr.,https://www.basketball-reference.com/boxscores/202303060DEN.html,32.02,7,11,.636,4,6,.667,2,4,.500,0,5,5,0,1,0,2,1,20,14.4,+7
2023-03-06,202303060DEN,DEN,Aaron Gordon,https://www.basketball-reference.com/boxscores/202303060DEN.html,29.73,7,12,.583,0,2,.000,5,6,.833,5,1,6,5,2,1,0,1,19,22.6,+13
2023-03-06,202303060DEN,DEN,Reggie Jackson,https://www.basketball-reference.com/boxscores/202303060DEN.html,23.02,5,11,.455,3,4,.750,0,0,,1,2,3,5,0,0,2,2,13,9.3,+4
2023-03-06,202303060DEN,DEN,Bruce Brown,https://www.basketball-reference.com/boxscores/202303060DEN.html,20.3,2,13,.154,0,5,.000,5,6,.833,2,2,4,1,2,0,2,3,9,1.8,-8
2023-03-06,202303060DEN,DEN,Jeff Green,https://www.basketball-reference.com/boxscores/202303060DEN.html,18.27,3,4,.750,0,1,.000,0,0,,1,2,3,1,0,0,2,1,6,4.0,-8
2023-03-06,202303060DEN,DEN,Thomas Bryant,https://www.basketball-reference.com/boxscores/202303060DEN.html,11.78,2,3,.667,0,0,,0,0,,0,4,4,0,0,0,0,0,4,3.9,-2
