game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ft_pct
2023-04-09,202304090BOS,ATL,Aaron Holiday,https://www.basketball-reference.com/boxscores/202304090BOS.html,31.32,3,12,.250,1,5,.200,0,0,1,1,2,6,2,0,2,2,7,4.2,-7,
2023-04-09,202304090BOS,ATL,AJ Griffin,https://www.basketball-reference.com/boxscores/202304090BOS.html,29.33,5,13,.385,1,5,.200,2,3,1,2,3,2,2,0,0,0,13,10.2,-3,.667
2023-04-09,202304090BOS,ATL,Onyeka Okongwu,https://www.basketball-reference.com/boxscores/202304090BOS.html,26.35,4,7,.571,1,2,.500,1,2,4,5,9,2,1,0,1,0,10,12.0,-7,.500
2023-04-09,202304090BOS,ATL,De'Andre Hunter,https://www.basketball-reference.com/boxscores/202304090BOS.html,16.72,5,9,.556,1,3,.333,3,3,0,3,3,1,0,0,2,1,14,8.9,+1,1.000
2023-04-09,202304090BOS,ATL,Saddiq Bey,https://www.basketball-reference.com/boxscores/202304090BOS.html,15.0,4,8,.500,1,3,.333,0,0,2,2,4,3,3,0,0,0,9,12.1,+6,
2023-04-09,202304090BOS,ATL,Garrison Mathews,https://www.basketball-reference.com/boxscores/202304090BOS.html,25.6,5,12,.417,4,11,.364,5,5,1,2,3,1,0,1,0,2,19,14.5,-16,1.000
2023-04-09,202304090BOS,ATL,Bruno Fernando,https://www.basketball-reference.com/boxscores/202304090BOS.html,21.65,8,11,.727,0,2,.000,3,4,3,7,10,0,0,1,2,3,19,15.8,+1,.750
2023-04-09,202304090BOS,ATL,Vit Krejci,https://www.basketball-reference.com/boxscores/202304090BOS.html,20.27,0,1,.000,0,1,.000,0,0,1,3,4,3,1,0,1,2,0,2.2,-6,
2023-04-09,202304090BOS,ATL,Jalen Johnson,https://www.basketball-reference.com/boxscores/202304090BOS.html,18.5,6,10,.600,2,4,.500,1,2,0,3,3,3,1,3,0,2,15,15.3,-5,.500
2023-04-09,202304090BOS,ATL,Trent Forrest,https://www.basketball-reference.com/boxscores/202304090BOS.html,16.68,0,4,.000,0,0,,0,0,0,2,2,5,1,0,0,0,0,2.3,+1,
2023-04-09,202304090BOS,ATL,Tyrese Martin,https://www.basketball-reference.com/boxscores/202304090BOS.html,16.02,2,6,.333,0,2,.000,0,0,3,3,6,1,0,0,1,0,4,3.3,-1,
2023-04-09,202304090BOS,ATL,Donovan Williams,https://www.basketball-reference.com/boxscores/202304090BOS.html,2.57,2,4,.500,0,1,.000,0,0,0,1,1,0,0,0,0,0,4,2.3,+6,
2023-04-09,202304090BOS,BOS,Payton Pritchard,https://www.basketball-reference.com/boxscores/202304090BOS.html,45.88,10,21,.476,9,16,.563,1,1,1,13,14,11,0,0,7,1,30,24.2,+11,1.000
2023-04-09,202304090BOS,BOS,Sam Hauser,https://www.basketball-reference.com/boxscores/202304090BOS.html,38.27,9,16,.563,8,14,.571,0,0,1,4,5,6,1,1,1,2,26,24.4,+6,
2023-04-09,202304090BOS,BOS,Mike Muscala,https://www.basketball-reference.com/boxscores/202304090BOS.html,33.42,9,13,.692,4,7,.571,5,7,4,4,8,2,0,0,2,3,27,22.9,+13,.714
2023-04-09,202304090BOS,BOS,Blake Griffin,https://www.basketball-reference.com/boxscores/202304090BOS.html,5.13,1,3,.333,1,3,.333,0,0,0,2,2,1,0,0,1,1,3,1.2,+5,
2023-04-09,202304090BOS,BOS,Derrick White,https://www.basketball-reference.com/boxscores/202304090BOS.html,5.13,1,2,.500,1,2,.500,0,0,0,0,0,1,0,0,1,0,3,1.7,+5,
2023-04-09,202304090BOS,BOS,JD Davison,https://www.basketball-reference.com/boxscores/202304090BOS.html,34.88,3,6,.500,1,3,.333,1,2,1,2,3,3,0,2,2,1,8,7.0,-7,.500
2023-04-09,202304090BOS,BOS,Luke Kornet,https://www.basketball-reference.com/boxscores/202304090BOS.html,32.65,5,10,.500,0,2,.000,2,2,1,6,7,6,1,0,1,5,12,11.7,-2,1.000
2023-04-09,202304090BOS,BOS,Justin Champagnie,https://www.basketball-reference.com/boxscores/202304090BOS.html,19.83,2,12,.167,1,5,.200,0,0,2,2,4,3,1,0,0,0,5,2.5,+3,
2023-04-09,202304090BOS,BOS,Mfiondu Kabengele,https://www.basketball-reference.com/boxscores/202304090BOS.html,18.9,1,4,.250,0,2,.000,2,2,2,2,4,0,2,0,0,0,4,5.6,+2,1.000
2023-04-09,202304090BOS,BOS,Grant Williams,https://www.basketball-reference.com/boxscores/202304090BOS.html,5.9,1,2,.500,0,0,,0,0,0,0,0,0,0,0,0,0,2,1.0,-6,
