game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ft_pct
2023-11-17,202311170LAC,HOU,Fred VanVleet,https://www.basketball-reference.com/boxscores/202311170LAC.html,40.87,7,14,.500,5,9,.556,0,0,1,7,8,10,1,1,2,0,19,21.5,-14,
2023-11-17,202311170LAC,HOU,Alperen Şengün,https://www.basketball-reference.com/boxscores/202311170LAC.html,34.28,8,18,.444,2,5,.400,5,7,2,6,8,4,1,0,6,4,23,12.2,-17,.714
2023-11-17,202311170LAC,HOU,Jalen Green,https://www.basketball-reference.com/boxscores/202311170LAC.html,33.43,5,16,.313,1,6,.167,9,10,0,4,4,5,0,1,4,3,20,10.6,-10,.900
2023-11-17,202311170LAC,HOU,Jabari Smith Jr.,https://www.basketball-reference.com/boxscores/202311170LAC.html,32.72,4,12,.333,1,4,.250,0,0,2,5,7,0,1,1,0,5,9,4.8,-3,
2023-11-17,202311170LAC,HOU,Dillon Brooks,https://www.basketball-reference.com/boxscores/202311170LAC.html,30.67,2,6,.333,0,2,.000,0,1,1,3,4,1,1,0,0,6,4,1.1,-16,.000
2023-11-17,202311170LAC,HOU,Tari Eason,https://www.basketball-reference.com/boxscores/202311170LAC.html,19.78,6,9,.667,0,1,.000,0,2,2,4,6,0,1,2,1,3,12,10.1,+11,.000
2023-11-17,202311170LAC,HOU,Aaron Holiday,https://www.basketball-reference.com/boxscores/202311170LAC.html,17.53,2,3,.667,1,2,.500,0,0,0,1,1,2,1,0,0,2,5,5.6,+9,
2023-11-17,202311170LAC,HOU,Jeff Green,https://www.basketball-reference.com/boxscores/202311170LAC.html,14.5,0,3,.000,0,1,.000,0,0,1,1,2,2,0,0,1,0,0,-0.7,+4,
2023-11-17,202311170LAC,HOU,Jae'Sean Tate,https://www.basketball-reference.com/boxscores/202311170LAC.html,8.93,3,5,.600,0,1,.000,0,0,3,1,4,0,0,0,1,5,6,3.1,-9,
2023-11-17,202311170LAC,HOU,Jock Landale,https://www.basketball-reference.com/boxscores/202311170LAC.html,7.22,1,2,.500,0,0,,0,0,0,3,3,0,0,0,1,0,2,0.9,+15,
2023-11-17,202311170LAC,LAC,Paul George,https://www.basketball-reference.com/boxscores/202311170LAC.html,40.1,8,22,.364,4,10,.400,3,3,1,7,8,3,2,1,3,2,23,14.6,+9,1.000
2023-11-17,202311170LAC,LAC,Kawhi Leonard,https://www.basketball-reference.com/boxscores/202311170LAC.html,36.83,8,16,.500,3,6,.500,7,8,1,7,8,2,5,1,3,3,26,23.3,+18,.875
2023-11-17,202311170LAC,LAC,Ivica Zubac,https://www.basketball-reference.com/boxscores/202311170LAC.html,34.85,6,8,.750,0,0,,0,2,3,4,7,2,0,2,1,2,12,12.3,+12,.000
2023-11-17,202311170LAC,LAC,James Harden,https://www.basketball-reference.com/boxscores/202311170LAC.html,34.37,8,11,.727,2,4,.500,6,7,1,8,9,7,0,1,3,1,24,24.4,+21,.857
2023-11-17,202311170LAC,LAC,Terance Mann,https://www.basketball-reference.com/boxscores/202311170LAC.html,21.13,0,3,.000,0,2,.000,1,2,1,5,6,3,1,1,0,3,1,3.3,+15,.500
2023-11-17,202311170LAC,LAC,Norman Powell,https://www.basketball-reference.com/boxscores/202311170LAC.html,29.9,3,11,.273,2,5,.400,2,2,1,2,3,3,1,1,0,2,10,7.8,-6,1.000
2023-11-17,202311170LAC,LAC,Russell Westbrook,https://www.basketball-reference.com/boxscores/202311170LAC.html,17.38,2,9,.222,2,6,.333,2,4,0,3,3,2,0,0,2,1,8,1.6,-9,.500
2023-11-17,202311170LAC,LAC,P.J. Tucker,https://www.basketball-reference.com/boxscores/202311170LAC.html,14.93,0,0,,0,0,,0,0,0,0,0,0,0,0,0,3,0,-1.2,-24,
2023-11-17,202311170LAC,LAC,Daniel Theis,https://www.basketball-reference.com/boxscores/202311170LAC.html,10.45,1,3,.333,0,1,.000,0,2,0,3,3,0,1,0,0,2,2,0.6,-6,.000
