game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2023-11-30,202311300SAS,ATL,Trae Young,https://www.basketball-reference.com/boxscores/202311300SAS.html,39.95,15,29,.517,2,9,.222,13,16,.813,0,4,4,14,2,0,2,1,45,40.1,-1
2023-11-30,202311300SAS,ATL,Dejounte Murray,https://www.basketball-reference.com/boxscores/202311300SAS.html,34.77,10,21,.476,2,4,.500,2,2,1.000,0,3,3,2,5,0,0,1,24,20.2,-1
2023-11-30,202311300SAS,ATL,Saddiq Bey,https://www.basketball-reference.com/boxscores/202311300SAS.html,33.97,5,8,.625,3,4,.750,0,0,,2,2,4,0,3,0,1,3,13,12.2,0
2023-11-30,202311300SAS,ATL,Clint Capela,https://www.basketball-reference.com/boxscores/202311300SAS.html,22.9,6,9,.667,0,0,,0,0,,4,5,9,1,0,1,2,4,12,10.2,+8
2023-11-30,202311300SAS,ATL,De'Andre Hunter,https://www.basketball-reference.com/boxscores/202311300SAS.html,21.7,3,8,.375,2,4,.500,4,4,1.000,0,6,6,2,1,0,3,6,12,6.4,-5
2023-11-30,202311300SAS,ATL,Bogdan Bogdanović,https://www.basketball-reference.com/boxscores/202311300SAS.html,31.73,5,10,.500,2,4,.500,2,2,1.000,0,2,2,3,2,0,1,4,14,11.1,+12
2023-11-30,202311300SAS,ATL,Onyeka Okongwu,https://www.basketball-reference.com/boxscores/202311300SAS.html,28.07,3,6,.500,1,3,.333,4,5,.800,2,6,8,0,0,0,1,4,11,8.2,-4
2023-11-30,202311300SAS,ATL,Wesley Matthews,https://www.basketball-reference.com/boxscores/202311300SAS.html,14.68,1,1,1.000,1,1,1.000,0,0,,0,0,0,2,0,1,0,1,3,4.4,+1
2023-11-30,202311300SAS,ATL,Garrison Mathews,https://www.basketball-reference.com/boxscores/202311300SAS.html,12.23,1,4,.250,1,4,.250,0,0,,0,1,1,0,1,0,0,1,3,1.5,0
2023-11-30,202311300SAS,SAS,Jeremy Sochan,https://www.basketball-reference.com/boxscores/202311300SAS.html,35.8,12,14,.857,3,3,1.000,6,6,1.000,3,5,8,6,1,0,5,5,33,29.8,-4
2023-11-30,202311300SAS,SAS,Zach Collins,https://www.basketball-reference.com/boxscores/202311300SAS.html,33.68,3,5,.600,1,2,.500,4,4,1.000,0,2,2,7,0,0,3,3,11,10.0,0
2023-11-30,202311300SAS,SAS,Keldon Johnson,https://www.basketball-reference.com/boxscores/202311300SAS.html,32.53,8,15,.533,2,3,.667,4,5,.800,4,7,11,3,1,0,2,2,22,19.5,-1
2023-11-30,202311300SAS,SAS,Victor Wembanyama,https://www.basketball-reference.com/boxscores/202311300SAS.html,29.28,9,16,.563,1,5,.200,2,2,1.000,2,10,12,2,2,4,2,1,21,21.6,0
2023-11-30,202311300SAS,SAS,Malaki Branham,https://www.basketball-reference.com/boxscores/202311300SAS.html,17.43,1,5,.200,0,2,.000,0,0,,0,3,3,3,0,1,3,1,2,-0.8,+7
2023-11-30,202311300SAS,SAS,Devin Vassell,https://www.basketball-reference.com/boxscores/202311300SAS.html,27.03,8,14,.571,4,10,.400,5,5,1.000,0,4,4,4,0,0,2,1,25,20.0,-4
2023-11-30,202311300SAS,SAS,Tre Jones,https://www.basketball-reference.com/boxscores/202311300SAS.html,24.27,1,5,.200,1,3,.333,0,1,.000,0,2,2,7,0,0,2,1,3,2.6,-2
2023-11-30,202311300SAS,SAS,Julian Champagnie,https://www.basketball-reference.com/boxscores/202311300SAS.html,20.12,5,8,.625,5,8,.625,0,0,,1,2,3,0,0,0,1,2,15,10.9,-6
2023-11-30,202311300SAS,SAS,Cedi Osman,https://www.basketball-reference.com/boxscores/202311300SAS.html,15.45,1,7,.143,1,5,.200,0,0,,0,1,1,2,0,0,1,3,3,-2.0,-3
2023-11-30,202311300SAS,SAS,Charles Bassey,https://www.basketball-reference.com/boxscores/202311300SAS.html,4.4,0,0,,0,0,,0,0,,1,0,1,0,0,2,0,3,0,0.9,+3
