game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ft_pct
2023-12-02,202312020DET,CLE,Max Strus,https://www.basketball-reference.com/boxscores/202312020DET.html,37.7,9,16,.563,4,10,.400,0,0,0,5,5,5,1,0,1,4,22,17.8,+10,
2023-12-02,202312020DET,CLE,Evan Mobley,https://www.basketball-reference.com/boxscores/202312020DET.html,36.15,2,5,.400,0,0,,2,3,1,10,11,1,0,0,2,3,6,4.1,+1,.667
2023-12-02,202312020DET,CLE,Darius Garland,https://www.basketball-reference.com/boxscores/202312020DET.html,34.25,9,23,.391,2,7,.286,2,3,0,2,2,5,3,1,2,1,22,14.5,+13,.667
2023-12-02,202312020DET,CLE,Jarrett Allen,https://www.basketball-reference.com/boxscores/202312020DET.html,34.23,8,9,.889,0,0,,3,5,5,6,11,3,1,0,2,2,19,20.7,+4,.600
2023-12-02,202312020DET,CLE,Donovan Mitchell,https://www.basketball-reference.com/boxscores/202312020DET.html,32.9,7,19,.368,2,5,.400,4,5,1,2,3,4,2,0,4,2,20,10.4,-13,.800
2023-12-02,202312020DET,CLE,Isaac Okoro,https://www.basketball-reference.com/boxscores/202312020DET.html,33.02,4,7,.571,1,3,.333,0,0,0,6,6,4,4,0,0,3,9,13.1,+15,
2023-12-02,202312020DET,CLE,Georges Niang,https://www.basketball-reference.com/boxscores/202312020DET.html,22.47,5,8,.625,1,4,.250,1,2,0,3,3,2,0,0,0,1,12,9.9,+15,.500
2023-12-02,202312020DET,CLE,Craig Porter Jr.,https://www.basketball-reference.com/boxscores/202312020DET.html,4.22,0,0,,0,0,,0,0,0,0,0,0,0,0,0,1,0,-0.4,0,
2023-12-02,202312020DET,CLE,Sam Merrill,https://www.basketball-reference.com/boxscores/202312020DET.html,2.52,0,1,.000,0,1,.000,0,0,0,0,0,1,0,0,0,1,0,-0.4,0,
2023-12-02,202312020DET,CLE,Tristan Thompson,https://www.basketball-reference.com/boxscores/202312020DET.html,2.52,0,1,.000,0,0,,0,0,1,1,2,0,0,0,0,0,0,0.3,0,
2023-12-02,202312020DET,DET,Cade Cunningham,https://www.basketball-reference.com/boxscores/202312020DET.html,37.38,8,20,.400,3,6,.500,4,4,0,8,8,11,2,0,1,3,23,22.1,+13,1.000
2023-12-02,202312020DET,DET,Killian Hayes,https://www.basketball-reference.com/boxscores/202312020DET.html,32.78,6,11,.545,1,1,1.000,0,1,0,6,6,3,2,1,2,2,13,11.1,+7,.000
2023-12-02,202312020DET,DET,Isaiah Stewart,https://www.basketball-reference.com/boxscores/202312020DET.html,30.32,4,9,.444,1,5,.200,2,2,1,6,7,5,2,0,3,0,11,11.3,+6,1.000
2023-12-02,202312020DET,DET,Jalen Duren,https://www.basketball-reference.com/boxscores/202312020DET.html,29.8,8,8,1.000,0,0,,1,6,3,8,11,1,1,2,2,3,17,17.0,+6,.167
2023-12-02,202312020DET,DET,Jaden Ivey,https://www.basketball-reference.com/boxscores/202312020DET.html,29.05,2,7,.286,0,3,.000,3,4,0,2,2,1,0,0,1,3,7,1.6,0,.750
2023-12-02,202312020DET,DET,Bojan Bogdanović,https://www.basketball-reference.com/boxscores/202312020DET.html,27.45,7,15,.467,3,10,.300,5,6,1,1,2,2,1,0,1,1,22,15.9,-9,.833
2023-12-02,202312020DET,DET,Marcus Sasser,https://www.basketball-reference.com/boxscores/202312020DET.html,16.13,2,5,.400,0,2,.000,0,0,0,2,2,1,0,0,2,1,4,0.2,-21,
2023-12-02,202312020DET,DET,Ausar Thompson,https://www.basketball-reference.com/boxscores/202312020DET.html,16.03,2,6,.333,0,2,.000,0,0,4,4,8,0,0,0,2,5,4,0.6,-14,
2023-12-02,202312020DET,DET,Isaiah Livers,https://www.basketball-reference.com/boxscores/202312020DET.html,14.12,0,1,.000,0,1,.000,0,0,0,0,0,0,0,0,2,1,0,-3.1,-22,
2023-12-02,202312020DET,DET,Marvin Bagley III,https://www.basketball-reference.com/boxscores/202312020DET.html,6.92,0,1,.000,0,0,,0,0,1,2,3,0,1,0,0,1,0,1.2,-11,
