game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2023-12-30,202312300MIN,LAL,Anthony Davis,https://www.basketball-reference.com/boxscores/202312300MIN.html,39.15,12,17,.706,1,2,.500,8,10,.800,4,13,17,8,4,2,2,3,33,39.6,-6
2023-12-30,202312300MIN,LAL,LeBron James,https://www.basketball-reference.com/boxscores/202312300MIN.html,38.77,10,21,.476,1,4,.250,5,7,.714,0,3,3,6,3,1,1,2,26,21.5,-5
2023-12-30,202312300MIN,LAL,Taurean Prince,https://www.basketball-reference.com/boxscores/202312300MIN.html,33.2,3,9,.333,3,6,.500,0,0,,0,2,2,1,3,0,3,1,9,4.8,+15
2023-12-30,202312300MIN,LAL,Jarred Vanderbilt,https://www.basketball-reference.com/boxscores/202312300MIN.html,26.72,3,7,.429,0,2,.000,2,2,1.000,1,4,5,1,2,0,0,5,8,6.9,+10
2023-12-30,202312300MIN,LAL,Cam Reddish,https://www.basketball-reference.com/boxscores/202312300MIN.html,22.45,2,7,.286,0,1,.000,0,0,,1,2,3,4,0,0,0,0,4,4.0,+1
2023-12-30,202312300MIN,LAL,Austin Reaves,https://www.basketball-reference.com/boxscores/202312300MIN.html,29.08,2,11,.182,0,5,.000,5,6,.833,1,1,2,0,0,0,1,2,9,0.9,+2
2023-12-30,202312300MIN,LAL,D'Angelo Russell,https://www.basketball-reference.com/boxscores/202312300MIN.html,20.27,1,4,.250,0,1,.000,3,4,.750,0,1,1,3,0,0,1,1,5,3.2,-19
2023-12-30,202312300MIN,LAL,Rui Hachimura,https://www.basketball-reference.com/boxscores/202312300MIN.html,17.05,2,8,.250,0,1,.000,1,1,1.000,1,0,1,0,0,0,0,0,5,0.9,-11
2023-12-30,202312300MIN,LAL,Christian Wood,https://www.basketball-reference.com/boxscores/202312300MIN.html,13.32,2,4,.500,2,2,1.000,1,2,.500,0,5,5,0,0,1,2,1,7,4.4,+3
2023-12-30,202312300MIN,MIN,Anthony Edwards,https://www.basketball-reference.com/boxscores/202312300MIN.html,38.15,10,23,.435,2,8,.250,9,11,.818,0,3,3,3,0,3,3,3,31,19.0,+8
2023-12-30,202312300MIN,MIN,Rudy Gobert,https://www.basketball-reference.com/boxscores/202312300MIN.html,37.68,6,7,.857,0,0,,1,1,1.000,4,9,13,0,2,1,4,3,13,13.5,+19
2023-12-30,202312300MIN,MIN,Mike Conley,https://www.basketball-reference.com/boxscores/202312300MIN.html,33.1,4,11,.364,4,9,.444,3,4,.750,1,3,4,7,1,0,1,2,15,14.2,+3
2023-12-30,202312300MIN,MIN,Karl-Anthony Towns,https://www.basketball-reference.com/boxscores/202312300MIN.html,28.85,3,7,.429,1,4,.250,2,2,1.000,2,7,9,2,0,0,5,5,9,3.2,-23
2023-12-30,202312300MIN,MIN,Jaden McDaniels,https://www.basketball-reference.com/boxscores/202312300MIN.html,26.03,2,6,.333,0,1,.000,2,2,1.000,0,3,3,2,1,1,1,6,6,3.2,-3
2023-12-30,202312300MIN,MIN,Naz Reid,https://www.basketball-reference.com/boxscores/202312300MIN.html,27.25,8,11,.727,2,5,.400,3,4,.750,0,5,5,1,2,2,2,3,21,18.5,+13
2023-12-30,202312300MIN,MIN,Kyle Anderson,https://www.basketball-reference.com/boxscores/202312300MIN.html,24.47,2,4,.500,0,1,.000,0,0,,0,3,3,7,0,1,1,0,4,7.5,-8
2023-12-30,202312300MIN,MIN,Nickeil Alexander-Walker,https://www.basketball-reference.com/boxscores/202312300MIN.html,16.08,2,4,.500,2,4,.500,0,0,,0,2,2,2,1,0,2,4,6,3.4,-1
2023-12-30,202312300MIN,MIN,Troy Brown Jr.,https://www.basketball-reference.com/boxscores/202312300MIN.html,8.38,1,3,.333,1,2,.500,0,0,,0,3,3,0,1,0,0,0,3,3.2,+2
