game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2024-01-13,202401130UTA,LAL,D'Angelo Russell,https://www.basketball-reference.com/boxscores/202401130UTA.html,40.78,15,26,.577,6,11,.545,3,3,1.000,0,3,3,8,1,2,3,3,39,31.5,-2
2024-01-13,202401130UTA,LAL,Anthony Davis,https://www.basketball-reference.com/boxscores/202401130UTA.html,39.27,5,21,.238,0,1,.000,5,6,.833,2,13,15,11,1,4,6,1,15,12.3,-12
2024-01-13,202401130UTA,LAL,Austin Reaves,https://www.basketball-reference.com/boxscores/202401130UTA.html,30.9,7,8,.875,1,2,.500,4,6,.667,1,3,4,2,0,0,1,6,19,15.0,-21
2024-01-13,202401130UTA,LAL,Taurean Prince,https://www.basketball-reference.com/boxscores/202401130UTA.html,30.17,5,8,.625,2,4,.500,0,0,,0,1,1,1,0,1,0,3,12,8.9,-19
2024-01-13,202401130UTA,LAL,Cam Reddish,https://www.basketball-reference.com/boxscores/202401130UTA.html,11.27,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+3
2024-01-13,202401130UTA,LAL,Jarred Vanderbilt,https://www.basketball-reference.com/boxscores/202401130UTA.html,22.92,2,2,1.000,1,1,1.000,0,0,,2,1,3,1,1,0,2,4,5,4.2,+4
2024-01-13,202401130UTA,LAL,Christian Wood,https://www.basketball-reference.com/boxscores/202401130UTA.html,22.43,5,10,.500,2,6,.333,3,3,1.000,1,8,9,1,0,1,0,1,15,14.1,-4
2024-01-13,202401130UTA,LAL,Rui Hachimura,https://www.basketball-reference.com/boxscores/202401130UTA.html,18.7,6,12,.500,0,2,.000,5,6,.833,1,2,3,1,1,0,0,0,17,13.6,+12
2024-01-13,202401130UTA,LAL,Max Christie,https://www.basketball-reference.com/boxscores/202401130UTA.html,13.95,1,2,.500,1,1,1.000,0,0,,0,0,0,3,1,0,0,3,3,3.9,+9
2024-01-13,202401130UTA,LAL,Skylar Mays,https://www.basketball-reference.com/boxscores/202401130UTA.html,9.62,0,2,.000,0,0,,0,0,,0,1,1,2,1,0,0,2,0,0.5,-5
2024-01-13,202401130UTA,UTA,John Collins,https://www.basketball-reference.com/boxscores/202401130UTA.html,34.17,7,9,.778,3,4,.750,2,2,1.000,2,11,13,2,3,1,1,5,19,22.3,+18
2024-01-13,202401130UTA,UTA,Lauri Markkanen,https://www.basketball-reference.com/boxscores/202401130UTA.html,33.25,8,16,.500,3,6,.500,10,11,.909,2,7,9,5,2,1,0,0,29,30.3,+16
2024-01-13,202401130UTA,UTA,Collin Sexton,https://www.basketball-reference.com/boxscores/202401130UTA.html,27.72,8,13,.615,1,4,.250,10,10,1.000,1,3,4,5,0,0,1,5,27,23.2,+18
2024-01-13,202401130UTA,UTA,Simone Fontecchio,https://www.basketball-reference.com/boxscores/202401130UTA.html,23.57,0,5,.000,0,3,.000,0,0,,2,2,4,4,0,0,1,3,0,-0.9,+16
2024-01-13,202401130UTA,UTA,Kris Dunn,https://www.basketball-reference.com/boxscores/202401130UTA.html,16.73,3,4,.750,1,2,.500,0,0,,0,0,0,3,1,0,2,2,7,5.7,+6
2024-01-13,202401130UTA,UTA,Jordan Clarkson,https://www.basketball-reference.com/boxscores/202401130UTA.html,31.45,6,18,.333,1,6,.167,8,8,1.000,2,2,4,4,0,1,2,2,21,13.5,-2
2024-01-13,202401130UTA,UTA,Keyonte George,https://www.basketball-reference.com/boxscores/202401130UTA.html,26.52,5,11,.455,3,9,.333,6,6,1.000,0,3,3,3,1,0,1,0,19,16.3,-6
2024-01-13,202401130UTA,UTA,Ochai Agbaji,https://www.basketball-reference.com/boxscores/202401130UTA.html,18.1,1,5,.200,0,2,.000,0,0,,1,3,4,0,0,1,0,0,2,1.2,-9
2024-01-13,202401130UTA,UTA,Kelly Olynyk,https://www.basketball-reference.com/boxscores/202401130UTA.html,14.97,2,8,.250,0,1,.000,0,0,,1,4,5,2,0,0,2,1,4,0.1,-10
2024-01-13,202401130UTA,UTA,Walker Kessler,https://www.basketball-reference.com/boxscores/202401130UTA.html,13.53,2,4,.500,0,0,,0,2,.000,2,4,6,0,0,1,0,2,4,3.7,-12
