game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2024-02-02,202402020OKC,CHO,Miles Bridges,https://www.basketball-reference.com/boxscores/202402020OKC.html,32.07,3,16,.188,1,3,.333,2,2,1.000,0,5,5,4,0,0,2,2,9,0.5,-36
2024-02-02,202402020OKC,CHO,Brandon Miller,https://www.basketball-reference.com/boxscores/202402020OKC.html,31.68,11,19,.579,5,8,.625,1,1,1.000,1,3,4,4,3,2,2,4,28,24.3,-17
2024-02-02,202402020OKC,CHO,Nick Richards,https://www.basketball-reference.com/boxscores/202402020OKC.html,30.92,3,5,.600,0,0,,2,4,.500,3,8,11,1,0,1,0,1,8,10.4,-12
2024-02-02,202402020OKC,CHO,Bryce McGowens,https://www.basketball-reference.com/boxscores/202402020OKC.html,24.9,6,10,.600,0,3,.000,3,4,.750,1,2,3,3,4,1,2,5,15,14.1,-7
2024-02-02,202402020OKC,CHO,Cody Martin,https://www.basketball-reference.com/boxscores/202402020OKC.html,21.05,3,5,.600,1,3,.333,0,0,,0,1,1,4,0,0,1,0,7,6.8,-19
2024-02-02,202402020OKC,CHO,P.J. Washington,https://www.basketball-reference.com/boxscores/202402020OKC.html,26.42,2,9,.222,0,3,.000,1,2,.500,1,5,6,1,2,0,5,3,5,-2.2,-19
2024-02-02,202402020OKC,CHO,Nick Smith Jr.,https://www.basketball-reference.com/boxscores/202402020OKC.html,21.02,4,10,.400,3,4,.750,1,1,1.000,0,0,0,0,1,0,0,4,12,6.0,+3
2024-02-02,202402020OKC,CHO,Leaky Black,https://www.basketball-reference.com/boxscores/202402020OKC.html,17.68,4,7,.571,3,3,1.000,0,0,,0,1,1,2,0,0,0,0,11,9.4,-5
2024-02-02,202402020OKC,CHO,Ish Smith,https://www.basketball-reference.com/boxscores/202402020OKC.html,15.65,1,4,.250,0,0,,0,0,,0,1,1,3,1,0,1,1,2,1.6,-18
2024-02-02,202402020OKC,CHO,James Bouknight,https://www.basketball-reference.com/boxscores/202402020OKC.html,6.2,2,4,.500,1,3,.333,0,0,,0,0,0,0,1,0,1,0,5,3.0,+10
2024-02-02,202402020OKC,CHO,JT Thor,https://www.basketball-reference.com/boxscores/202402020OKC.html,6.2,2,3,.667,0,1,.000,0,0,,0,2,2,0,0,0,0,1,4,2.9,+10
2024-02-02,202402020OKC,CHO,Nathan Mensah,https://www.basketball-reference.com/boxscores/202402020OKC.html,6.2,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.7,+10
2024-02-02,202402020OKC,OKC,Shai Gilgeous-Alexander,https://www.basketball-reference.com/boxscores/202402020OKC.html,29.88,11,15,.733,1,1,1.000,8,10,.800,0,3,3,9,5,3,3,2,31,34.6,+34
2024-02-02,202402020OKC,OKC,Cason Wallace,https://www.basketball-reference.com/boxscores/202402020OKC.html,24.8,5,7,.714,2,4,.500,0,0,,0,2,2,1,1,0,1,1,12,10.0,+22
2024-02-02,202402020OKC,OKC,Chet Holmgren,https://www.basketball-reference.com/boxscores/202402020OKC.html,23.33,5,9,.556,3,6,.500,3,4,.750,0,6,6,3,1,2,1,1,16,16.2,+13
2024-02-02,202402020OKC,OKC,Luguentz Dort,https://www.basketball-reference.com/boxscores/202402020OKC.html,19.1,3,4,.750,2,3,.667,0,0,,1,1,2,1,0,1,0,3,8,7.6,+16
2024-02-02,202402020OKC,OKC,Josh Giddey,https://www.basketball-reference.com/boxscores/202402020OKC.html,19.1,3,8,.375,0,2,.000,2,2,1.000,0,6,6,4,1,1,2,0,8,7.9,+16
2024-02-02,202402020OKC,OKC,Ousmane Dieng,https://www.basketball-reference.com/boxscores/202402020OKC.html,19.97,4,5,.800,1,1,1.000,2,2,1.000,0,2,2,4,0,0,1,2,11,10.7,-1
2024-02-02,202402020OKC,OKC,Aaron Wiggins,https://www.basketball-reference.com/boxscores/202402020OKC.html,19.3,3,6,.500,2,5,.400,2,3,.667,0,2,2,4,1,0,1,1,10,9.6,+17
2024-02-02,202402020OKC,OKC,Jaylin Williams,https://www.basketball-reference.com/boxscores/202402020OKC.html,18.25,2,4,.500,1,3,.333,2,2,1.000,1,7,8,0,0,1,0,1,7,8.1,+29
2024-02-02,202402020OKC,OKC,Lindy Waters III,https://www.basketball-reference.com/boxscores/202402020OKC.html,17.58,2,5,.400,2,5,.400,0,0,,0,5,5,1,0,0,2,1,6,3.1,-16
2024-02-02,202402020OKC,OKC,Vasilije Micić,https://www.basketball-reference.com/boxscores/202402020OKC.html,14.07,1,2,.500,0,1,.000,0,0,,0,0,0,4,0,0,3,0,2,0.8,+5
2024-02-02,202402020OKC,OKC,Kenrich Williams,https://www.basketball-reference.com/boxscores/202402020OKC.html,10.4,3,5,.600,2,3,.667,0,0,,0,3,3,0,0,1,0,2,8,6.5,-4
2024-02-02,202402020OKC,OKC,Keyontae Johnson,https://www.basketball-reference.com/boxscores/202402020OKC.html,9.6,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-2.1,-13
2024-02-02,202402020OKC,OKC,Olivier Sarr,https://www.basketball-reference.com/boxscores/202402020OKC.html,7.62,1,2,.500,0,1,.000,1,2,.500,1,3,4,0,0,1,1,2,3,2.1,-10
2024-02-02,202402020OKC,OKC,Aleksej Pokusevski,https://www.basketball-reference.com/boxscores/202402020OKC.html,7.0,1,2,.500,1,1,1.000,1,2,.500,0,1,1,0,1,0,0,0,4,3.9,-8
