game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2024-03-27,202403270CHI,IND,Andrew Nembhard,https://www.basketball-reference.com/boxscores/202403270CHI.html,33.82,7,12,.583,3,5,.600,1,2,.500,1,4,5,2,2,0,1,3,18,15.1,-15
2024-03-27,202403270CHI,IND,Tyrese Haliburton,https://www.basketball-reference.com/boxscores/202403270CHI.html,31.07,4,15,.267,3,11,.273,2,3,.667,2,2,4,5,0,0,2,2,13,6.4,-7
2024-03-27,202403270CHI,IND,Pascal Siakam,https://www.basketball-reference.com/boxscores/202403270CHI.html,30.27,2,7,.286,1,1,1.000,9,11,.818,2,6,8,5,0,0,1,3,14,13.6,-5
2024-03-27,202403270CHI,IND,Aaron Nesmith,https://www.basketball-reference.com/boxscores/202403270CHI.html,27.48,2,11,.182,2,9,.222,0,0,,0,5,5,3,0,0,1,4,6,0.1,-7
2024-03-27,202403270CHI,IND,Myles Turner,https://www.basketball-reference.com/boxscores/202403270CHI.html,24.7,4,10,.400,2,5,.400,2,2,1.000,1,3,4,0,0,1,1,0,12,7.9,+1
2024-03-27,202403270CHI,IND,T.J. McConnell,https://www.basketball-reference.com/boxscores/202403270CHI.html,17.93,5,9,.556,0,1,.000,2,2,1.000,0,1,1,4,0,0,1,1,12,9.4,-18
2024-03-27,202403270CHI,IND,Jalen Smith,https://www.basketball-reference.com/boxscores/202403270CHI.html,12.18,2,5,.400,1,3,.333,0,0,,2,2,4,0,0,0,1,4,5,1.7,-20
2024-03-27,202403270CHI,IND,Ben Sheppard,https://www.basketball-reference.com/boxscores/202403270CHI.html,11.2,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-13
2024-03-27,202403270CHI,IND,Obi Toppin,https://www.basketball-reference.com/boxscores/202403270CHI.html,11.1,2,2,1.000,0,0,,1,1,1.000,0,1,1,2,1,1,1,1,5,6.4,-15
2024-03-27,202403270CHI,IND,Jarace Walker,https://www.basketball-reference.com/boxscores/202403270CHI.html,10.77,0,2,.000,0,1,.000,0,0,,0,1,1,2,0,0,2,0,0,-1.7,-10
2024-03-27,202403270CHI,IND,Doug McDermott,https://www.basketball-reference.com/boxscores/202403270CHI.html,10.42,1,3,.333,1,3,.333,0,0,,0,0,0,1,0,0,0,1,3,1.6,-10
2024-03-27,202403270CHI,IND,Isaiah Jackson,https://www.basketball-reference.com/boxscores/202403270CHI.html,8.17,3,3,1.000,0,0,,0,0,,3,3,6,0,0,2,1,2,6,7.7,-5
2024-03-27,202403270CHI,IND,Kendall Brown,https://www.basketball-reference.com/boxscores/202403270CHI.html,5.45,1,1,1.000,0,0,,1,2,.500,1,0,1,0,0,0,0,1,3,2.6,-3
2024-03-27,202403270CHI,IND,James Johnson,https://www.basketball-reference.com/boxscores/202403270CHI.html,5.45,1,3,.333,0,1,.000,0,0,,0,0,0,1,0,0,1,0,2,0.0,-3
2024-03-27,202403270CHI,CHI,DeMar DeRozan,https://www.basketball-reference.com/boxscores/202403270CHI.html,37.68,9,18,.500,1,4,.250,8,10,.800,1,5,6,2,1,0,0,3,27,20.6,+19
2024-03-27,202403270CHI,CHI,Coby White,https://www.basketball-reference.com/boxscores/202403270CHI.html,35.12,8,21,.381,2,5,.400,0,0,,3,4,7,2,1,0,0,1,18,11.8,0
2024-03-27,202403270CHI,CHI,Ayo Dosunmu,https://www.basketball-reference.com/boxscores/202403270CHI.html,33.95,7,11,.636,3,5,.600,0,0,,0,3,3,4,0,2,2,3,17,14.0,+14
2024-03-27,202403270CHI,CHI,Alex Caruso,https://www.basketball-reference.com/boxscores/202403270CHI.html,28.98,5,10,.500,2,5,.400,0,0,,2,5,7,7,2,0,0,1,12,16.4,+23
2024-03-27,202403270CHI,CHI,Nikola Vučević,https://www.basketball-reference.com/boxscores/202403270CHI.html,28.55,9,20,.450,1,4,.250,3,3,1.000,3,9,12,2,0,1,0,1,22,18.1,+2
2024-03-27,202403270CHI,CHI,Javonte Green,https://www.basketball-reference.com/boxscores/202403270CHI.html,19.32,2,3,.667,1,1,1.000,0,0,,0,4,4,1,0,1,2,2,5,3.5,+26
2024-03-27,202403270CHI,CHI,Andre Drummond,https://www.basketball-reference.com/boxscores/202403270CHI.html,17.5,5,8,.625,0,0,,4,5,.800,4,7,11,3,3,0,1,2,14,18.2,+23
2024-03-27,202403270CHI,CHI,Torrey Craig,https://www.basketball-reference.com/boxscores/202403270CHI.html,16.95,3,5,.600,1,2,.500,0,0,,0,2,2,1,0,0,0,3,7,4.8,+7
2024-03-27,202403270CHI,CHI,Dalen Terry,https://www.basketball-reference.com/boxscores/202403270CHI.html,13.42,0,1,.000,0,0,,0,0,,0,2,2,4,0,1,2,2,0,0.6,+12
2024-03-27,202403270CHI,CHI,Jevon Carter,https://www.basketball-reference.com/boxscores/202403270CHI.html,4.63,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
2024-03-27,202403270CHI,CHI,Onuralp Bitim,https://www.basketball-reference.com/boxscores/202403270CHI.html,1.95,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,3,3.4,+1
2024-03-27,202403270CHI,CHI,Terry Taylor,https://www.basketball-reference.com/boxscores/202403270CHI.html,1.95,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,+1
