game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ft_pct
2024-05-03,202405030ORL,CLE,Darius Garland,https://www.basketball-reference.com/boxscores/202405030ORL.html,43.32,10,17,.588,1,4,.250,0,0,0,7,7,5,2,0,3,2,21,16.9,-4,
2024-05-03,202405030ORL,CLE,Donovan Mitchell,https://www.basketball-reference.com/boxscores/202405030ORL.html,41.57,22,36,.611,3,9,.333,3,6,1,3,4,4,0,1,4,4,50,31.9,-3,.500
2024-05-03,202405030ORL,CLE,Max Strus,https://www.basketball-reference.com/boxscores/202405030ORL.html,38.73,4,7,.571,2,5,.400,0,0,0,8,8,1,1,0,2,1,10,8.4,-7,
2024-05-03,202405030ORL,CLE,Evan Mobley,https://www.basketball-reference.com/boxscores/202405030ORL.html,34.35,1,5,.200,0,0,,1,2,3,3,6,0,1,5,0,5,3,5.0,-5,.500
2024-05-03,202405030ORL,CLE,Marcus Morris,https://www.basketball-reference.com/boxscores/202405030ORL.html,26.8,1,7,.143,0,4,.000,0,0,1,7,8,2,0,0,1,3,2,-0.5,-7,
2024-05-03,202405030ORL,CLE,Isaac Okoro,https://www.basketball-reference.com/boxscores/202405030ORL.html,24.35,2,5,.400,0,2,.000,0,0,0,1,1,1,0,2,0,3,4,2.5,-1,
2024-05-03,202405030ORL,CLE,Tristan Thompson,https://www.basketball-reference.com/boxscores/202405030ORL.html,12.12,1,3,.333,0,0,,0,0,2,0,2,0,0,1,0,0,2,2.4,-1,
2024-05-03,202405030ORL,CLE,Georges Niang,https://www.basketball-reference.com/boxscores/202405030ORL.html,11.4,1,5,.200,1,4,.250,0,0,0,0,0,1,2,0,1,4,3,0.0,-6,
2024-05-03,202405030ORL,CLE,Caris LeVert,https://www.basketball-reference.com/boxscores/202405030ORL.html,7.37,0,1,.000,0,0,,1,2,0,2,2,1,2,1,2,1,1,1.5,-1,.500
2024-05-03,202405030ORL,ORL,Paolo Banchero,https://www.basketball-reference.com/boxscores/202405030ORL.html,41.83,9,20,.450,2,5,.400,7,10,1,7,8,4,1,0,3,0,27,19.0,+3,.700
2024-05-03,202405030ORL,ORL,Franz Wagner,https://www.basketball-reference.com/boxscores/202405030ORL.html,41.58,7,16,.438,1,5,.200,11,11,1,4,5,2,1,2,1,2,26,21.5,+1,1.000
2024-05-03,202405030ORL,ORL,Wendell Carter Jr.,https://www.basketball-reference.com/boxscores/202405030ORL.html,35.52,4,11,.364,1,7,.143,2,2,1,8,9,2,1,1,0,4,11,9.5,+8,1.000
2024-05-03,202405030ORL,ORL,Jalen Suggs,https://www.basketball-reference.com/boxscores/202405030ORL.html,35.37,7,16,.438,6,13,.462,2,3,2,4,6,4,1,0,4,3,22,14.4,+2,.667
2024-05-03,202405030ORL,ORL,Jonathan Isaac,https://www.basketball-reference.com/boxscores/202405030ORL.html,23.17,0,5,.000,0,2,.000,0,0,2,7,9,0,0,1,1,1,0,-0.7,-3,
2024-05-03,202405030ORL,ORL,Markelle Fultz,https://www.basketball-reference.com/boxscores/202405030ORL.html,22.92,3,6,.500,0,0,,0,0,2,0,2,4,0,0,2,1,6,4.8,+13,
2024-05-03,202405030ORL,ORL,Cole Anthony,https://www.basketball-reference.com/boxscores/202405030ORL.html,18.9,4,10,.400,1,3,.333,0,0,1,2,3,1,1,0,0,3,9,5.4,+6,
2024-05-03,202405030ORL,ORL,Moritz Wagner,https://www.basketball-reference.com/boxscores/202405030ORL.html,12.33,1,5,.200,0,1,.000,0,0,5,1,6,0,1,0,2,1,2,1.3,+1,
2024-05-03,202405030ORL,ORL,Joe Ingles,https://www.basketball-reference.com/boxscores/202405030ORL.html,8.38,0,0,,0,0,,0,0,0,0,0,2,0,0,0,0,0,1.4,+4,
