game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2024-10-23,202410230ATL,BRK,Dennis Schröder,https://www.basketball-reference.com/boxscores/202410230ATL.html,34.33,5,16,.313,2,6,.333,1,2,.500,0,3,3,7,1,0,5,4,13,3.6,-4
2024-10-23,202410230ATL,BRK,Cam Thomas,https://www.basketball-reference.com/boxscores/202410230ATL.html,33.72,14,27,.519,7,13,.538,1,1,1.000,2,3,5,3,3,0,2,4,36,26.5,-8
2024-10-23,202410230ATL,BRK,Cameron Johnson,https://www.basketball-reference.com/boxscores/202410230ATL.html,32.02,4,10,.400,1,6,.167,5,6,.833,0,4,4,0,1,1,0,3,14,9.9,-10
2024-10-23,202410230ATL,BRK,Dorian Finney-Smith,https://www.basketball-reference.com/boxscores/202410230ATL.html,29.55,3,10,.300,2,7,.286,0,0,,3,5,8,1,1,2,1,5,8,5.9,-4
2024-10-23,202410230ATL,BRK,Ben Simmons,https://www.basketball-reference.com/boxscores/202410230ATL.html,24.2,3,4,.750,0,0,,0,0,,2,3,5,8,0,1,6,5,6,5.0,-8
2024-10-23,202410230ATL,BRK,Jalen Wilson,https://www.basketball-reference.com/boxscores/202410230ATL.html,33.97,3,7,.429,2,5,.400,8,8,1.000,1,3,4,1,0,0,1,5,16,11.6,+4
2024-10-23,202410230ATL,BRK,Ziaire Williams,https://www.basketball-reference.com/boxscores/202410230ATL.html,15.85,3,6,.500,2,3,.667,1,2,.500,1,2,3,1,0,0,1,2,9,5.8,+5
2024-10-23,202410230ATL,BRK,Nic Claxton,https://www.basketball-reference.com/boxscores/202410230ATL.html,15.42,3,4,.750,0,0,,1,4,.250,0,5,5,0,1,1,0,3,7,6.2,+7
2024-10-23,202410230ATL,BRK,Noah Clowney,https://www.basketball-reference.com/boxscores/202410230ATL.html,14.6,2,6,.333,1,3,.333,2,2,1.000,3,3,6,0,1,1,1,1,7,6.9,-10
2024-10-23,202410230ATL,BRK,Shake Milton,https://www.basketball-reference.com/boxscores/202410230ATL.html,6.33,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+8
2024-10-23,202410230ATL,ATL,Jalen Johnson,https://www.basketball-reference.com/boxscores/202410230ATL.html,36.85,4,9,.444,0,3,.000,3,8,.375,1,9,10,4,3,1,6,3,11,7.0,-3
2024-10-23,202410230ATL,ATL,Trae Young,https://www.basketball-reference.com/boxscores/202410230ATL.html,36.67,7,16,.438,2,6,.333,14,16,.875,1,4,5,12,1,1,3,1,30,29.4,+12
2024-10-23,202410230ATL,ATL,Dyson Daniels,https://www.basketball-reference.com/boxscores/202410230ATL.html,34.53,6,12,.500,2,4,.500,1,4,.250,3,2,5,2,5,1,1,4,15,15.0,+7
2024-10-23,202410230ATL,ATL,De'Andre Hunter,https://www.basketball-reference.com/boxscores/202410230ATL.html,25.78,3,10,.300,2,4,.500,4,5,.800,1,5,6,1,2,0,0,5,12,8.7,+10
2024-10-23,202410230ATL,ATL,Clint Capela,https://www.basketball-reference.com/boxscores/202410230ATL.html,19.52,3,5,.600,0,0,,0,0,,1,6,7,1,1,1,1,0,6,7.6,0
2024-10-23,202410230ATL,ATL,Onyeka Okongwu,https://www.basketball-reference.com/boxscores/202410230ATL.html,28.48,11,12,.917,0,0,,6,6,1.000,4,4,8,1,0,3,2,1,28,28.4,+4
2024-10-23,202410230ATL,ATL,Bogdan Bogdanović,https://www.basketball-reference.com/boxscores/202410230ATL.html,27.83,2,6,.333,2,6,.333,2,2,1.000,0,2,2,2,0,2,2,3,8,4.8,-3
2024-10-23,202410230ATL,ATL,Zaccharie Risacher,https://www.basketball-reference.com/boxscores/202410230ATL.html,19.0,2,8,.250,1,4,.250,2,4,.500,1,0,1,0,0,0,1,2,7,0.3,+1
2024-10-23,202410230ATL,ATL,Vit Krejci,https://www.basketball-reference.com/boxscores/202410230ATL.html,11.32,1,2,.500,0,1,.000,1,1,1.000,0,1,1,2,0,0,0,1,3,3.3,-8
