game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2025-03-06,202503060BRK,GSW,Stephen Curry,https://www.basketball-reference.com/boxscores/202503060BRK.html,35.6,12,20,.600,7,13,.538,9,9,1.000,2,2,4,4,0,0,5,3,40,29.4,-16
2025-03-06,202503060BRK,GSW,Jimmy Butler,https://www.basketball-reference.com/boxscores/202503060BRK.html,35.1,7,13,.538,1,1,1.000,10,10,1.000,1,1,2,6,3,0,1,0,25,25.9,+17
2025-03-06,202503060BRK,GSW,Draymond Green,https://www.basketball-reference.com/boxscores/202503060BRK.html,33.67,2,5,.400,0,0,,3,3,1.000,2,5,7,10,0,0,3,5,7,9.2,-7
2025-03-06,202503060BRK,GSW,Moses Moody,https://www.basketball-reference.com/boxscores/202503060BRK.html,28.68,4,7,.571,2,5,.400,0,0,,0,5,5,2,0,0,1,1,10,8.2,+4
2025-03-06,202503060BRK,GSW,Brandin Podziemski,https://www.basketball-reference.com/boxscores/202503060BRK.html,0.73,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
2025-03-06,202503060BRK,GSW,Gui Santos,https://www.basketball-reference.com/boxscores/202503060BRK.html,24.03,2,4,.500,0,1,.000,2,2,1.000,1,2,3,3,0,1,1,4,6,5.5,+12
2025-03-06,202503060BRK,GSW,Buddy Hield,https://www.basketball-reference.com/boxscores/202503060BRK.html,22.87,0,8,.000,0,5,.000,0,0,,0,1,1,1,0,0,2,0,0,-6.6,-11
2025-03-06,202503060BRK,GSW,Quinten Post,https://www.basketball-reference.com/boxscores/202503060BRK.html,21.13,4,8,.500,2,4,.500,0,2,.000,3,4,7,2,0,2,0,0,10,11.3,+13
2025-03-06,202503060BRK,GSW,Gary Payton II,https://www.basketball-reference.com/boxscores/202503060BRK.html,20.63,7,12,.583,0,2,.000,2,2,1.000,3,6,9,1,0,0,2,3,16,11.8,-15
2025-03-06,202503060BRK,GSW,Kevon Looney,https://www.basketball-reference.com/boxscores/202503060BRK.html,11.58,1,4,.250,0,1,.000,3,4,.750,2,3,5,1,0,1,0,3,5,4.7,+5
2025-03-06,202503060BRK,GSW,Pat Spencer,https://www.basketball-reference.com/boxscores/202503060BRK.html,5.92,1,1,1.000,0,0,,0,0,,1,1,2,1,0,0,1,0,2,2.4,+9
2025-03-06,202503060BRK,BRK,Cameron Johnson,https://www.basketball-reference.com/boxscores/202503060BRK.html,34.33,9,16,.563,3,7,.429,5,6,.833,2,4,6,4,1,0,1,4,26,21.8,+11
2025-03-06,202503060BRK,BRK,Nic Claxton,https://www.basketball-reference.com/boxscores/202503060BRK.html,30.5,4,7,.571,0,0,,0,0,,2,7,9,10,2,2,2,5,8,14.6,+18
2025-03-06,202503060BRK,BRK,Cam Thomas,https://www.basketball-reference.com/boxscores/202503060BRK.html,26.5,8,18,.444,2,6,.333,5,6,.833,0,3,3,7,0,0,1,3,23,16.8,-9
2025-03-06,202503060BRK,BRK,Keon Johnson,https://www.basketball-reference.com/boxscores/202503060BRK.html,24.18,5,7,.714,2,3,.667,0,0,,0,1,1,2,1,0,1,5,12,8.8,+16
2025-03-06,202503060BRK,BRK,D'Angelo Russell,https://www.basketball-reference.com/boxscores/202503060BRK.html,24.17,3,7,.429,1,3,.333,0,0,,0,0,0,4,1,1,3,2,7,4.0,-8
2025-03-06,202503060BRK,BRK,Ziaire Williams,https://www.basketball-reference.com/boxscores/202503060BRK.html,24.55,4,8,.500,2,5,.400,0,0,,1,0,1,1,0,0,0,1,10,7.0,-19
2025-03-06,202503060BRK,BRK,Tyrese Martin,https://www.basketball-reference.com/boxscores/202503060BRK.html,24.03,7,12,.583,3,6,.500,0,0,,0,2,2,1,0,0,0,1,17,12.3,+5
2025-03-06,202503060BRK,BRK,Day'Ron Sharpe,https://www.basketball-reference.com/boxscores/202503060BRK.html,17.5,1,4,.250,0,0,,0,0,,1,4,5,0,1,2,1,2,2,2.1,-20
2025-03-06,202503060BRK,BRK,Jalen Wilson,https://www.basketball-reference.com/boxscores/202503060BRK.html,17.45,1,3,.333,1,2,.500,6,6,1.000,0,3,3,0,0,0,0,0,9,8.2,+14
2025-03-06,202503060BRK,BRK,Trendon Watford,https://www.basketball-reference.com/boxscores/202503060BRK.html,16.75,2,5,.400,1,1,1.000,0,0,,2,0,2,1,1,0,2,1,5,3.0,-18
