game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2025-03-30,202503300MIL,ATL,Trae Young,https://www.basketball-reference.com/boxscores/202503300MIL.html,37.13,4,16,.250,2,9,.222,9,11,.818,0,3,3,19,2,0,2,3,19,21.6,+13
2025-03-30,202503300MIL,ATL,Zaccharie Risacher,https://www.basketball-reference.com/boxscores/202503300MIL.html,34.52,12,21,.571,5,11,.455,7,9,.778,4,2,6,0,1,0,1,3,36,27.5,+19
2025-03-30,202503300MIL,ATL,Dyson Daniels,https://www.basketball-reference.com/boxscores/202503300MIL.html,33.57,10,15,.667,0,3,.000,2,2,1.000,3,6,9,6,5,0,2,4,22,25.0,+21
2025-03-30,202503300MIL,ATL,Onyeka Okongwu,https://www.basketball-reference.com/boxscores/202503300MIL.html,30.5,4,8,.500,1,4,.250,4,4,1.000,2,8,10,3,1,0,1,4,13,13.3,+21
2025-03-30,202503300MIL,ATL,Mouhamed Gueye,https://www.basketball-reference.com/boxscores/202503300MIL.html,19.2,3,5,.600,1,2,.500,2,4,.500,3,6,9,1,0,0,0,3,9,9.3,+21
2025-03-30,202503300MIL,ATL,Caris LeVert,https://www.basketball-reference.com/boxscores/202503300MIL.html,22.87,4,9,.444,1,6,.167,0,0,,0,3,3,1,0,2,0,2,9,6.5,+8
2025-03-30,202503300MIL,ATL,Dominick Barlow,https://www.basketball-reference.com/boxscores/202503300MIL.html,17.5,2,2,1.000,1,1,1.000,3,4,.750,2,0,2,1,1,0,0,5,8,8.1,0
2025-03-30,202503300MIL,ATL,Vit Krejci,https://www.basketball-reference.com/boxscores/202503300MIL.html,15.78,1,2,.500,1,2,.500,0,0,,0,2,2,0,0,0,0,1,3,2.2,+3
2025-03-30,202503300MIL,ATL,Georges Niang,https://www.basketball-reference.com/boxscores/202503300MIL.html,14.8,6,11,.545,4,8,.500,1,1,1.000,0,1,1,1,0,0,1,2,17,10.9,+2
2025-03-30,202503300MIL,ATL,Terance Mann,https://www.basketball-reference.com/boxscores/202503300MIL.html,14.13,4,5,.800,1,2,.500,0,0,,1,0,1,4,0,0,1,2,9,8.8,-3
2025-03-30,202503300MIL,MIL,Kyle Kuzma,https://www.basketball-reference.com/boxscores/202503300MIL.html,35.22,8,17,.471,4,9,.444,5,6,.833,1,5,6,1,0,0,1,3,25,16.6,-26
2025-03-30,202503300MIL,MIL,Giannis Antetokounmpo,https://www.basketball-reference.com/boxscores/202503300MIL.html,30.43,11,18,.611,0,1,.000,9,14,.643,1,8,9,5,1,0,5,3,31,22.2,-18
2025-03-30,202503300MIL,MIL,Brook Lopez,https://www.basketball-reference.com/boxscores/202503300MIL.html,29.88,2,4,.500,0,2,.000,1,2,.500,0,1,1,1,1,1,1,1,5,3.9,-11
2025-03-30,202503300MIL,MIL,Ryan Rollins,https://www.basketball-reference.com/boxscores/202503300MIL.html,27.67,3,6,.500,2,3,.667,2,2,1.000,0,4,4,5,0,0,1,5,10,8.7,-28
2025-03-30,202503300MIL,MIL,Taurean Prince,https://www.basketball-reference.com/boxscores/202503300MIL.html,26.28,2,5,.400,2,5,.400,1,1,1.000,1,3,4,0,1,1,1,3,7,5.4,-15
2025-03-30,202503300MIL,MIL,Gary Trent Jr.,https://www.basketball-reference.com/boxscores/202503300MIL.html,28.88,2,9,.222,1,6,.167,5,5,1.000,0,3,3,0,0,0,1,2,10,3.6,0
2025-03-30,202503300MIL,MIL,Kevin Porter Jr.,https://www.basketball-reference.com/boxscores/202503300MIL.html,22.85,8,12,.667,3,5,.600,9,9,1.000,1,3,4,5,1,0,2,4,28,25.3,+2
2025-03-30,202503300MIL,MIL,Pat Connaughton,https://www.basketball-reference.com/boxscores/202503300MIL.html,17.72,3,6,.500,0,1,.000,0,0,,0,1,1,3,0,0,1,2,6,3.6,-8
2025-03-30,202503300MIL,MIL,Andre Jackson Jr.,https://www.basketball-reference.com/boxscores/202503300MIL.html,11.1,0,2,.000,0,1,.000,1,2,.500,2,1,3,1,1,0,0,0,1,2.6,+7
2025-03-30,202503300MIL,MIL,Jamaree Bouyea,https://www.basketball-reference.com/boxscores/202503300MIL.html,2.53,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-2
2025-03-30,202503300MIL,MIL,Pete Nance,https://www.basketball-reference.com/boxscores/202503300MIL.html,2.53,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-2
2025-03-30,202503300MIL,MIL,Tyler Smith,https://www.basketball-reference.com/boxscores/202503300MIL.html,2.53,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-2
2025-03-30,202503300MIL,MIL,Chris Livingston,https://www.basketball-reference.com/boxscores/202503300MIL.html,2.37,0,2,.000,0,1,.000,1,2,.500,0,0,0,0,0,0,0,0,1,-0.8,-2
