Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Added,Added,Unnamed: 25_level_0
Rk,Player,Age,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards
1.0,Jarrett Allen,22.0,C,51,40,1544,0.609,0.623,0.316,0.616,0.69,0.649,0.549,0.046,131,118,86.0,115,89,113,223,12,65.4,79.9,
2.0,Marques Bolden,22.0,C,6,0,29,0.333,0.333,,0.333,0.625,0.537,2.667,0.0,72,63,,62,80,94,1080,0,-1.2,-0.5,
3.0,Quinn Cook,27.0,PG,7,0,95,0.405,0.379,0.462,0.476,1.0,0.496,0.071,0.31,87,72,126.0,89,129,87,29,79,-5.2,-6.5,
4.0,Matthew Dellavedova,30.0,PG,13,1,224,0.25,0.323,0.16,0.286,1.0,0.312,0.071,0.446,54,61,44.0,53,129,55,29,114,-28.2,-30.1,
5.0,Damyean Dotson,26.0,SG,46,7,907,0.406,0.545,0.289,0.485,0.667,0.499,0.123,0.543,87,103,79.0,90,86,87,50,139,-31.2,-45.2,
6.0,Andre Drummond,27.0,C,25,25,722,0.474,0.484,0.0,0.474,0.597,0.5,0.339,0.021,102,91,0.0,88,77,87,138,5,-48.8,-62.5,
7.0,Dante Exum,25.0,SG,6,3,116,0.385,0.533,0.182,0.423,0.5,0.428,0.077,0.423,83,101,50.0,79,64,75,31,108,-6.0,-7.7,
8.0,Yogi Ferrell,27.0,PG,2,0,40,0.381,0.417,0.333,0.452,0.0,0.434,0.095,0.429,82,79,91.0,84,0,76,39,109,-3.6,-6.0,
9.0,Darius Garland,21.0,PG,54,50,1790,0.451,0.479,0.395,0.517,0.848,0.547,0.165,0.332,97,90,108.0,96,109,96,67,85,-33.8,-42.6,
10.0,Isaiah Hartenstein,22.0,C,16,2,287,0.582,0.6,0.333,0.593,0.686,0.62,0.385,0.066,125,113,91.0,110,88,108,156,17,10.1,10.3,
11.0,Mfiondu Kabengele,23.0,PF,16,0,186,0.421,0.6,0.281,0.5,0.786,0.538,0.246,0.561,90,113,77.0,93,101,94,100,143,-4.3,-4.2,
12.0,Kevin Love,32.0,PF,25,25,622,0.409,0.479,0.365,0.522,0.824,0.556,0.202,0.619,88,90,100.0,97,106,97,82,158,-8.1,-8.8,
13.0,Thon Maker,23.0,C,8,0,76,0.556,0.625,0.0,0.556,0.909,0.657,0.611,0.111,119,118,0.0,103,117,115,248,28,0.6,3.9,
14.0,Jeremiah Martin,24.0,PG,9,0,75,0.273,0.286,0.25,0.318,0.2,0.313,0.152,0.364,59,54,68.0,59,26,55,61,93,-14.5,-18.3,
15.0,JaVale McGee,33.0,C,33,1,503,0.521,0.549,0.25,0.533,0.655,0.554,0.256,0.093,112,103,68.0,99,84,97,104,24,-2.3,-8.5,
16.0,Larry Nance Jr.,28.0,PF,35,27,1091,0.471,0.551,0.36,0.546,0.612,0.557,0.18,0.419,101,104,98.0,101,79,97,73,107,4.4,-8.7,
17.0,Isaac Okoro,20.0,SG,67,67,2173,0.42,0.501,0.29,0.476,0.726,0.514,0.281,0.383,90,95,79.0,88,93,90,114,98,-69.4,-72.2,
18.0,Cedi Osman,25.0,SF,59,26,1510,0.374,0.458,0.306,0.458,0.8,0.488,0.162,0.553,80,86,83.0,85,103,85,66,141,-93.4,-104.9,
19.0,Taurean Prince,26.0,PF,29,6,687,0.399,0.385,0.415,0.496,0.837,0.532,0.194,0.466,86,73,113.0,92,108,93,78,119,-21.2,-22.0,
20.0,Collin Sexton,22.0,SG,60,60,2115,0.475,0.508,0.371,0.519,0.815,0.573,0.347,0.239,102,96,101.0,97,105,100,140,61,-40.8,3.7,
21.0,Lamar Stevens,23.0,PF,40,0,499,0.456,0.523,0.16,0.471,0.725,0.521,0.375,0.184,98,99,44.0,87,93,91,152,47,-18.3,-16.2,
22.0,Brodric Thomas,24.0,SG,28,1,375,0.366,0.458,0.283,0.441,0.667,0.487,0.386,0.525,79,86,77.0,82,86,85,156,134,-19.7,-20.1,
23.0,Anderson Varejão,38.0,C,5,0,36,0.25,0.267,0.0,0.25,0.556,0.326,0.563,0.063,54,50,0.0,46,71,57,228,16,-9.2,-9.8,
24.0,Dean Wade,24.0,PF,63,19,1212,0.431,0.571,0.366,0.556,0.769,0.573,0.125,0.685,92,108,100.0,103,99,100,51,175,11.4,0.7,
25.0,Dylan Windler,24.0,SF,31,0,513,0.438,0.585,0.338,0.538,0.778,0.567,0.208,0.592,94,110,92.0,100,100,99,84,151,0.1,-1.2,
,Team Totals,,,72,72,17427,0.45,0.51,0.336,0.508,0.743,0.543,0.261,0.347,97,96,92.0,94,96,95,106,89,-367.2,-397.5,
