Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,Unnamed: 29_level_0
Rk,Player,Age,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
1.0,Buddy Hield,28.0,SG,71,71,2433,0.406,21.2,0.273,0.087,0.06,0.064,0.063,0.727,0.446,0.64,0.267,0.444,0.355,0.391,0.331,0.812,0.009,8,0.136,0.469,1,0,
2.0,Harrison Barnes,28.0,PF,58,58,2102,0.497,12.5,0.601,0.307,0.248,0.044,0.003,0.399,0.567,0.721,0.415,0.393,0.0,0.391,0.584,0.88,0.059,35,0.223,0.491,0,0,
3.0,De'Aaron Fox,23.0,PG,58,58,2036,0.477,12.9,0.712,0.233,0.232,0.151,0.095,0.288,0.539,0.761,0.426,0.482,0.362,0.322,0.16,0.524,0.015,17,0.094,0.367,1,0,
4.0,Richaun Holmes,27.0,C,61,61,1782,0.637,6.9,0.981,0.405,0.283,0.257,0.035,0.019,0.645,0.747,0.552,0.622,0.4,0.182,0.816,1.0,0.165,91,0.182,0.0,1,0,
5.0,Tyrese Haliburton,20.0,PG,58,20,1746,0.472,17.1,0.522,0.139,0.17,0.126,0.087,0.478,0.529,0.674,0.514,0.436,0.463,0.409,0.322,0.785,0.029,17,0.27,0.438,6,0,ROY-3
6.0,Marvin Bagley III,21.0,PF,43,42,1112,0.504,8.8,0.78,0.373,0.341,0.041,0.024,0.22,0.55,0.727,0.383,0.55,0.167,0.343,0.624,0.919,0.151,67,0.426,0.413,0,0,
7.0,Cory Joseph,29.0,PG,44,2,944,0.444,14.3,0.624,0.2,0.196,0.14,0.088,0.376,0.513,0.74,0.51,0.2,0.5,0.33,0.413,0.968,0.0,0,0.362,0.441,0,0,
8.0,Delon Wright,28.0,PG,27,8,696,0.462,12.7,0.631,0.253,0.271,0.093,0.013,0.369,0.5,0.614,0.41,0.476,0.333,0.398,0.282,0.727,0.009,2,0.193,0.375,0,0,
9.0,Maurice Harkless,27.0,PF,26,20,648,0.421,14.3,0.52,0.336,0.118,0.013,0.053,0.48,0.582,0.686,0.333,0.5,0.5,0.247,0.717,0.889,0.145,18,0.411,0.3,0,0,
10.0,Terence Davis,23.0,SG,27,0,581,0.439,16.7,0.411,0.256,0.11,0.008,0.037,0.589,0.535,0.667,0.222,1.0,0.444,0.372,0.426,0.815,0.049,12,0.179,0.462,0,0,
11.0,Hassan Whiteside,31.0,C,36,4,546,0.563,5.8,0.996,0.366,0.455,0.138,0.036,0.004,0.565,0.732,0.451,0.484,0.625,0.0,0.722,,0.138,28,0.0,,0,0,
12.0,Chimezie Metu,23.0,C,36,6,488,0.508,11.0,0.793,0.318,0.212,0.151,0.112,0.207,0.549,0.789,0.368,0.333,0.5,0.351,0.731,0.923,0.19,29,0.081,0.667,0,0,
13.0,Nemanja Bjelica,32.0,PF,26,1,439,0.46,12.7,0.613,0.327,0.247,0.013,0.027,0.387,0.565,0.673,0.432,0.5,0.5,0.293,0.635,0.882,0.007,0,0.155,0.444,0,0,
