Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Jalen Green,19,SG,67,67,2138,6.8,16.1,0.426,2.6,7.7,0.343,4.2,8.4,0.502,0.508,3.2,4.0,0.797,0.6,3.2,3.8,3.0,0.7,0.3,2.3,1.7,19.5,ROY-4
2,Christian Wood,26,C,68,67,2094,7.6,15.1,0.501,2.3,5.8,0.39,5.3,9.3,0.57,0.576,3.6,5.7,0.623,1.9,9.9,11.8,2.7,0.9,1.1,2.2,2.9,20.9,
3,Jae'Sean Tate,26,PF,78,77,2056,6.4,12.8,0.498,1.1,3.5,0.312,5.3,9.2,0.569,0.541,2.3,3.2,0.707,2.4,5.0,7.4,3.9,1.3,0.7,2.4,5.0,16.1,
4,Kevin Porter Jr.,21,PG,61,61,1907,6.3,15.3,0.415,2.9,7.8,0.375,3.4,7.5,0.456,0.511,2.3,3.6,0.642,0.8,4.2,5.0,7.1,1.3,0.4,3.6,2.9,17.9,
5,Garrison Mathews,25,SG,65,33,1712,3.9,9.7,0.399,2.9,8.1,0.36,0.9,1.6,0.6,0.55,3.0,3.8,0.794,0.7,3.3,4.0,1.3,1.2,0.5,0.9,3.5,13.7,
6,Eric Gordon,33,SG,57,46,1669,5.8,12.2,0.475,2.7,6.5,0.412,3.1,5.7,0.548,0.585,2.3,2.9,0.778,0.3,2.1,2.4,3.3,0.6,0.4,2.3,1.4,16.5,
7,KJ Martin,21,SF,79,2,1656,6.1,11.4,0.533,1.3,3.7,0.357,4.8,7.7,0.617,0.591,1.7,2.7,0.634,1.7,4.7,6.5,2.2,0.7,0.9,1.3,2.5,15.1,
8,Alperen Şengün,19,C,72,13,1489,6.0,12.7,0.474,0.7,2.8,0.248,5.3,9.9,0.539,0.502,4.0,5.6,0.711,3.3,6.2,9.5,4.5,1.4,1.6,3.5,5.2,16.7,
9,Josh Christopher,20,SG,74,2,1334,6.0,13.5,0.448,1.5,5.1,0.296,4.5,8.4,0.54,0.504,2.2,3.0,0.735,1.4,3.6,5.0,4.0,1.8,0.4,3.1,2.6,15.8,
10,Armoni Brooks,23,SG,41,8,690,4.5,13.1,0.347,3.3,11.1,0.3,1.2,2.0,0.605,0.474,0.8,1.0,0.842,0.6,3.6,4.2,2.6,1.1,0.4,1.2,3.1,13.3,
11,David Nwaba,29,SF,46,4,609,5.0,10.4,0.483,0.9,2.9,0.306,4.1,7.5,0.551,0.526,2.8,4.0,0.716,2.4,6.5,8.9,2.1,1.7,1.2,1.2,3.3,13.8,
12,Daniel Theis,29,C,26,21,584,5.2,11.0,0.469,1.4,4.9,0.291,3.8,6.2,0.61,0.534,1.7,2.5,0.675,2.0,6.0,8.0,1.2,0.7,1.0,1.9,3.8,13.4,
13,D.J. Augustin,34,PG,34,2,510,3.9,9.6,0.404,2.8,6.8,0.406,1.1,2.8,0.4,0.548,2.3,2.7,0.868,0.5,2.4,2.9,5.2,0.7,0.0,3.2,1.2,12.8,
14,Dennis Schröder,28,PG,15,4,404,4.9,12.5,0.393,1.7,5.2,0.328,3.2,7.3,0.439,0.461,3.0,3.5,0.872,0.5,3.9,4.5,7.8,1.1,0.3,3.5,3.4,14.5,
15,Daishen Nix,19,SG,24,0,261,3.7,9.2,0.403,1.0,3.6,0.269,2.8,5.7,0.488,0.455,2.2,4.1,0.533,1.0,3.6,4.6,5.5,2.1,0.0,3.6,2.9,10.6,
16,Usman Garuba,19,PF,24,2,239,2.9,6.6,0.432,0.8,3.0,0.25,2.1,3.6,0.583,0.489,0.8,1.1,0.714,3.2,9.3,12.5,2.6,1.5,1.7,0.9,4.2,7.2,
17,Danuel House Jr.,28,SF,16,1,233,3.9,11.4,0.338,1.5,5.3,0.294,2.3,6.2,0.375,0.405,2.6,2.9,0.895,0.6,6.0,6.6,2.9,0.8,0.8,2.8,2.5,11.9,
18,Bruno Fernando,23,C,10,0,94,11.1,15.7,0.707,0.0,0.4,0.0,11.1,15.3,0.725,0.707,4.2,7.3,0.579,4.2,11.1,15.3,1.1,0.4,3.1,3.4,6.9,26.4,
19,Trevelin Queen,24,SG,10,0,74,7.3,16.1,0.455,4.4,11.7,0.375,2.9,4.4,0.667,0.591,1.9,1.9,1.0,3.4,4.4,7.8,1.9,2.4,0.5,3.4,2.9,20.9,
