Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,Brandon Ingram,24.0,6,6,236,56,118,0.475,11,27,0.407,45,91,0.495,0.521,39,47,0.83,4,33,37,37,4,2,23,11,162,0,
2.0,CJ McCollum,30.0,6,6,234,49,125,0.392,17,51,0.333,32,74,0.432,0.46,18,26,0.692,11,29,40,29,4,5,15,15,133,0,
3.0,Herbert Jones,23.0,6,6,226,21,44,0.477,5,12,0.417,16,32,0.5,0.534,17,22,0.773,8,12,20,11,11,5,8,22,64,0,
4.0,Jonas Valančiūnas,29.0,6,6,175,33,68,0.485,1,6,0.167,32,62,0.516,0.493,20,26,0.769,33,53,86,18,4,1,12,17,87,0,
5.0,Larry Nance Jr.,29.0,6,0,130,22,39,0.564,2,9,0.222,20,30,0.667,0.59,9,11,0.818,19,16,35,11,3,2,6,15,55,0,
6.0,Trey Murphy III,21.0,6,0,120,9,22,0.409,9,19,0.474,0,3,0.0,0.614,4,5,0.8,3,12,15,3,3,1,1,9,31,0,
7.0,Jose Alvarado,23.0,6,0,117,16,33,0.485,6,16,0.375,10,17,0.588,0.576,10,13,0.769,2,6,8,9,7,1,7,18,48,0,
8.0,Jaxson Hayes,21.0,6,6,83,14,25,0.56,0,3,0.0,14,22,0.636,0.56,7,11,0.636,4,11,15,1,0,2,4,11,35,0,
9.0,Devonte' Graham,26.0,6,0,60,6,18,0.333,5,14,0.357,1,4,0.25,0.472,7,8,0.875,2,7,9,4,1,1,4,3,24,0,
10.0,Naji Marshall,24.0,6,0,56,7,10,0.7,0,0,,7,10,0.7,0.7,4,4,1.0,3,3,6,5,1,1,3,5,18,0,
11.0,Willy Hernangómez,27.0,1,0,2,1,4,0.25,0,1,0.0,1,3,0.333,0.25,0,0,,2,0,2,0,0,0,0,1,2,0,
12.0,Garrett Temple,35.0,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,0,
,Team Totals,,6,6,1441,234,506,0.462,56,158,0.354,178,348,0.511,0.518,135,173,0.78,91,183,274,128,38,21,83,127,659,0,
