Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Added,Added,Unnamed: 25_level_0
Rk,Player,Age,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards
1.0,Darius Bazley,21.0,PF,69,53,1924,0.422,0.511,0.297,0.484,0.688,0.515,0.262,0.414,92,96.0,84,91,89.0,91,106,104,-62.1,-74.3,
2.0,Gabriel Deck,26.0,PF,7,0,56,0.571,0.6,0.5,0.643,,0.643,0.0,0.286,124,113.0,141,121,,114,0,72,3.1,2.2,
3.0,Mamadi Diakite,25.0,PF,13,3,188,0.532,0.595,0.0,0.532,0.545,0.54,0.234,0.106,115,112.0,0,100,70.0,95,94,27,0.0,-2.7,
4.0,Luguentz Dort,22.0,SG,51,51,1665,0.404,0.487,0.332,0.493,0.843,0.541,0.263,0.539,88,91.0,94,93,109.0,96,106,135,-56.0,-40.0,
5.0,Rob Edwards,25.0,SG,2,0,11,0.25,,0.25,0.375,,0.375,0.0,1.0,54,,71,71,,66,0,250,-1.3,-1.5,
6.0,Derrick Favors,30.0,C,39,18,653,0.516,0.554,0.125,0.522,0.64,0.534,0.137,0.088,112,104.0,35,98,83.0,94,55,22,-3.5,-12.5,
7.0,Melvin Frazier,25.0,SG,3,0,120,0.271,0.444,0.048,0.281,0.714,0.313,0.146,0.438,59,83.0,13,53,92.0,55,59,110,-24.0,-25.8,
8.0,Josh Giddey,19.0,SF,54,54,1700,0.419,0.492,0.263,0.461,0.709,0.478,0.118,0.318,91,92.0,74,87,92.0,84,48,80,-94.5,-123.8,
9.0,Shai Gilgeous-Alexander,23.0,PG,56,56,1942,0.453,0.514,0.3,0.496,0.81,0.557,0.385,0.282,98,96.0,85,93,105.0,98,155,71,-75.7,-21.6,
10.0,Jaylen Hoard,22.0,SF,7,5,240,0.489,0.538,0.36,0.539,0.429,0.536,0.156,0.278,106,101.0,102,101,55.0,95,63,70,1.3,-5.9,
11.0,Scotty Hopson,32.0,SG,1,0,18,0.5,0.667,0.0,0.5,,0.5,0.0,0.25,108,125.0,0,94,,88,0,63,-0.3,-0.5,
12.0,Ty Jerome,24.0,SG,48,4,801,0.378,0.493,0.29,0.46,0.809,0.488,0.143,0.567,82,93.0,82,87,104.0,86,58,142,-46.8,-54.7,
13.0,Georgios Kalaitzakis,23.0,SF,4,4,166,0.464,0.529,0.364,0.536,0.476,0.536,0.375,0.393,101,99.0,103,101,61.0,95,151,98,0.5,-3.9,
14.0,Vit Krejci,21.0,SG,30,8,690,0.407,0.522,0.327,0.503,0.864,0.529,0.132,0.587,88,98.0,92,95,111.0,93,53,147,-9.6,-13.0,
15.0,Théo Maledon,20.0,PG,51,7,908,0.375,0.449,0.293,0.445,0.79,0.5,0.315,0.473,81,84.0,83,84,102.0,88,127,119,-55.1,-47.6,
16.0,Tre Mann,20.0,PG,60,26,1367,0.393,0.421,0.36,0.476,0.793,0.501,0.139,0.463,85,79.0,102,90,102.0,88,56,116,-65.3,-81.5,
17.0,Mike Muscala,30.0,C,43,0,592,0.456,0.506,0.429,0.597,0.842,0.63,0.23,0.657,99,95.0,121,112,109.0,111,93,165,32.3,34.9,
18.0,Aleksej Pokusevski,20.0,PF,61,12,1233,0.408,0.498,0.289,0.47,0.7,0.485,0.11,0.432,88,94.0,82,88,90.0,86,44,108,-55.9,-77.1,
19.0,Jeremiah Robinson-Earl,21.0,C,49,36,1087,0.414,0.478,0.352,0.503,0.741,0.526,0.167,0.509,90,90.0,99,95,96.0,93,67,128,-18.5,-27.7,
20.0,Isaiah Roby,23.0,PF,45,28,948,0.514,0.545,0.444,0.582,0.672,0.607,0.359,0.307,111,102.0,126,109,87.0,107,145,77,32.5,30.6,
21.0,Olivier Sarr,22.0,C,22,2,421,0.574,0.625,0.448,0.639,0.828,0.672,0.287,0.287,125,117.0,127,120,107.0,119,116,72,21.6,24.2,
22.0,Zavier Simpson,24.0,PG,4,4,174,0.365,0.409,0.125,0.375,1.0,0.406,0.096,0.154,79,77.0,35,71,129.0,72,39,39,-16.3,-17.4,
23.0,Lindy Waters III,24.0,SG,25,1,465,0.406,0.621,0.363,0.557,0.8,0.562,0.029,0.834,88,117.0,103,105,103.0,99,12,209,8.9,-1.6,
24.0,Paul Watson,27.0,SF,9,3,156,0.343,0.667,0.231,0.429,0.5,0.432,0.057,0.743,74,125.0,65,81,65.0,76,23,186,-7.2,-9.6,
25.0,Aaron Wiggins,23.0,SG,50,35,1209,0.463,0.573,0.304,0.525,0.729,0.556,0.252,0.409,100,108.0,86,99,94.0,98,102,103,-4.4,-7.8,
26.0,Kenrich Williams,27.0,SF,49,0,1072,0.461,0.536,0.339,0.525,0.545,0.532,0.174,0.382,100,101.0,96,99,70.0,94,70,96,-4.1,-23.2,
,Team Totals,,,82,82,19806,0.43,0.507,0.323,0.497,0.756,0.53,0.223,0.419,93,95.0,91,94,98.0,94,90,105,-500.4,-581.8,
