Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Ivica Zubac,25,C,76,76,2170,5.4,8.5,0.634,0.0,0.0,0.0,5.4,8.5,0.637,0.634,2.8,3.9,0.697,3.9,8.6,12.5,1.3,0.5,1.6,1.9,3.6,13.6,
2,Paul George,32,SF,56,56,1939,8.5,18.6,0.457,2.9,7.9,0.371,5.6,10.7,0.521,0.536,4.8,5.5,0.871,0.8,5.5,6.3,5.3,1.5,0.4,3.3,3.0,24.7,AS
3,Terance Mann,26,SG,81,36,1872,5.2,10.1,0.519,1.5,3.8,0.389,3.8,6.3,0.598,0.593,1.8,2.3,0.78,1.5,3.8,5.3,3.5,0.8,0.4,1.5,2.9,13.7,
4,Marcus Morris,33,PF,65,65,1825,5.4,12.7,0.426,2.2,6.1,0.364,3.2,6.6,0.484,0.513,1.3,1.7,0.782,0.6,4.5,5.1,2.2,0.8,0.4,1.1,2.7,14.4,
5,Kawhi Leonard,31,SF,52,50,1748,9.2,17.9,0.512,2.1,5.1,0.416,7.0,12.8,0.551,0.572,5.0,5.7,0.871,1.2,5.8,7.0,4.2,1.5,0.6,1.8,1.7,25.5,
6,Nicolas Batum,34,PF,78,19,1709,3.4,8.0,0.42,2.6,6.7,0.391,0.8,1.3,0.563,0.583,0.7,1.0,0.708,1.3,5.0,6.3,2.5,1.1,0.9,1.1,3.1,10.1,
7,Norman Powell,29,SG,60,8,1567,7.8,16.3,0.479,2.6,6.6,0.397,5.2,9.7,0.534,0.559,5.2,6.4,0.812,0.6,3.5,4.0,2.5,1.1,0.4,2.3,2.9,23.4,6MOY-4
8,Reggie Jackson,32,PG,52,38,1338,5.8,13.8,0.418,2.1,5.9,0.35,3.7,7.9,0.469,0.493,1.6,1.8,0.924,0.6,2.5,3.1,4.9,1.0,0.1,2.6,2.5,15.2,
9,Robert Covington,32,PF,48,0,779,4.7,10.6,0.445,2.5,6.3,0.397,2.2,4.3,0.516,0.563,1.4,1.8,0.75,1.4,6.2,7.7,2.6,1.8,1.5,1.5,4.0,13.3,
10,John Wall,32,PG,34,3,755,6.6,16.1,0.408,1.6,5.2,0.303,5.0,10.9,0.459,0.457,3.7,5.4,0.681,0.7,3.7,4.4,8.5,1.3,0.6,3.8,2.8,18.4,
11,Luke Kennard,26,SG,35,11,725,4.9,10.5,0.464,2.9,6.6,0.447,1.9,3.9,0.494,0.604,0.9,1.0,0.95,0.3,3.8,4.1,1.8,0.9,0.2,1.5,2.3,13.6,
12,Russell Westbrook,34,PG,21,21,635,7.3,14.9,0.489,1.5,4.1,0.356,5.8,10.7,0.54,0.538,2.8,4.3,0.658,1.7,4.1,5.8,9.1,1.3,0.6,4.0,2.3,18.8,6MOY-9
13,Amir Coffey,25,SF,50,9,625,3.2,8.4,0.386,0.6,2.3,0.275,2.6,6.0,0.429,0.424,2.8,3.6,0.778,1.0,2.1,3.1,3.1,0.4,0.3,1.2,2.9,9.9,
14,Eric Gordon,34,SG,22,11,547,5.3,11.5,0.463,3.1,7.3,0.423,2.2,4.2,0.531,0.597,2.1,2.5,0.842,0.3,2.2,2.4,3.1,0.9,0.5,1.4,2.2,15.9,
15,Mason Plumlee,32,C,23,4,457,5.0,6.9,0.727,0.0,0.0,,5.0,6.9,0.727,0.727,3.5,4.5,0.772,3.3,9.2,12.5,3.2,0.9,0.9,2.4,4.4,13.5,
16,Moses Brown,23,C,34,1,288,7.6,12.0,0.635,0.0,0.0,,7.6,12.0,0.635,0.635,4.1,9.0,0.458,7.1,10.2,17.4,0.5,0.4,1.7,1.7,4.7,19.4,
17,Bones Hyland,22,PG,14,0,265,7.5,18.6,0.401,3.5,10.1,0.351,3.9,8.6,0.46,0.496,2.0,2.7,0.75,1.4,5.3,6.7,6.4,1.5,0.3,2.0,4.1,20.5,
18,Brandon Boston Jr.,21,SF,22,1,248,7.4,17.7,0.418,1.7,4.2,0.414,5.7,13.5,0.419,0.467,4.2,5.5,0.763,1.0,3.3,4.4,2.9,1.3,0.0,1.7,3.0,20.8,
19,Moussa Diabaté,21,C,22,1,195,4.4,8.7,0.511,0.2,0.4,0.5,4.2,8.3,0.511,0.521,1.8,3.0,0.625,5.7,3.5,9.2,0.7,1.3,1.5,1.7,2.8,10.9,
20,Jason Preston,23,PG,14,0,124,5.2,11.9,0.439,1.5,5.2,0.278,3.8,6.7,0.565,0.5,0.0,0.6,0.0,0.6,5.8,6.4,7.8,0.6,0.0,2.9,2.0,11.9,
21,Xavier Moon,28,SG,4,0,20,5.4,16.2,0.333,1.8,5.4,0.333,3.6,10.8,0.333,0.389,0.0,0.0,,0.0,5.4,5.4,9.0,0.0,0.0,1.8,3.6,12.6,
