Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,Jrue Holiday,32.0,5,5,191,34,85,0.4,12,42,0.286,22,43,0.512,0.471,9,13,0.692,4,29,33,40,5,2,12,12,89,0,
2.0,Brook Lopez,34.0,5,5,182,39,67,0.582,7,17,0.412,32,50,0.64,0.634,10,13,0.769,14,18,32,6,7,9,11,10,95,0,
3.0,Khris Middleton,31.0,5,5,173,40,86,0.465,13,32,0.406,27,54,0.5,0.541,26,30,0.867,7,25,32,31,3,0,17,15,119,0,
4.0,Grayson Allen,27.0,5,5,149,19,41,0.463,14,29,0.483,5,12,0.417,0.634,6,7,0.857,1,11,12,9,2,0,4,7,58,0,
5.0,Bobby Portis,27.0,5,2,107,20,41,0.488,5,18,0.278,15,23,0.652,0.549,3,3,1.0,10,31,41,6,3,2,4,15,48,0,
6.0,Giannis Antetokounmpo,28.0,3,3,91,28,53,0.528,0,3,0.0,28,50,0.56,0.528,14,31,0.452,8,25,33,16,1,2,14,9,70,1,
7.0,Joe Ingles,35.0,5,0,89,12,23,0.522,10,20,0.5,2,3,0.667,0.739,0,0,,1,5,6,10,3,1,6,7,34,0,
8.0,Pat Connaughton,30.0,4,0,88,17,30,0.567,11,23,0.478,6,7,0.857,0.75,3,4,0.75,4,16,20,7,4,1,2,10,48,0,
9.0,Jevon Carter,27.0,4,0,49,2,9,0.222,1,7,0.143,1,2,0.5,0.278,0,0,,0,4,4,4,1,0,0,1,5,0,
10.0,Jae Crowder,32.0,4,0,41,3,13,0.231,0,6,0.0,3,7,0.429,0.231,1,2,0.5,1,3,4,3,2,0,1,5,7,0,
11.0,Wesley Matthews,36.0,2,0,41,4,9,0.444,4,7,0.571,0,2,0.0,0.667,0,0,,1,2,3,1,2,1,0,3,12,0,
12.0,Goran Dragić,36.0,2,0,7,0,2,0.0,0,1,0.0,0,1,0.0,0.0,4,4,1.0,0,0,0,1,0,0,0,0,4,0,
13.0,Thanasis Antetokounmpo,30.0,2,0,5,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,
14.0,MarJon Beauchamp,22.0,2,0,5,2,3,0.667,1,1,1.0,1,2,0.5,0.833,0,0,,0,1,1,0,0,0,0,0,5,0,
15.0,Meyers Leonard,30.0,2,0,5,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,1,1,0,0,0,0,0,0,0,
,Team Totals,,5,5,1223,220,463,0.475,78,206,0.379,142,257,0.553,0.559,76,107,0.71,51,171,222,134,33,18,71,94,594,1,
