Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Added,Added,Unnamed: 25_level_0
Rk,Player,Age,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards
1.0,Jose Alvarado,24.0,PG,61,10,1310,0.411,0.488,0.336,0.496,0.813,0.525,0.164,0.505,86,89,93.0,91,104.0,90,61,130,-48.3,-59.4,
2.0,Dyson Daniels,19.0,PG,59,11,1042,0.418,0.492,0.314,0.483,0.65,0.503,0.192,0.413,88,90,87.0,89,83.0,87,72,107,-25.8,-35.3,
3.0,Devonte' Graham,27.0,PG,53,0,811,0.368,0.463,0.347,0.511,0.746,0.545,0.255,0.823,77,85,96.0,94,95.0,94,96,212,-15.9,-18.7,
4.0,Jaxson Hayes,22.0,C,47,2,610,0.551,0.654,0.103,0.561,0.699,0.605,0.532,0.186,116,119,29.0,103,89.0,104,200,48,4.9,9.2,
5.0,Willy Hernangómez,28.0,C,38,2,458,0.527,0.544,0.273,0.536,0.779,0.61,0.615,0.065,111,99,76.0,98,100.0,105,231,17,-3.3,12.3,
6.0,Brandon Ingram,25.0,SF,45,45,1538,0.484,0.507,0.39,0.522,0.882,0.582,0.326,0.196,102,92,108.0,96,113.0,100,122,51,-38.6,2.2,
7.0,Herbert Jones,24.0,PF,66,66,1951,0.469,0.536,0.335,0.525,0.764,0.567,0.321,0.333,99,98,93.0,96,98.0,98,121,86,-20.3,-15.8,
8.0,Kira Lewis Jr.,21.0,PG,25,0,235,0.455,0.463,0.441,0.54,0.864,0.584,0.25,0.386,96,84,122.0,99,110.0,100,94,100,-1.0,0.4,
9.0,Naji Marshall,25.0,SF,77,21,1792,0.433,0.513,0.303,0.49,0.789,0.539,0.306,0.382,91,94,84.0,90,101.0,93,115,99,-62.7,-55.3,
10.0,CJ McCollum,31.0,PG,75,75,2649,0.437,0.469,0.389,0.515,0.769,0.541,0.177,0.404,92,86,108.0,94,98.0,93,66,104,-80.6,-116.2,
11.0,Trey Murphy III,22.0,SF,79,65,2448,0.484,0.611,0.406,0.61,0.905,0.65,0.238,0.621,102,111,113.0,112,116.0,112,89,160,103.6,120.8,
12.0,Larry Nance Jr.,30.0,C,65,1,1381,0.61,0.654,0.333,0.633,0.696,0.649,0.259,0.138,128,119,92.0,116,89.0,112,97,36,53.4,46.0,
13.0,Josh Richardson,29.0,SG,23,4,533,0.419,0.468,0.384,0.53,0.762,0.55,0.142,0.581,88,85,106.0,97,97.0,95,53,150,-4.4,-9.8,
14.0,Dereon Seabron,22.0,SG,5,0,12,0.4,0.4,,0.4,,0.4,0.0,0.0,84,73,,73,,69,0,0,-1.5,-1.8,
15.0,Garrett Temple,36.0,SG,25,0,162,0.4,0.368,0.423,0.522,0.75,0.535,0.089,0.578,84,67,117.0,96,96.0,92,33,149,-2.1,-4.4,
16.0,Jonas Valančiūnas,30.0,C,79,79,1968,0.547,0.577,0.349,0.57,0.826,0.61,0.275,0.134,115,105,97.0,105,106.0,105,103,34,40.1,51.8,
17.0,Zion Williamson,22.0,PF,29,29,956,0.608,0.618,0.368,0.615,0.714,0.652,0.529,0.041,128,113,102.0,113,91.0,112,198,10,65.6,81.9,AS
,Team Totals,,,82,82,19856,0.48,0.541,0.364,0.543,0.793,0.582,0.279,0.344,101,99,101.0,100,101.0,100,105,89,-36.9,7.9,
