Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards
1.0,Luka Dončić,25.0,PG,5,5,208,56,40,3,0,0,-6.1,10.7,11,9,12,0,19,1,70,0,3,
2.0,LeBron James,40.0,SF,5,5,204,0,0,85,15,0,-11.1,-21.9,10,2,4,0,19,3,70,6,5,
3.0,Austin Reaves,26.0,SG,5,5,196,0,74,26,0,0,-10.0,-13.7,6,5,11,2,2,3,45,0,2,
4.0,Rui Hachimura,26.0,PF,5,5,182,0,0,0,16,84,-14.8,-29.2,3,4,7,0,2,1,13,1,4,
5.0,Dorian Finney-Smith,31.0,PF,5,1,170,0,0,3,91,6,-4.9,8.7,1,1,5,1,0,0,33,0,3,
6.0,Gabe Vincent,28.0,PG,5,0,99,100,0,0,0,0,-1.5,10.6,0,0,4,1,0,3,11,0,0,
7.0,Jarred Vanderbilt,25.0,PF,5,0,60,0,0,0,35,65,4.6,16.6,0,1,4,1,1,2,14,0,1,
8.0,Jordan Goodwin,26.0,PG,4,0,31,76,24,0,0,0,16.2,27.2,1,0,2,0,0,0,5,0,0,
9.0,Jaxson Hayes,24.0,C,4,4,31,0,0,0,0,100,-30.4,-26.1,0,0,4,1,1,0,2,0,0,
10.0,Maxi Kleber,33.0,PF,1,0,5,0,0,0,0,100,-2.2,5.4,0,0,0,0,0,0,0,0,0,
11.0,Bronny James,20.0,SG,2,0,4,0,100,0,0,0,20.0,27.7,0,0,0,0,0,0,0,0,0,
12.0,Dalton Knecht,23.0,SF,2,0,4,0,0,0,100,0,20.0,27.7,0,0,0,0,0,0,0,0,0,
13.0,Alex Len,31.0,C,2,0,4,0,0,0,0,100,20.0,27.7,0,0,0,0,0,0,0,0,0,
14.0,Shake Milton,28.0,SG,2,0,4,0,0,100,0,0,20.0,27.7,0,0,1,0,0,0,0,0,0,
,Team Totals,,,5,5,1202,20,20,20,20,20,-7.5,-5.2,32,22,54,6,44,13,263,7,18,
