Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,Luka Dončić,25.0,PG,5,5,41.6,9.4,20.8,0.452,3.2,9.2,0.348,6.2,11.6,0.534,0.529,8.2,9.2,0.891,0.4,6.6,7.0,5.8,1.0,0.6,4.0,3.2,30.2,
2.0,LeBron James,40.0,SF,5,5,40.8,8.6,17.6,0.489,2.0,5.6,0.357,6.6,12.0,0.55,0.545,6.2,8.0,0.775,2.4,6.6,9.0,5.6,2.0,1.8,2.6,1.6,25.4,
3.0,Austin Reaves,26.0,SG,5,5,39.2,6.0,14.6,0.411,3.0,9.4,0.319,3.0,5.2,0.577,0.514,1.2,1.4,0.857,0.8,4.6,5.4,3.6,0.2,0.6,2.8,3.6,16.2,
4.0,Rui Hachimura,26.0,PF,5,5,36.4,5.6,11.4,0.491,3.0,6.2,0.484,2.6,5.2,0.5,0.623,0.6,0.6,1.0,0.8,3.8,4.6,1.0,0.6,0.6,1.4,2.4,14.8,
5.0,Dorian Finney-Smith,31.0,PF,5,1,34.0,2.4,5.8,0.414,1.4,3.8,0.368,1.0,2.0,0.5,0.534,0.0,0.0,,2.0,2.2,4.2,2.6,0.2,0.4,1.0,3.4,6.2,
6.0,Gabe Vincent,28.0,PG,5,0,19.8,1.0,2.8,0.357,0.8,2.6,0.308,0.2,0.2,1.0,0.5,0.0,0.0,,0.0,1.0,1.0,1.0,0.2,0.4,0.2,1.6,2.8,
7.0,Jarred Vanderbilt,25.0,PF,5,0,12.0,0.4,1.2,0.333,0.0,0.2,0.0,0.4,1.0,0.4,0.333,0.6,0.8,0.75,0.8,3.0,3.8,1.0,0.6,0.2,0.6,1.8,1.4,
8.0,Jordan Goodwin,26.0,PG,4,0,7.8,0.3,1.3,0.2,0.0,0.5,0.0,0.3,0.8,0.333,0.2,0.3,0.5,0.5,0.5,0.8,1.3,0.5,0.3,0.3,0.3,1.8,0.8,
9.0,Jaxson Hayes,24.0,C,4,4,7.8,0.8,2.0,0.375,0.0,0.0,,0.8,2.0,0.375,0.375,0.3,0.5,0.5,1.3,0.8,2.0,0.3,0.0,0.3,0.3,2.0,1.8,
10.0,Maxi Kleber,33.0,PF,1,0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,
11.0,Bronny James,20.0,SG,2,0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12.0,Dalton Knecht,23.0,SF,2,0,2.0,1.0,2.5,0.4,0.5,2.0,0.25,0.5,0.5,1.0,0.5,0.0,0.0,,1.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,2.5,
13.0,Alex Len,31.0,C,2,0,2.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,,1.5,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
14.0,Shake Milton,28.0,SG,2,0,2.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,
,Team Totals,,,5,5,240.0,34.6,78.8,0.439,13.6,38.8,0.351,21.0,40.0,0.525,0.525,17.6,21.2,0.83,9.6,29.4,39.0,21.2,5.0,5.0,14.6,21.0,100.4,
