Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,Unnamed: 29_level_0
Rk,Player,Age,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
1.0,Bub Carrington,19.0,PG,82,57,2458,0.401,19.1,0.456,0.102,0.114,0.102,0.139,0.544,0.475,0.553,0.353,0.553,0.462,0.339,0.481,0.667,0.027,18,0.135,0.327,1,0,
2.0,Jordan Poole,25.0,SG,68,68,2001,0.432,18.8,0.412,0.166,0.156,0.056,0.034,0.588,0.51,0.703,0.412,0.271,0.417,0.378,0.347,0.574,0.01,10,0.087,0.333,3,0,
3.0,Bilal Coulibaly,20.0,SF,59,59,1948,0.421,13.3,0.641,0.268,0.218,0.096,0.059,0.359,0.5,0.749,0.346,0.283,0.297,0.281,0.51,0.905,0.128,72,0.232,0.346,0,0,
4.0,Alex Sarr,19.0,C,67,67,1814,0.394,14.4,0.588,0.17,0.298,0.086,0.034,0.412,0.454,0.695,0.36,0.324,0.393,0.308,0.701,0.952,0.077,58,0.15,0.373,0,0,ROY-4
5.0,Kyshawn George,21.0,SG,68,38,1802,0.372,19.1,0.352,0.159,0.132,0.049,0.011,0.648,0.464,0.609,0.347,0.37,0.167,0.322,0.573,0.921,0.026,11,0.192,0.353,3,0,
6.0,Corey Kispert,25.0,SF,61,0,1602,0.451,17.5,0.416,0.189,0.182,0.039,0.005,0.584,0.574,0.729,0.466,0.409,0.0,0.364,0.793,0.942,0.012,7,0.164,0.37,5,0,
7.0,Justin Champagnie,23.0,SF,62,31,1340,0.511,13.9,0.53,0.324,0.182,0.022,0.0,0.47,0.624,0.767,0.413,0.333,,0.383,0.566,0.986,0.075,30,0.316,0.377,1,0,
8.0,Jonas Valančiūnas,32.0,C,49,12,983,0.547,7.8,0.936,0.325,0.372,0.135,0.104,0.064,0.567,0.693,0.548,0.421,0.432,0.259,0.58,1.0,0.055,21,0.037,0.0,0,0,
9.0,Kyle Kuzma,29.0,PF,32,30,887,0.42,13.3,0.648,0.204,0.314,0.084,0.046,0.352,0.495,0.753,0.399,0.421,0.143,0.281,0.548,0.756,0.037,17,0.194,0.387,1,0,
10.0,AJ Johnson,20.0,SG,22,11,595,0.381,14.3,0.562,0.278,0.253,0.031,0.0,0.438,0.486,0.574,0.449,0.0,,0.247,0.528,0.667,0.103,15,0.118,0.3,2,0,
11.0,Malcolm Brogdon,32.0,PG,24,13,564,0.433,11.5,0.767,0.296,0.242,0.129,0.1,0.233,0.478,0.676,0.362,0.355,0.333,0.286,0.364,0.938,0.0,0,0.089,0.4,1,0,
12.0,Richaun Holmes,31.0,PF,31,7,534,0.647,3.6,0.978,0.626,0.309,0.036,0.007,0.022,0.662,0.77,0.488,0.4,0.0,0.0,0.633,,0.281,39,0.667,0.0,0,0,
13.0,Tristan Vukcevic,21.0,C,35,1,513,0.496,15.1,0.579,0.186,0.252,0.103,0.037,0.421,0.586,0.8,0.426,0.52,0.778,0.373,0.793,1.0,0.058,14,0.098,0.3,2,0,
14.0,Anthony Gill,32.0,PF,51,0,397,0.489,11.8,0.648,0.295,0.33,0.011,0.011,0.352,0.579,0.654,0.552,0.0,0.0,0.323,0.606,1.0,0.011,1,0.387,0.333,0,0,
15.0,Colby Jones,22.0,SG,15,0,385,0.466,14.0,0.621,0.204,0.243,0.146,0.029,0.379,0.563,0.667,0.48,0.6,0.333,0.308,0.556,0.917,0.049,5,0.256,0.4,0,0,
16.0,Jared Butler,24.0,PG,32,0,362,0.483,11.2,0.767,0.233,0.398,0.108,0.034,0.233,0.519,0.707,0.443,0.421,0.333,0.366,0.229,0.733,0.0,0,0.122,0.4,0,0,
17.0,Khris Middleton,33.0,SF,14,14,309,0.413,16.9,0.627,0.048,0.238,0.214,0.127,0.373,0.494,0.667,0.567,0.37,0.5,0.277,0.436,1.0,0.0,0,0.17,0.25,1,0,
18.0,Marcus Smart,30.0,PG,15,1,280,0.44,16.5,0.532,0.092,0.303,0.092,0.046,0.468,0.483,0.6,0.424,0.5,0.6,0.392,0.357,0.85,0.009,0,0.275,0.571,1,0,
19.0,Johnny Davis,22.0,SG,34,0,242,0.41,12.8,0.628,0.295,0.218,0.09,0.026,0.372,0.51,0.652,0.412,0.286,0.5,0.241,0.68,1.0,0.103,6,0.345,0.2,0,0,
20.0,Jaylen Martin,21.0,SF,13,0,234,0.417,11.4,0.694,0.236,0.347,0.097,0.014,0.306,0.48,0.765,0.4,0.143,0.0,0.273,0.667,1.0,0.069,4,0.273,0.0,0,0,
21.0,JT Thor,22.0,PF,11,0,207,0.364,12.2,0.659,0.273,0.227,0.136,0.023,0.341,0.448,0.667,0.4,0.167,0.0,0.2,0.538,1.0,0.114,4,0.467,0.0,0,0,
22.0,Marvin Bagley III,25.0,C,19,1,166,0.535,7.2,0.859,0.479,0.31,0.07,0.0,0.141,0.59,0.765,0.409,0.2,,0.2,0.472,1.0,0.211,14,0.2,0.0,0,0,
23.0,Patrick Baldwin Jr.,22.0,SF,22,0,101,0.515,17.6,0.364,0.242,0.121,0.0,0.0,0.636,0.5,0.625,0.25,,,0.524,0.833,1.0,0.121,4,0.19,0.75,0,0,
24.0,Jalen McDaniels,27.0,SF,4,0,7,,,,,,,,,,,,,,,,,,0,,,0,0,
,Team Totals,,,82,82,19731,0.439,13.6,0.565,0.213,0.225,0.079,0.047,0.435,0.519,0.703,0.417,0.383,0.397,0.335,0.549,0.813,0.052,350,0.166,0.348,21,0,
