Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1.0,Dyson Daniels,22.0,SG,27,27,921,13.3,0.518,0.157,0.171,7.5,13.5,10.5,22.3,2.9,1.1,17.5,16.7,0.3,1.2,1.4,0.075,-2.2,1.0,-1.2,0.2,
2.0,Jalen Johnson,24.0,SF,24,24,843,22.7,0.613,0.25,0.362,4.9,27.8,16.4,35.4,2.1,1.0,15.2,26.2,1.8,1.3,3.1,0.179,3.7,1.5,5.2,1.5,
3.0,Nickeil Alexander-Walker,27.0,SG,25,22,817,15.7,0.596,0.484,0.282,2.9,9.3,6.1,15.2,1.4,1.9,11.2,24.8,0.8,0.6,1.5,0.086,0.9,-1.5,-0.6,0.3,
4.0,Onyeka Okongwu,25.0,C,26,15,802,16.0,0.599,0.429,0.233,6.4,20.5,13.5,14.3,1.4,3.6,13.6,21.2,0.7,1.0,1.7,0.103,-0.6,0.2,-0.5,0.3,
5.0,Zaccharie Risacher,20.0,SF,24,24,591,12.2,0.548,0.455,0.143,3.2,8.9,6.1,8.8,2.2,2.0,7.2,18.8,0.2,0.6,0.7,0.06,-2.5,-0.5,-3.0,-0.1,
6.0,Vit Krejci,25.0,PG,23,1,549,13.0,0.7,0.791,0.117,1.8,9.0,5.4,10.0,1.6,1.2,10.9,14.7,0.8,0.4,1.3,0.11,0.0,-0.5,-0.4,0.2,
7.0,Luke Kennard,29.0,SG,24,0,492,11.6,0.64,0.616,0.184,2.7,7.8,5.3,14.7,1.8,0.2,14.5,13.5,0.6,0.4,1.0,0.093,-1.2,-0.5,-1.7,0.0,
8.0,Mouhamed Gueye,23.0,PF,27,3,457,11.5,0.553,0.426,0.178,7.5,15.8,11.7,7.2,1.7,3.6,12.0,14.6,0.1,0.5,0.7,0.072,-3.2,0.1,-3.0,-0.1,
9.0,Keaton Wallace,26.0,PG,25,2,349,10.2,0.528,0.635,0.104,0.3,11.3,5.9,24.1,2.2,1.0,15.2,14.3,0.1,0.4,0.5,0.066,-2.9,0.4,-2.5,0.0,
10.0,Kristaps Porziņģis,30.0,C,13,12,337,23.5,0.631,0.395,0.413,6.3,17.6,12.0,18.3,0.8,5.7,5.7,26.1,1.1,0.4,1.5,0.217,4.3,1.1,5.4,0.6,
11.0,Asa Newell,20.0,PF,17,0,158,19.1,0.706,0.439,0.211,12.0,9.0,10.5,8.3,1.8,2.3,10.1,18.4,0.4,0.1,0.6,0.172,2.2,-1.0,1.3,0.1,
12.0,Trae Young,27.0,PG,5,5,139,16.7,0.511,0.371,0.557,0.0,7.9,4.0,39.7,1.4,0.7,10.3,29.4,0.2,0.1,0.3,0.088,0.9,-1.6,-0.8,0.0,
13.0,Caleb Houstan,23.0,SF,8,0,43,11.8,0.698,0.769,0.231,10.3,2.6,6.4,6.2,1.1,2.1,21.8,17.9,0.0,0.0,0.1,0.067,-0.9,-2.6,-3.5,0.0,
14.0,Jacob Toppin,25.0,SF,5,0,17,15.2,0.667,0.0,0.0,0.0,6.5,3.2,8.9,0.0,5.4,0.0,14.8,0.0,0.0,0.0,0.118,-0.3,0.3,-0.1,0.0,
15.0,N'Faly Dante,24.0,C,4,0,15,12.5,0.338,0.0,0.25,22.2,29.2,25.8,0.0,6.3,0.0,18.4,15.3,0.0,0.0,0.0,0.046,-3.9,-1.2,-5.1,0.0,
,Team Totals,,,27,27,6530,,0.593,0.418,0.248,,,,,,,,,7.2,7.2,14.3,0.105,-0.2,0.1,-0.2,3.0,
