Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,Unnamed: 29_level_0
Rk,Player,Age,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
1.0,Davion Mitchell,27.0,PG,25,25,761,0.508,12.5,0.656,0.221,0.344,0.056,0.036,0.344,0.57,0.605,0.582,0.364,0.571,0.388,0.37,0.769,0.0,0,0.104,0.0,0,0,
2.0,Andrew Wiggins,30.0,SF,23,23,757,0.481,13.3,0.654,0.231,0.237,0.119,0.067,0.346,0.534,0.681,0.473,0.432,0.429,0.38,0.495,0.927,0.029,8,0.231,0.36,0,0,
3.0,Jaime Jaquez Jr.,24.0,SF,25,0,731,0.513,7.7,0.877,0.351,0.417,0.079,0.03,0.123,0.555,0.736,0.421,0.458,0.556,0.216,0.449,1.0,0.036,10,0.243,0.222,0,0,
4.0,Norman Powell,32.0,SG,21,21,648,0.493,14.6,0.569,0.196,0.258,0.07,0.044,0.431,0.541,0.672,0.477,0.458,0.467,0.429,0.562,0.921,0.012,3,0.211,0.387,0,0,
5.0,Kel'el Ware,21.0,C,26,16,622,0.533,9.0,0.719,0.476,0.21,0.024,0.01,0.281,0.583,0.71,0.318,0.4,0.5,0.407,0.739,1.0,0.233,46,0.39,0.435,0,0,
6.0,Bam Adebayo,28.0,C,20,20,618,0.481,13.9,0.662,0.157,0.244,0.213,0.049,0.338,0.553,0.689,0.5,0.557,0.357,0.34,0.686,0.97,0.073,19,0.371,0.361,0,0,
7.0,Pelle Larsson,24.0,SG,24,16,525,0.444,14.2,0.538,0.206,0.294,0.031,0.006,0.463,0.535,0.788,0.362,0.6,0.0,0.338,0.587,1.0,0.031,5,0.324,0.375,0,0,
8.0,Simone Fontecchio,30.0,SF,25,1,473,0.404,19.6,0.28,0.119,0.13,0.01,0.021,0.72,0.5,0.565,0.48,0.0,0.5,0.367,0.815,0.98,0.016,2,0.259,0.444,0,0,
9.0,Dru Smith,28.0,SG,26,1,440,0.443,13.7,0.58,0.198,0.313,0.053,0.015,0.42,0.5,0.692,0.366,0.571,0.5,0.364,0.447,0.85,0.0,0,0.309,0.353,0,0,
10.0,Nikola Jović,22.0,PF,19,1,347,0.39,15.4,0.492,0.212,0.246,0.017,0.017,0.508,0.5,0.6,0.448,0.5,0.0,0.283,0.621,1.0,0.008,1,0.2,0.167,0,0,
11.0,Tyler Herro,26.0,SG,6,6,191,0.505,15.2,0.626,0.111,0.273,0.182,0.061,0.374,0.565,0.545,0.667,0.5,0.333,0.405,0.543,0.733,0.0,0,0.189,0.429,0,0,
12.0,Keshad Johnson,24.0,SF,10,0,119,0.342,12.3,0.579,0.342,0.211,0.0,0.026,0.421,0.409,0.538,0.125,,1.0,0.25,0.333,0.75,0.158,4,0.375,0.333,0,0,
13.0,Jahmir Young,25.0,PG,5,0,24,0.364,13.7,0.545,0.182,0.273,0.091,0.0,0.455,0.333,0.0,0.667,0.0,,0.4,0.0,1.0,0.0,0,0.4,0.5,0,0,
14.0,Myron Gardner,24.0,SF,4,0,9,1.0,25.3,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,1.0,,1.0,0.0,0,0.0,,0,0,
15.0,Kasparas Jakučionis,19.0,PG,1,0,1,0.0,5.3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0,,,0,0,
,Team Totals,,,26,26,6266,0.476,13.7,0.624,0.236,0.271,0.082,0.035,0.376,0.543,0.68,0.455,0.482,0.44,0.367,0.552,0.927,0.045,98,0.26,0.362,0,0,
