Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1.0,Devin Vassell,25.0,SG,25,25,809,13.3,0.573,0.547,0.179,1.4,11.5,6.5,11.1,1.5,1.3,7.0,19.2,0.9,0.8,1.7,0.103,0.2,-0.1,0.1,0.4,
2.0,Harrison Barnes,33.0,PF,25,25,774,13.1,0.629,0.598,0.199,3.3,8.8,6.1,10.0,1.7,0.5,10.9,16.0,1.1,0.7,1.8,0.112,0.5,-0.2,0.3,0.4,
3.0,Julian Champagnie,24.0,SF,25,17,718,12.6,0.604,0.738,0.248,3.4,17.8,10.7,6.8,1.6,1.5,10.2,14.9,0.8,0.9,1.6,0.108,0.2,0.2,0.4,0.4,
4.0,Keldon Johnson,26.0,SF,25,0,590,19.5,0.651,0.31,0.333,9.5,21.1,15.4,10.3,1.5,0.5,8.9,19.1,1.6,0.7,2.3,0.185,2.5,-0.2,2.3,0.7,
5.0,De'Aaron Fox,28.0,PG,17,17,559,20.6,0.611,0.378,0.323,2.8,9.5,6.2,29.9,2.1,0.8,14.2,29.2,1.1,0.6,1.7,0.145,3.8,-0.6,3.2,0.7,
6.0,Stephon Castle,21.0,PG,16,16,499,17.9,0.6,0.315,0.52,5.6,15.9,10.8,32.7,2.1,0.9,20.9,26.2,0.5,0.6,1.2,0.111,0.8,0.4,1.2,0.4,
7.0,Victor Wembanyama,22.0,C,13,12,437,25.8,0.613,0.254,0.414,6.7,34.8,20.9,18.6,1.5,9.2,14.9,31.0,0.7,1.0,1.6,0.18,3.3,3.6,7.0,1.0,
8.0,Luke Kornet,30.0,C,17,12,432,16.1,0.679,0.0,0.554,12.5,15.3,13.9,11.0,0.6,5.0,10.7,10.0,1.2,0.5,1.7,0.187,0.9,1.2,2.1,0.4,
9.0,Dylan Harper,19.0,SG,15,0,329,15.6,0.527,0.23,0.291,5.1,10.7,8.0,25.6,2.0,0.3,11.8,27.0,0.2,0.3,0.5,0.076,-1.0,-0.2,-1.2,0.1,
10.0,Jeremy Sochan,22.0,PF,17,0,277,12.1,0.565,0.294,0.188,8.9,15.5,12.3,11.9,1.6,1.0,14.0,16.3,0.2,0.3,0.5,0.093,-2.3,-0.1,-2.4,0.0,
11.0,Kelly Olynyk,34.0,C,14,0,156,14.9,0.64,0.525,0.525,7.9,17.0,12.5,20.4,1.8,0.0,18.3,16.2,0.3,0.2,0.5,0.153,-0.3,0.8,0.5,0.1,
12.0,Carter Bryant,20.0,PF,18,0,142,5.1,0.426,0.549,0.078,4.7,18.7,11.8,0.9,1.3,1.3,10.2,17.4,-0.2,0.2,-0.1,-0.029,-5.9,-2.1,-8.0,-0.2,
13.0,Lindy Waters III,28.0,SG,12,0,83,8.5,0.543,0.913,0.0,2.7,16.0,9.4,7.8,1.2,0.0,4.2,12.2,0.1,0.1,0.1,0.085,-1.8,-0.2,-2.0,0.0,
14.0,Jordan McLaughlin,29.0,PG,9,0,75,14.7,0.553,0.625,0.125,4.5,4.4,4.5,17.8,4.5,0.0,7.3,15.3,0.1,0.1,0.2,0.15,-0.3,3.3,3.1,0.1,
15.0,David Jones García,24.0,SF,10,0,67,21.4,0.579,0.2,0.24,6.7,13.2,10.0,39.0,4.3,1.3,15.3,20.5,0.2,0.1,0.3,0.195,3.0,3.4,6.4,0.1,
16.0,Bismack Biyombo,33.0,C,8,1,58,5.0,0.717,0.0,0.5,3.9,7.6,5.8,6.2,2.5,1.5,38.1,5.7,0.0,0.1,0.1,0.055,-5.4,1.9,-3.5,0.0,
17.0,Harrison Ingram,23.0,SF,3,0,11,20.5,0.833,0.333,0.0,30.6,0.0,15.2,0.0,0.0,0.0,0.0,11.5,0.1,0.0,0.1,0.271,7.6,-2.7,4.9,0.0,
18.0,Riley Minix,25.0,SF,3,0,8,45.5,0.75,0.5,0.0,14.0,13.8,13.9,32.6,6.0,0.0,0.0,31.6,0.1,0.0,0.1,0.414,18.0,7.1,25.1,0.1,
,Team Totals,,,25,25,6024,,0.6,0.42,0.301,,,,,,,,,8.9,7.1,15.9,0.127,0.8,0.4,1.1,4.7,
