Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Joachim Andersen,dk DEN,DF,29-140,7.0,9,1.29,6,1,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Calvin Bassey,ng NGA,DF,25-291,7.0,6,0.86,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Bernd Leno,de GER,GK,33-228,7.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Sander Berge,no NOR,MF,27-246,6.6,8,1.2,8,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Saša Lukić,rs SRB,MF,29-066,6.1,19,3.12,9,7,0,1,1,1,2,0.33,0,1,0,1,0,0,Matches
Alex Iwobi,ng NGA,"FW,MF",29-168,6.0,19,3.16,17,0,1,1,0,0,2,0.33,2,0,0,0,0,0,Matches
Joshua King,eng ENG,"MF,FW",18-288,5.2,10,1.93,7,0,2,1,0,0,1,0.19,1,0,0,0,0,0,Matches
Ryan Sessegnon,eng ENG,DF,25-153,5.3,11,2.08,9,0,0,1,0,1,1,0.19,1,0,0,0,0,0,Matches
Kenny Tete,nl NED,DF,30-009,5.0,2,0.4,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Harry Wilson,wls WAL,"FW,MF",28-210,4.9,8,1.64,6,1,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Rodrigo Muniz,br BRA,FW,24-167,3.5,2,0.57,1,0,0,0,1,0,1,0.29,1,0,0,0,0,0,Matches
Timothy Castagne,be BEL,"DF,FW",29-317,3.4,12,3.52,7,2,0,3,0,0,0,0.0,0,0,0,0,0,0,Matches
Raúl Jiménez,mx MEX,FW,34-166,1.6,1,0.62,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jorge Cuenca,es ESP,DF,25-335,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Issa Diop,fr FRA,DF,28-282,0.9,1,1.06,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Adama Traoré,es ESP,FW,29-266,1.6,5,3.04,4,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Emile Smith Rowe,eng ENG,MF,25-082,1.5,2,1.37,1,0,0,1,0,0,1,0.69,0,0,0,1,0,0,Matches
Tom Cairney,sct SCO,MF,34-271,1.3,1,0.79,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Kevin,br BRA,"FW,MF",22-287,1.0,3,3.03,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Antonee Robinson,us USA,DF,28-071,0.7,4,5.63,4,0,0,0,0,0,1,1.41,1,0,0,0,0,0,Matches
Samuel Chukwueze,ng NGA,"FW,MF",26-149,0.4,6,15.43,5,0,1,0,0,0,1,2.57,1,0,0,0,0,0,Matches
Squad Total,,,28.0,7.0,129,18.43,98,11,5,10,3,2,10,1.43,7,1,0,2,0,0,
Opponent Total,,,26.1,7.0,115,16.43,82,13,5,6,5,4,16,2.29,12,1,1,1,1,0,
