Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Matthijs de Ligt,nl NED,DF,26-067,7.0,305,350,87.1,5541,1666,111,120,92.5,171,190,90.0,19,31,61.3,0,0.5,0.5,-0.5,2,15,4,3,14,Matches
Bruno Fernandes,pt POR,MF,31-040,7.0,352,457,77.0,6415,2116,167,184,90.8,124,149,83.2,52,95,54.7,0,1.6,1.3,-1.6,19,44,12,1,61,Matches
Luke Shaw,eng ENG,DF,30-098,6.7,335,400,83.8,5553,1873,173,199,86.9,120,137,87.6,29,43,67.4,0,0.1,0.1,-0.1,1,30,2,0,31,Matches
Bryan Mbeumo,cm CMR,MF,26-072,6.6,172,239,72.0,2862,734,89,106,84.0,54,74,73.0,19,30,63.3,1,1.6,1.5,-0.6,13,10,11,6,15,Matches
Altay Bayındır,tr TUR,GK,27-187,6.0,122,192,63.5,3438,2646,30,30,100.0,52,53,98.1,40,109,36.7,0,0.2,0.0,-0.2,1,8,1,0,0,Matches
Patrick Dorgu,dk DEN,DF,20-357,5.2,147,204,72.1,2121,459,88,116,75.9,47,65,72.3,6,10,60.0,1,0.8,0.6,0.2,6,5,6,3,7,Matches
Leny Yoro,fr FRA,DF,19-339,5.0,215,250,86.0,3878,1328,90,97,92.8,105,115,91.3,17,31,54.8,0,0.0,0.0,0.0,1,14,1,1,18,Matches
Amad Diallo,ci CIV,"DF,MF",23-099,5.0,186,206,90.3,2543,522,128,133,96.2,48,57,84.2,6,9,66.7,0,0.8,0.8,-0.8,8,6,8,1,19,Matches
Casemiro,br BRA,MF,33-237,3.6,175,214,81.8,3202,1022,78,86,90.7,69,78,88.5,25,35,71.4,0,0.2,0.1,-0.2,2,13,0,0,22,Matches
Benjamin Šeško,si SVN,FW,22-140,4.3,49,74,66.2,589,107,29,44,65.9,8,16,50.0,4,4,100.0,0,0.2,0.1,-0.2,5,4,1,0,5,Matches
Matheus Cunha,br BRA,"MF,FW",26-144,3.9,75,91,82.4,987,289,41,45,91.1,20,27,74.1,5,7,71.4,0,0.2,0.5,-0.2,4,6,5,3,14,Matches
Diogo Dalot,pt POR,DF,26-214,3.7,139,185,75.1,2468,772,64,73,87.7,58,80,72.5,15,27,55.6,1,0.9,0.8,0.1,6,7,6,4,10,Matches
Mason Mount,eng ENG,MF,26-281,3.0,81,107,75.7,1270,447,47,55,85.5,20,24,83.3,10,19,52.6,0,0.5,0.5,-0.5,6,15,3,0,18,Matches
Manuel Ugarte,uy URU,MF,24-190,2.7,108,128,84.4,1768,470,60,69,87.0,37,40,92.5,9,13,69.2,0,0.0,0.0,0.0,1,16,0,0,19,Matches
Harry Maguire,eng ENG,DF,32-227,2.0,91,109,83.5,1779,522,25,28,89.3,58,68,85.3,7,11,63.6,1,0.4,0.0,0.6,1,3,0,0,9,Matches
Noussair Mazraoui,ma MAR,DF,27-338,1.5,74,97,76.3,1269,521,34,41,82.9,33,39,84.6,6,11,54.5,0,0.0,0.1,0.0,0,12,2,2,19,Matches
Senne Lammens,be BEL,GK,23-103,1.0,19,46,41.3,764,674,4,4,100.0,4,4,100.0,11,38,28.9,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Kobbie Mainoo,eng ENG,MF,20-182,1.3,62,72,86.1,958,217,32,35,91.4,22,25,88.0,3,4,75.0,0,0.1,0.1,-0.1,3,7,2,1,6,Matches
Joshua Zirkzee,nl NED,"FW,MF",24-149,0.9,26,32,81.3,301,73,22,26,84.6,4,6,66.7,0,0,,0,0.0,0.0,0.0,1,2,0,0,3,Matches
Ayden Heaven,eng ENG,DF,19-026,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,26.3,7.0,2733,3453,79.1,47706,16458,1312,1491,88.0,1054,1247,84.5,283,527,53.7,4,8.1,7.2,-4.1,80,218,64,25,290,
Opponent Total,,,26.1,7.0,2390,3083,77.5,40883,15149,1142,1294,88.3,958,1128,84.9,210,460,45.7,8,7.4,6.7,0.6,44,166,46,9,216,
